Units,scenario,region,sector,subsector,technology,Year,value
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2030,13704.6
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2035,16182.1
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2040,32620.5
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2045,36139.6
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2050,38595.5
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2055,40677.4
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2060,41626.5
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2065,41295.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2070,40518.3
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2075,38937.4
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2080,36744.7
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2085,34187.2
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2090,31739.7
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2095,29104.4
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,2100,26557.7
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,1975,1369.12
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,1990,2638.45
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,2005,3810.11
