Units,scenario,region,Year,value
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1975,2.685467169
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1990,6.887464960700001
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2005,12.050097112400003
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2010,17.389709521329998
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2015,21.575193945352
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2021,25.175611518137
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2025,27.2439383981113
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2030,32.52897864424188
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2035,39.59258657572383
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2040,42.64354522799639
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2045,45.108134360627986
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2050,45.35606273356606
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2055,44.7706857243304
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2060,43.197363028722265
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2065,40.71753344827315
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2070,37.083259806976095
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2075,33.74786894492563
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2080,32.15169340037408
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2085,42.218424281907076
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2090,58.586767230222456
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2095,76.47986629455276
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2100,103.4665967856077
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,1975,19.414345079
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,1990,67.418306415765
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2005,112.17997964207
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2010,133.758375228078
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2015,153.94569403639
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2021,169.61551508994
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2025,177.775557446872
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2030,192.797854805469
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2035,211.29281509934881
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2040,212.3772454838936
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2045,211.727622107273
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2050,207.2933564858902
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2055,205.905127791363
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2060,205.5214966099682
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2065,207.1180564593922
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2070,208.10688152040183
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2075,208.84237367423938
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2080,207.8995981492738
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2085,219.0447944678515
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2090,232.60675794741522
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2095,245.21810566970092
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2100,254.21071335111287
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,1975,4.613721474
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,1990,12.4200417986
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2005,13.951060797599999
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2010,16.300991368000002
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2015,23.56070651995
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2021,23.4619035927
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2025,26.2471159714
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2030,33.572450604433264
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2035,42.037802652227214
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2040,45.54334339815426
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2045,48.99341046510598
