Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1975,gdp-per-capita-ppp,0.873977
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1990,gdp-per-capita-ppp,0.899043
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2005,gdp-per-capita-ppp,1.10648
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2010,gdp-per-capita-ppp,1.33117
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2015,gdp-per-capita-ppp,1.498
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2021,gdp-per-capita-ppp,1.62481
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2025,gdp-per-capita-ppp,1.74151
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2030,gdp-per-capita-ppp,2.07171
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2035,gdp-per-capita-ppp,2.46601
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2040,gdp-per-capita-ppp,2.91054
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2045,gdp-per-capita-ppp,3.43997
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2050,gdp-per-capita-ppp,4.07045
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2055,gdp-per-capita-ppp,4.82331
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2060,gdp-per-capita-ppp,5.71549
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2065,gdp-per-capita-ppp,6.77798
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2070,gdp-per-capita-ppp,8.01159
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2075,gdp-per-capita-ppp,9.44758
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2080,gdp-per-capita-ppp,11.0868
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2085,gdp-per-capita-ppp,12.9357
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2090,gdp-per-capita-ppp,15.0067
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2095,gdp-per-capita-ppp,17.3236
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2100,gdp-per-capita-ppp,19.9108
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,1975,gdp-per-capita-ppp,3.04463
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,1990,gdp-per-capita-ppp,3.99013
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2005,gdp-per-capita-ppp,5.21914
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2010,gdp-per-capita-ppp,6.03329
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2015,gdp-per-capita-ppp,6.03158
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2021,gdp-per-capita-ppp,6.451
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2025,gdp-per-capita-ppp,7.14423
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2030,gdp-per-capita-ppp,8.33211
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2035,gdp-per-capita-ppp,9.81224
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2040,gdp-per-capita-ppp,11.5378
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2045,gdp-per-capita-ppp,13.5434
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2050,gdp-per-capita-ppp,15.8846
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2055,gdp-per-capita-ppp,18.625
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2060,gdp-per-capita-ppp,21.7819
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2065,gdp-per-capita-ppp,25.3446
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2070,gdp-per-capita-ppp,29.1833
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2075,gdp-per-capita-ppp,33.3028
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2080,gdp-per-capita-ppp,37.6869
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2085,gdp-per-capita-ppp,42.3576
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2090,gdp-per-capita-ppp,47.3581
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2095,gdp-per-capita-ppp,52.7565
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,2100,gdp-per-capita-ppp,58.5613
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,1975,gdp-per-capita-ppp,1.46766
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,1990,gdp-per-capita-ppp,1.261
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2005,gdp-per-capita-ppp,1.48424
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2010,gdp-per-capita-ppp,1.84949
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2015,gdp-per-capita-ppp,2.06961
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2021,gdp-per-capita-ppp,1.90055
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2025,gdp-per-capita-ppp,1.99752
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2030,gdp-per-capita-ppp,2.28874
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2035,gdp-per-capita-ppp,2.6661
