Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2040,1.19228e-08
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2045,1.22269e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2050,1.49918e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2055,2.17452e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2060,2.91809e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2065,3.7557e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2070,3.88619e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2075,2.98285e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2080,1.95126e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2085,6.66957e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2090,2.78296e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2095,1.6357e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2100,8.11242e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2040,5.35003e-08
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2045,4.74668e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2050,5.31109e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2055,7.28513e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2060,1.00185e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2065,1.3647e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2070,1.57133e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2075,1.46475e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2080,1.24198e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2085,5.26771e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2090,2.40106e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2095,1.17257e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,elect_td_ind,2100,6.40895e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2040,1.21658e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2045,1.9362e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2050,3.73986e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2055,5.11754e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2060,7.03113e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,2065,9.60836e-05
