Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1975,0.000683078
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1990,0.00106375
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2005,0.00247004
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2010,0.0037238
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2015,0.0037238
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2021,0.0037238
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2025,0.004471368
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2030,0.006557482
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2035,0.009351846
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2040,0.011404893999999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2045,0.013429326
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2050,0.014526587
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2055,0.015340308
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2060,0.01573016212
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2065,0.0159418269
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2070,0.016588310199999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2075,0.018205457799999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2080,0.020253735
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2085,0.0255918615
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2090,0.034014846200000004
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2095,0.0447212221
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2100,0.056387007700000005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2040,0.000581837
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2045,0.002140754
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2050,0.005394874
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2055,0.010001385
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2060,0.016012905
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2065,0.023392342
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2070,0.031370601299999995
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2075,0.038438138
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2080,0.043443261999999996
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2085,0.0449901329
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2090,0.0431095232
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2095,0.0386249973
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2100,0.032676357
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,1975,0.00335503
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,1990,0.002867
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2005,0.00625995
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2010,0.00959326
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2015,0.00963391
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2021,0.00965322
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2025,0.01241123
