Units,scenario,region,sector,subsector,technology,Year,value
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,1975,1.608
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,1990,2.50413
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2005,6.07188
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2010,9.15387
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2015,9.15387
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2021,9.15387
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2025,10.636470000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2030,14.76086
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2035,20.167299999999997
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2040,23.788359999999997
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2045,27.252688
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2050,29.160274
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2055,30.7057457
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2060,31.4603282
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2065,31.8836588
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2070,33.1766095
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2075,36.4109147
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2080,40.5074371
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2085,51.183793
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2090,68.0297353
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2095,89.4424831
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement,2100,112.7739273
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2040,1.16367
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2045,4.28151
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2050,10.789749999999998
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2055,20.00276
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2060,32.025800000000004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2065,46.784726000000006
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2070,62.741301699999994
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2075,76.8762078
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2080,86.8863481
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2085,89.9803747
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2090,86.21901600000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2095,77.249915
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,cement,cement,cement CCS,2100,65.352794
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,1975,8.44232
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,1990,33.1879
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2005,72.1022
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2010,98.0265
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2015,98.0265
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2021,98.0265
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2025,100.73203
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2030,109.30301
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2035,117.32451
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2040,110.23334
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2045,99.84683
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2050,88.82198
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2055,80.805268
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2060,71.5370635
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2065,63.600151
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2070,58.665986000000004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2075,56.659914
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2080,55.784406000000004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2085,59.594764999999995
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2090,65.603308
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2095,72.602717
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement,2100,79.610248
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2040,2.9669
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2045,13.207089999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2050,25.21429
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2055,35.74246
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2060,46.43367
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2065,54.050587
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2070,57.869011
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2075,58.2228569
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2080,56.846559
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2085,53.406554
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2090,47.930494
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2095,41.358391
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,cement,cement,cement CCS,2100,34.456458
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,1975,2.75537
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,1990,2.39525
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2005,4.9915
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2010,6.23937
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2015,6.23937
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2021,6.23937
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2025,6.809434
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2030,9.051884999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2035,12.073923
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2040,13.687635
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2045,15.220460999999998
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2050,16.092109999999998
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2055,17.0359373
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2060,17.81201684
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,cement,cement,cement,2065,18.6860322
