Units,scenario,region,sector,subsector,technology,Year,value
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2040,2.17939e-06
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2045,2.38868e-05
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2050,0.000314511
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2055,0.000456189
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2060,0.000612183
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2065,0.000787903
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2070,0.000815279
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2075,0.000625767
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2080,0.000409352
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2085,0.00013992
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2090,5.83833e-05
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2095,3.43151e-05
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2100,0.000170189
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2040,2.67705e-06
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2045,2.45794e-05
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2050,0.000284954
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2055,0.000390867
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2060,0.000537521
