Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2025,0.00916645
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2030,0.0215173
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2035,0.0454264
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2040,0.0793629
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2045,0.127936
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2050,0.198754
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2055,0.300497
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2060,0.449464
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2065,0.639026
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2070,0.837368
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2075,1.03586
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2080,1.25039
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2085,1.44507
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2090,1.63506
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2095,1.81471
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2100,2.00433
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2040,0.00109829
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2045,0.003955466699999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2050,0.011314491900000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2055,0.027052292000000002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2060,0.0576208309
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2065,0.1098426585
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2070,0.18463617840000002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),regional biomass,2075,0.2778345816
