Units,scenario,region,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2040,0.000401528
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2045,0.00148342
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2050,0.00435915
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2055,0.0106674
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2060,0.0231948
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2065,0.0450102
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2070,0.0767704
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2075,0.11699
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2080,0.160642
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2085,0.185064
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2090,0.182973
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2095,0.161153
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2100,0.135253
