Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2010,0.000128279
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2015,0.00146982
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2021,0.00161689
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2025,0.00301381
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2030,0.00730965
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2035,0.0148384
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2040,0.0259778
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2045,0.0425119
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2050,0.0639433
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2055,0.0890185
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2060,0.114267
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2065,0.13955
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2070,0.165801
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2075,0.193122
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2080,0.216217
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2085,0.245394
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2090,0.276077
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2095,0.295283
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2100,0.00203667
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2025,1.05403e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2030,5.18393e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2035,1.63671e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2040,1.74377e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2045,1.95217e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2050,2.20117e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2055,3.18218e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2060,4.47071e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2065,5.97622e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2070,7.36479e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2075,8.57911e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2080,1.08695e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2085,2.07689e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2090,4.12408e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2095,9.77762e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2100,0.000876078
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2010,0.000101292
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2015,0.000222696
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2021,0.0021259
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2025,0.000432813
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2030,0.000212397
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2035,0.000413469
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2040,0.000640824
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2045,0.00100573
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2050,0.00145237
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2055,0.00231224
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2060,0.00365179
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2065,0.00556855
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2070,0.00797671
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2075,0.0105736
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2080,0.0156779
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2085,0.0255926
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2090,0.0441062
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2095,0.0967991
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,gas processing,natural gas,natural gas,2100,0.899748
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2010,2.99999e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2021,1e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2025,2.95996e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2030,7.94256e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2035,0.000160687
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2040,0.000348123
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2045,0.000625696
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2050,0.00119284
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2055,0.00199064
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2060,0.00271145
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2065,0.00330511
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2070,0.00390078
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2075,0.00467179
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2080,0.00518214
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,2085,0.0058939
