Units,scenario,Year,value
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1975,0.0
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1976,0.100269
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1977,0.120862
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1978,0.141714
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1979,0.159493
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1980,0.173513
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1981,0.187989
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1982,0.183148
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1983,0.146355
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1984,0.157532
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1985,0.188321
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1986,0.215748
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1987,0.242095
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1988,0.27001
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1989,0.298248
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1990,0.322944
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1991,0.296353
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1992,0.188759
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1993,0.181627
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1994,0.238899
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1995,0.301649
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1996,0.3554
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1997,0.390187
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1998,0.4223
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",1999,0.460964
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2000,0.496196
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2001,0.526278
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2002,0.547918
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2003,0.56536
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2004,0.585223
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2005,0.603615
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2006,0.62285
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2007,0.644644
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2008,0.669573
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2009,0.693824
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2010,0.722185
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2011,0.748036
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2012,0.776747
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2013,0.807128
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2014,0.835839
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2015,0.863712
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2016,0.891624
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2017,0.919035
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2018,0.946086
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2019,0.972866
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2020,0.999474
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2021,1.02597
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2022,1.05069
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2023,1.0743
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2024,1.09711
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2025,1.12041
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2026,1.14414
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2027,1.16812
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2028,1.1923
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2029,1.2167
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2030,1.2413
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2031,1.2659
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2032,1.29053
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2033,1.31522
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2034,1.33999
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2035,1.36486
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2036,1.38993
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2037,1.41494
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2038,1.43974
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2039,1.46426
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2040,1.48844
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2041,1.51256
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2042,1.53653
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2043,1.56028
degreesC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",2044,1.58377
