Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2025,7.70367e-08
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2030,6.0552968e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2035,2.34211363e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2040,4.95484171e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2045,7.69016241e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2050,9.96503736e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2055,0.0001162679015
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2060,0.0001258945615
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2065,0.00012744163
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2070,0.00012399493000000002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2075,0.00012053178
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2080,0.00011228943
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2085,0.00014150122
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2090,0.00019525038
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2095,0.00026438831
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2100,0.00030203331
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2025,5.76199e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2030,0.00045315266
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2035,0.00175346858
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2040,0.0037109381900000005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2045,0.00576148842
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2050,0.00746809025
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2055,0.008716030940000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2060,0.00944066649
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2065,0.009559977
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2070,0.009305469
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2075,0.009051036
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2080,0.008438506
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2085,0.010643215000000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2090,0.014697159
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2095,0.019913404000000003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2100,0.022757969000000003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2025,1.04429e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2030,7.211329e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2035,2.5247557399999997e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2040,4.89474481e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2045,7.26105966e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2050,9.22968332e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2055,0.00010659066869999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2060,0.0001146880258
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2065,0.00011566079
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2070,0.00011204009
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2075,0.00010876065
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2080,0.00010209212999999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2085,0.00013022979
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2090,0.00018158256
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2095,0.00024791926000000003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2100,0.00028480047
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2040,8.00767e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2045,2.444206e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2050,6.717149999999999e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2055,0.00013494334
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2060,0.0002419379
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2065,0.00039635017
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2070,0.00058773247
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2075,0.0007760749800000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2080,0.0009290761
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2085,0.0009024131000000001
