Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2025,2.66307e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2030,0.00021088288999999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2035,0.00082040923
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2040,0.00174457009
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2045,0.00272022124
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2050,0.00353978696
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2055,0.0041470388600000005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2060,0.0045099993829999995
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2065,0.0045872489
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2070,0.004490166
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2075,0.004401186
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2080,0.004143446
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2085,0.005285425
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2090,0.007369598
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2095,0.010061913
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2100,0.011558742
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2040,0.000252023
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2045,0.000779484
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2050,0.00217602
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2055,0.0044302790000000005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2060,0.008049206
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2065,0.013357092000000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2070,0.020043431
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2075,0.0267434432
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2080,0.032332175
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2085,0.031650533
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2090,0.02574137
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2095,0.018499367
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2100,0.012135214
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2040,0.00134884
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2045,0.0027611
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2050,0.00451213
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2055,0.00651384
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2060,0.009044143
