Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2021,4.02821e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2025,0.0011155642
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2030,0.0047269908
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2035,0.01222219629
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2040,0.019110830999999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2045,0.026349723
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2050,0.03359258
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2055,0.04386156
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2060,0.05710037
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2065,0.07132223
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2070,0.08414431
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2075,0.09394554999999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2080,0.10012253
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2085,0.10967438
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2090,0.12182283
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2095,0.13453495999999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2100,0.1459958
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2021,6.33862e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2025,0.00017553984
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2030,0.00074381823
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2035,0.0019232301299999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2040,0.0030071946
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2045,0.004146281999999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2050,0.005285996
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2055,0.006901873
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2060,0.008985075
