Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2021,0.0024009
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2025,0.06648984999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2030,0.28173876
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2035,0.728470348
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2040,1.1390481000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2045,1.5705035999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2050,2.0021947
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2055,2.61425
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2060,3.4033040000000003
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2065,4.250967
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2070,5.015181
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2075,5.599361
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2080,5.96753
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2085,6.536833
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2090,7.260908000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2095,8.018575
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2100,8.701682
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2040,0.251216
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2045,0.727042
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2050,1.523169
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2055,2.5694491
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2060,3.8645916999999996
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2065,5.369995
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2070,6.842092999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2075,7.986719000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2080,8.738004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2085,8.954965
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2090,8.779144
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2095,8.39638
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2100,7.953378
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2030,0.00902507
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2035,0.03338609
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2040,0.06453497999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2045,0.11150665000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2050,0.17701473
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2055,0.26328662
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2060,0.3684659
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2065,0.4836745
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2070,0.5959601999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2075,0.6958495
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2080,0.7777064
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2085,0.8775751
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2090,0.9885396
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2095,1.0979854
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2100,1.1954031999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2030,0.0141468
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2035,0.0530168
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2040,0.12482059
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2045,0.26333433
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2050,0.48950004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2055,0.7902427
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2060,1.1449272
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2065,1.525468
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2070,1.9173386
