Units,scenario,region,LandLeaf,Year,value
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,1975,31.966277599999998
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,1990,34.9113508
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2005,47.9468642
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2010,60.839262
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2015,68.5730244
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2021,64.468125
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2025,67.1494837
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2030,70.5886374
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2035,73.3632422
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2040,75.189044
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2045,76.8053967
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2050,78.167442
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2055,80.11798658000001
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2060,82.31314428
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2065,83.84794135
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2070,85.08393614
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2075,85.71812275
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2080,86.0044969
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2085,86.6805456
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2090,87.05829489
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2095,87.18590329000001
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,CornC4,2100,87.41100503999999
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,1975,14.1589484
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,1990,8.0305122
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,2005,7.9391238
thous km2,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,2010,6.82036822074
