Units,scenario,region,Year,value
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1975,98409.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,1990,151062.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2005,230484.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2010,266642.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2015,304443.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2021,355355.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2025,391100.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2030,438024.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2035,485635.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2040,532794.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2045,578897.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2050,623428.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2055,665230.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2060,704017.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2065,738606.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2070,768862.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2075,793943.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2080,814205.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2085,830143.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2090,842266.0
thous,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,2095,850642.0
