Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2025,0.1561172853006
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2030,0.27912137285599997
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2035,0.3852832652211
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2040,0.4928897033019
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2045,0.601148394571
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2050,0.742225463197
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2055,0.826141867509
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2060,0.9001744014009999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2065,0.961102409304
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2070,1.011215215579
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2075,1.0473071139269998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2080,1.0825466504160002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2085,1.047663116657
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2090,0.990220629105
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2095,0.92685772257
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,biomass,2100,0.845348101593
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2025,0.00159778465137
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2030,0.003844646699901
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2035,0.006949318768852
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2040,0.012793000454679999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2045,0.02478436646572
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2050,0.04962047955637
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2055,0.08408858403233
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2060,0.11690099600046
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2065,0.14441522854538
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2070,0.17812424156162002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2075,0.20711932707653
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2080,0.23529165698658
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2085,0.2327907039429
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2090,0.22270014674836
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2095,0.21307252303331
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Northern,biomass,2100,0.21004179419274
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2025,0.08313511961339999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2030,0.1608838203362
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2035,0.24017786599500002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2040,0.335416406189
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2045,0.447370367013
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2050,0.595779662285
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2055,0.692679653535
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2060,0.7611495173680001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2065,0.798666153769
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2070,0.855702907131
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2075,0.901485453457
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2080,0.9468896477569999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2085,0.9461741289200001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2090,0.924009624503
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2095,0.891659054506
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,biomass,2100,0.866172082157
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2025,0.37778213504466
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2030,0.67551786183609
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2035,0.9648940265195
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2040,1.309458250043
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2045,1.6908020005408
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2050,2.215819479412
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2055,2.5889190909087
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2060,2.7638631421801
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2065,2.7320483928277
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2070,2.8399891743533
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2075,2.9460318205159
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2080,3.0235476262628
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2085,2.9771436120521
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2090,2.864710714955
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2095,2.7127335438538003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,biomass,2100,2.5846383853336
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,biomass,2025,0.046611094529580004
