Units,scenario,region,sector,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2030,0.000108134
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2035,0.000207692
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2040,8.88155e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2045,0.000163398
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2050,0.000289386
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2055,0.000483083
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2060,0.000608235
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2065,0.000701743
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2070,0.000802684
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2075,0.000884859
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2080,0.00104347
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2085,0.00139494
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2090,0.00172115
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2095,0.00198084
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2100,0.0021173
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2025,0.000593682
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2030,0.002941029
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2035,0.007227077
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2040,0.009979123
