Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,1975,0.000192821
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,1990,0.0007067782
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2005,0.002833526
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2010,0.0063586671
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2015,0.011231671
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2021,0.024059326000000002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2025,0.030091628999999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2030,0.034700794699999996
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2035,0.0410992018
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2040,0.04934239748
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2045,0.05985856712
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2050,0.07549068540000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2055,0.09772870368
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2060,0.1212235614
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2065,0.1383211418
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2070,0.1545732443
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2075,0.1695861155
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2080,0.1852450228
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2085,0.1960470829
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2090,0.20357853950000002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2095,0.2082713226
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,Corn,biomass,2100,0.21117664149999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,1975,0.0038110411332
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,1990,0.0051739128203
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2005,0.006587633328
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2010,0.0048269876515
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2015,0.005929201253
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2021,0.009518256043
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2025,0.009425399876000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2030,0.009154006038
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2035,0.009390071026
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2040,0.010097738003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2045,0.011230975879
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2050,0.013056137155
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2055,0.01674335415
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2060,0.020389580305
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2065,0.022850828596999998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2070,0.025129878561
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2075,0.027192085924
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,FiberCrop,biomass,2080,0.0292569914251
