Units,scenario,region,sector,mode,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2035,1.68942e-09
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2040,2.34698e-08
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2045,3.09422e-07
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2050,3.80839e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2055,9.60753e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2060,2.19378e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2065,4.43732e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2070,7.94575e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2075,0.000128002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2080,0.000188696
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2085,0.000237652
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2090,0.000286214
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2095,0.000335214
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2100,0.000388805
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2035,1.0089e-09
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2040,3.66987e-08
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2045,1.0485e-06
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2050,2.20872e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2055,5.76419e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2060,0.000134579
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2065,0.000277661
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2070,0.00050104
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2075,0.000803779
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2080,0.0011823
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2085,0.00152223
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2090,0.00188996
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2095,0.00231309
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2100,0.00348561
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1975,0.0130899
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1990,0.0178902
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2005,0.0333888
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2010,0.0415219
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2015,0.0492633
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2021,0.0398136
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2025,0.0429531
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2030,0.0529222
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2035,0.0647966
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2040,0.0811981
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2045,0.101187
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2050,0.125302
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2055,0.15463
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2060,0.18938
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2065,0.229641
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2070,0.27433
