Units,scenario,region,sector,subsector,technology,Year,value
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2035,0.0013208
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2040,0.0185354
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2045,0.246816
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2050,3.06809
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2055,7.73994
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2060,17.6734
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2065,35.7476
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2070,64.0119
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2075,103.12
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2080,152.016
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2085,191.455
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2090,230.577
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2095,270.052
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2100,313.226
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2035,0.000788769
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2040,0.0289829
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2045,0.836351
million pass-km,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2050,17.7938
