"CPC21code","CPC21title"
"0","Agriculture, forestry and fishery products"
"01","Products of agriculture, horticulture and market gardening"
"011","Cereals"
"0111","Wheat"
"01111","Wheat, seed"
"01112","Wheat, other"
"0112","Maize (corn)"
"01121","Maize (corn), seed"
"01122","Maize (corn), other"
"0113","Rice"
"01131","Rice, seed"
"01132","Rice paddy, other (not husked)"
"0114","Sorghum"
"01141","Sorghum, seed"
"01142","Sorghum, other"
"0115","Barley"
"01151","Barley, seed"
"01152","Barley, other"
"0116","Rye"
"01161","Rye, seed"
"01162","Rye, other"
"0117","Oats"
"01171","Oats, seed"
"01172","Oats, other"
"0118","Millet"
"01181","Millet, seed"
"01182","Millet, other"
"0119","Other cereals"
"01191","Triticale"
"01192","Buckwheat"
"01193","Fonio"
"01194","Quinoa"
"01195","Canary seed"
"01199","Other cereals n.e.c."
"012","Vegetables"
"0121","Leafy or stem vegetables"
"01211","Asparagus"
"01212","Cabbages"
"01213","Cauliflowers and broccoli"
"01214","Lettuce and chicory"
"01215","Spinach"
"01216","Artichokes"
"01219","Other leafy or stem vegetables"
"0122","Melons"
"01221","Watermelons"
"01229","Cantaloupes and other melons"
"0123","Fruit-bearing vegetables"
"01231","Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)"
"01232","Cucumbers and gherkins"
"01233","Eggplants (aubergines)"
"01234","Tomatoes"
"01235","Pumpkins, squash and gourds"
"01239","Other fruit-bearing vegetables"
"0124","Green leguminous vegetables"
"01241","Beans, green"
"01242","Peas, green"
"01243","Broad beans and horse beans, green"
"01249","Other green leguminous vegetables"
"0125","Root, bulb or tuberous vegetables"
"01251","Carrots and turnips"
"01252","Green garlic"
"01253","Onions"
"01254","Leeks and other alliaceous vegetables"
"01259","Other root, bulb and tuberous vegetables, n.e.c."
"0126","Vegetable seeds, except beet seeds"
"01260","Vegetable seeds, except beet seeds"
"0127","Mushrooms and truffles"
"01270","Mushrooms and truffles"
"0129","Vegetables, fresh, n.e.c."
"01290","Vegetables, fresh, n.e.c."
"013","Fruits and nuts"
"0131","Tropical and subtropical fruits"
"01311","Avocados"
"01312","Bananas"
"01313","Plantains and cooking bananas"
"01314","Dates"
"01315","Figs"
"01316","Mangoes, guavas and mangosteens"
"01317","Papayas"
"01318","Pineapples"
"01319","Other tropical and subtropical fruits, n.e.c."
"0132","Citrus fruits"
"01321","Pomelos and grapefruits"
"01322","Lemons and limes"
"01323","Oranges"
"01324","Tangerines, mandarins, clementines"
"01329","Other citrus fruit, n.e.c."
"0133","Grapes"
"01330","Grapes"
"0134","Pome fruits and stone fruits"
"01341","Apples"
"01342","Pears and quinces"
"01343","Apricots"
"01344","Cherries"
"01345","Peaches and nectarines"
"01346","Plums and sloes"
"01349","Other pome fruits and stone fruits"
"0135","Berries and other fruits"
"01351","Currants and gooseberries"
"01352","Kiwi fruit"
"01353","Raspberries, blackberries, mulberries and loganberries"
"01354","Strawberries"
"01355","Other berries; fruits of the genus <i>Vaccinium</i>"
"01356","Locust beans (carobs)"
"01359","Other fruits, n.e.c."
"0136","Fruit seeds"
"01360","Fruit seeds"
"0137","Nuts (excluding wild edible nuts and groundnuts), in shell"
"01371","Almonds, in shell"
"01372","Cashew nuts, in shell"
"01373","Chestnuts, in shell"
"01374","Hazelnuts, in shell"
"01375","Pistachios, in shell"
"01376","Walnuts, in shell"
"01377","Brazil nuts, in shell"
"01379","Other nuts (excluding wild edible nuts and groundnuts), in shell"
"014","Oilseeds and oleaginous fruits"
"0141","Soya beans"
"01411","Soya beans, seed for planting"
"01412","Soya beans, other"
"0142","Groundnuts, excluding shelled"
"01421","Groundnuts, seed for planting"
"01422","Groundnuts, in shell"
"0143","Cottonseed"
"01431","Cottonseed, seed for planting"
"01432","Cottonseed, other"
"0144","Other oilseeds"
"01441","Linseed"
"01442","Mustard seed"
"01443","Rape or colza seed"
"01444","Sesame seed"
"01445","Sunflower seed"
"01446","Safflower seed"
"01447","Castor oil seeds"
"01448","Poppy seed"
"01449","Other oilseeds, n.e.c."
"0145","Olives"
"01450","Olives"
"0146","Coconuts, in shell"
"01460","Coconuts, in shell"
"0149","Other oleaginous fruits"
"01491","Palm nuts and kernels"
"01492","Copra"
"01499","Other oleaginous fruits, n.e.c."
"015","Edible roots and tubers with high starch or inulin content"
"0151","Potatoes"
"01510","Potatoes"
"0152","Cassava"
"01520","Cassava"
"0153","Sweet potatoes"
"01530","Sweet potatoes"
"0154","Yams"
"01540","Yams"
"0155","Taro"
"01550","Taro "
"0159","Other edible roots and tubers with high starch or inulin content"
"01591","Yautia"
"01599","Other edible roots and tubers with high starch or inulin content, n.e.c."
"016","Stimulant, spice and aromatic crops"
"0161","Coffee, green"
"01610","Coffee, green"
"0162","Tea leaves"
"01620","Tea leaves"
"0163","Maté leaves"
"01630","Maté leaves"
"0164","Cocoa beans"
"01640","Cocoa beans"
"0165","Spice and aromatic crops, raw"
"01651","Pepper (<i>Piper</i> spp.), raw"
"01652","Chillies and peppers, dry (<i>Capsicum</i> spp., <i>Pimenta</i> spp.), raw"
"01653","Nutmeg, mace, cardamoms, raw"
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
"01655","Cinnamon and cinnamon-tree flowers, raw"
"01656","Cloves (whole stems), raw"
"01657","Ginger, raw"
"01658","Vanilla, raw"
"01659","Hop cones"
"0169","Stimulant, spice and aromatic crops, n.e.c."
"01691","Chicory roots"
"01699","Other stimulant, spice and aromatic crops, n.e.c."
"017","Pulses (dried leguminous vegetables)"
"0170","Pulses (dried leguminous vegetables)"
"01701","Beans, dry"
"01702","Broad beans and horse beans, dry"
"01703","Chick peas, dry"
"01704","Lentils, dry"
"01705","Peas, dry"
"01706","Cow peas, dry"
"01707","Pigeon peas, dry"
"01708","Bambara beans, dry"
"01709","Pulses, n.e.c."
"018","Sugar crops"
"0180","Sugar crops"
"01801","Sugar beet"
"01802","Sugar cane"
"01803","Sugar beet seeds"
"01809","Other sugar crops n.e.c."
"019","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials"
"0191","Forage products"
"01911","Maize for forage and silage"
"01912","Alfalfa for forage and silage"
"01913","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets"
"01919","Forage products, n.e.c."
"0192","Fibre crops"
"01921","Cotton, whether or not ginned"
"01922","Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
"01929","Other fibre crops, raw, n.e.c."
"0193","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"01930","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"0194","Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"01940","Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"0195","Natural rubber in primary forms or in plates, sheets or strip"
"01950","Natural rubber in primary forms or in plates, sheets or strip"
"0196","Living plants; cut flowers and flower buds; flower seeds"
"01961","Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
"01962","Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles"
"01963","Flower seeds"
"0197","Unmanufactured tobacco"
"01970","Unmanufactured tobacco"
"0199","Other raw vegetable materials, n.e.c."
"01990","Other raw vegetable materials, n.e.c."
"02","Live animals and animal products (excluding meat)"
"021","Live animals"
"0211","Bovine animals, live"
"02111","Cattle"
"02112","Buffalo"
"02119","Other bovine animals"
"0212","Other ruminants"
"02121","Camels and camelids"
"02122","Sheep"
"02123","Goats"
"02129","Other ruminants, n.e.c."
"0213","Horses and other equines"
"02131","Horses"
"02132","Asses"
"02133","Mules and hinnies"
"0214","Swine / pigs"
"02140","Swine / pigs"
"0215","Poultry"
"02151","Chickens"
"02152","Turkeys"
"02153","Geese"
"02154","Ducks"
"02155","Guinea fowls"
"0219","Other live animals"
"02191","Rabbits and hares"
"02192","Other mammals"
"02193","Ostriches and emus"
"02194","Other birds"
"02195","Reptiles"
"02196","Bees"
"02199","Other live animals, n.e.c."
"022","Raw milk"
"0221","Raw milk from bovine animals"
"02211","Raw milk of cattle"
"02212","Raw milk of buffalo"
"0229","Other raw milk"
"02291","Raw milk of sheep"
"02292","Raw milk of goats"
"02293","Raw milk of camel"
"02299","Other raw milk n.e.c."
"023","Eggs of hens or other birds in shell, fresh"
"0231","Hen eggs in shell, fresh"
"02311","Hen eggs in shell, fresh, for hatching"
"02312","Other hen eggs in shell, fresh"
"0232","Eggs from other birds in shell, fresh, n.e.c."
"02321","Eggs from other birds in shell, fresh, for hatching"
"02322","Other eggs from other birds in shell, fresh"
"024","Reproductive materials of animals"
"0241","Semen"
"02411","Bovine semen"
"02419","Semen, n.e.c."
"0242","Embryos"
"02420","Embryos"
"029","Other animal products"
"0291","Natural honey"
"02910","Natural honey"
"0292","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"02920","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"0293","Edible products of animal origin n.e.c."
"02930","Edible products of animal origin n.e.c."
"0294","Raw animal materials used in textiles"
"02941","Shorn wool, greasy, including fleece-washed shorn wool"
"02942","Pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair"
"02943","Fine animal hair, not carded or combed"
"02944","Silk-worm cocoons suitable for reeling"
"0295","Hides, skins and furskins, raw"
"02951","Raw hides and skins of bovine animals"
"02952","Raw hides and skins of equine animals"
"02953","Raw hides and skins of sheep or lambs"
"02954","Raw hides and skins of goats or kids"
"02955","Raw furskins"
"02959","Raw skins of other animals"
"0296","Insect waxes and spermaceti, whether or not refined or coloured"
"02960","Insect waxes and spermaceti, whether or not refined or coloured"
"03","Forestry and logging products"
"031","Wood in the rough"
"0311","Logs of coniferous wood"
"03110","Logs of coniferous wood"
"0312","Logs of non-coniferous wood"
"03120","Logs of non-coniferous wood"
"0313","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
"03131","Fuel wood of coniferous wood"
"03132","Fuel wood of non-coniferous wood"
"032","Non-wood forest products"
"0321","Natural gums and resins, gums-resins and oleoresins"
"03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip"
"03219","Lac, resins, balsams, natural gums and other resins n.e.c."
"0322","Natural cork, raw or simply prepared"
"03220","Natural cork, raw or simply prepared"
"0323","Other wild edible products"
"03230","Other wild edible products"
"0324","Parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"03241","Christmas trees"
"03249","Other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"0325","Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"03250","Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"04","Fish and other fishing products"
"041","Fish, live, not for human consumption"
"0411","Ornamental fish"
"04111","Wild ornamental fish"
"04112","Farmed ornamental fish"
"0419","Other live fish, not for human consumption, including seeds and feeds for aquaculture"
"04191","Other wild live fish, not for human consumption, including seeds and feeds for aquaculture"
"04192","Other farmed live fish, not for human consumption, including seeds and feeds for aquaculture"
"042","Fish live, fresh or chilled for human consumption"
"0421","Freshwater fish, live, fresh or chilled"
"04211","Wild freshwater fish, live, fresh or chilled"
"04212","Farmed freshwater fish, live, fresh or chilled"
"0422","Salmonidae, live, fresh or chilled"
"04221","Wild salmonidae, live, fresh or chilled"
"04222","Farmed salmonidae, live, fresh or chilled"
"0423","Flatfish, live, fresh or chilled"
"04231","Wild flatfish, live, fresh or chilled"
"04232","Farmed flatfish, live, fresh or chilled"
"0424","Fish of Gadiformes, live, fresh or chilled"
"04241","Wild fish of Gadiformes, live, fresh or chilled"
"04242","Farmed fish of Gadiformes, live, fresh or chilled"
"0425","Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"04251","Wild tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"04252","Farmed tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"0426","Other pelagic fish, live, fresh or chilled"
"04261","Other wild pelagic fish, live, fresh or chilled"
"04262","Other farmed pelagic fish, live, fresh or chilled"
"0429","Other fish, live, fresh or chilled"
"04291","Other wild fish, live, fresh or chilled"
"04292","Other farmed fish, live, fresh or chilled"
"043","Crustaceans, live, fresh or chilled"
"0431","Crabs, live, fresh or chilled"
"04311","Wild crabs, live, fresh or chilled"
"04312","Farmed crabs, live, fresh or chilled"
"0432","Rock lobster and other sea crawfish, live, fresh or chilled"
"04321","Wild rock lobster and other sea crawfish, live, fresh or chilled"
"04322","Farmed rock lobster and other sea crawfish, live, fresh or chilled"
"0433","Lobsters (<i>Homarus spp.</i>), live, fresh or chilled"
"04331","Wild lobsters (<i>Homarus spp.</i>), live, fresh or chilled"
"04332","Farmed lobsters (<i>Homarus spp.</i>), live, fresh or chilled"
"0434","Norway lobsters, live, fresh or chilled"
"04341","Wild Norway lobsters, live, fresh or chilled"
"04342","Farmed Norway lobsters, live, fresh or chilled"
"0435","Cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled"
"04351","Wild cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled"
"04352","Farmed cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled"
"0436","Other shrimps and prawns, live, fresh or chilled"
"04361","Other wild shrimps and prawns, live, fresh or chilled"
"04362","Other farmed shrimps and prawns, live, fresh or chilled"
"0439","Other crustaceans, live, fresh or chilled"
"04391","Other wild crustaceans, live, fresh or chilled"
"04392","Other farmed crustaceans, live, fresh or chilled"
"044","Molluscs live, fresh or chilled"
"0441","Abalone, live, fresh or chilled"
"04411","Wild abalone, live, fresh or chilled"
"04412","Farmed abalone, live, fresh or chilled"
"0442","Oysters, live, fresh or chilled"
"04421","Wild oysters, live, fresh or chilled"
"04422","Farmed oysters, live, fresh or chilled"
"0443","Mussels, live, fresh or chilled"
"04431","Wild mussels, live, fresh or chilled"
"04432","Farmed mussels, live, fresh or chilled"
"0444","Scallops, live, fresh or chilled"
"04441","Wild scallops, live, fresh or chilled"
"04442","Farmed scallops, live, fresh or chilled"
"0445","Clams, cockles and ark shells, live, fresh or chilled"
"04451","Wild clams, cockles and ark shells, live, fresh or chilled"
"04452","Farmed clams, cockles and ark shells, live, fresh or chilled"
"0446","Cuttle fish and squid, live, fresh or chilled"
"04461","Wild cuttle fish and squid, live, fresh or chilled"
"04462","Farmed cuttle fish and squid, live, fresh or chilled"
"0447","Octopus, live, fresh or chilled"
"04471","Wild octopus, live, fresh or chilled"
"04472","Farmed octopus, live, fresh or chilled"
"0449","Other molluscs, live, fresh or chilled"
"04491","Other wild molluscs, live, fresh or chilled"
"04492","Other farmed molluscs, live, fresh or chilled"
"045","Other aquatic invertebrates, live, fresh or chilled"
"0451","Sea cucumbers, live, fresh or chilled"
"04511","Wild sea cucumbers, live, fresh or chilled"
"04512","Farmed sea cucumbers, live, fresh or chilled"
"0452","Sea urchins, live, fresh or chilled"
"04521","Wild sea urchins, live, fresh or chilled"
"04522","Farmed sea urchins, live, fresh or chilled"
"0453","Jellyfish, live, fresh or chilled"
"04530","Jellyfish, live, fresh or chilled"
"0459","Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"04590","Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"049","Other aquatic plants and animals"
