region,year,variables,unit,value
EUR,1990,Power consumption,kilowatt hour,115
EUR,2000,Power consumption,kilowatt hour,108
EUR,2005,Power consumption,kilowatt hour,107
EUR,2006,Power consumption,kilowatt hour,105
EUR,2007,Power consumption,kilowatt hour,106
EUR,2008,Power consumption,kilowatt hour,109
EUR,2009,Power consumption,kilowatt hour,109
EUR,2010,Power consumption,kilowatt hour,113
EUR,2011,Power consumption,kilowatt hour,111
EUR,2012,Power consumption,kilowatt hour,113
EUR,2013,Power consumption,kilowatt hour,116
EUR,2014,Power consumption,kilowatt hour,115
EUR,2015,Power consumption,kilowatt hour,116
EUR,2016,Power consumption,kilowatt hour,118
EUR,2017,Power consumption,kilowatt hour,117
EUR,2030,Power consumption,kilowatt hour,100
EUR,2150,Power consumption,kilowatt hour,100
EUR,2012,Power generation,kilowatt hour,0.26
EUR,2013,Power generation,kilowatt hour,0.29
EUR,2014,Power generation,kilowatt hour,0.46
EUR,2015,Power generation,kilowatt hour,0.58
EUR,2016,Power generation,kilowatt hour,1.39
EUR,2017,Power generation,kilowatt hour,0.63
EUR,2030,Power generation,kilowatt hour,0.63
EUR,2150,Power generation,kilowatt hour,0.63
EUR,1990,"Production volume share, dry, with preheater and precalciner",percentage,0.23
EUR,2000,"Production volume share, dry, with preheater and precalciner",percentage,0.33
EUR,2005,"Production volume share, dry, with preheater and precalciner",percentage,0.42
EUR,2006,"Production volume share, dry, with preheater and precalciner",percentage,0.42
EUR,2007,"Production volume share, dry, with preheater and precalciner",percentage,0.42
EUR,2008,"Production volume share, dry, with preheater and precalciner",percentage,0.42
EUR,2009,"Production volume share, dry, with preheater and precalciner",percentage,0.45
EUR,2010,"Production volume share, dry, with preheater and precalciner",percentage,0.43
EUR,2011,"Production volume share, dry, with preheater and precalciner",percentage,0.42
EUR,2012,"Production volume share, dry, with preheater and precalciner",percentage,0.45
EUR,2013,"Production volume share, dry, with preheater and precalciner",percentage,0.46
EUR,2014,"Production volume share, dry, with preheater and precalciner",percentage,0.47
EUR,2015,"Production volume share, dry, with preheater and precalciner",percentage,0.49
EUR,2016,"Production volume share, dry, with preheater and precalciner",percentage,0.47
EUR,2017,"Production volume share, dry, with preheater and precalciner",percentage,0.48
EUR,2030,"Production volume share, dry, with preheater and precalciner",percentage,0.6
EUR,2150,"Production volume share, dry, with preheater and precalciner",percentage,1
EUR,1990,"Production volume share, dry, with preheater, without precalciner",percentage,0.35
EUR,2000,"Production volume share, dry, with preheater, without precalciner",percentage,0.34
EUR,2005,"Production volume share, dry, with preheater, without precalciner",percentage,0.32
EUR,2006,"Production volume share, dry, with preheater, without precalciner",percentage,0.32
EUR,2007,"Production volume share, dry, with preheater, without precalciner",percentage,0.32
EUR,2008,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2009,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2010,"Production volume share, dry, with preheater, without precalciner",percentage,0.34
EUR,2011,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2012,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2013,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2014,"Production volume share, dry, with preheater, without precalciner",percentage,0.32
EUR,2015,"Production volume share, dry, with preheater, without precalciner",percentage,0.33
EUR,2016,"Production volume share, dry, with preheater, without precalciner",percentage,0.35
EUR,2017,"Production volume share, dry, with preheater, without precalciner",percentage,0.35
EUR,2030,"Production volume share, dry, with preheater, without precalciner",percentage,0.4
EUR,2150,"Production volume share, dry, with preheater, without precalciner",percentage,0
EUR,1990,"Production volume share, dry, without preheater",percentage,0.04
EUR,2000,"Production volume share, dry, without preheater",percentage,0.03
EUR,2005,"Production volume share, dry, without preheater",percentage,0.03
EUR,2006,"Production volume share, dry, without preheater",percentage,0.03
EUR,2007,"Production volume share, dry, without preheater",percentage,0.03
