"market for cement, Portland",BR,0.89
"market for cement, blast furnace slag 35-70%",BR,0.4
"market for cement, blast furnace slag 6-34%",BR,0.66
"market for cement, limestone 6-10%",BR,0.86
"market for cement, pozzolana and fly ash 15-50%",BR,0.58
"market for cement, pozzolana and fly ash 6-14%",BR,0.74
"market for cement, sulphate resistant",BR,0.75
"market for cement, Portland",CA-QC,0.92
"market for cement, alternative constituents 6-20%",CA-QC,0.83
"market for cement, Portland",CH,0.9
"market for cement, alternative constituents 21-35%",CH,0.69
"market for cement, alternative constituents 6-20%",CH,0.79
"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents",CH,0.49
"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents",CH,0.38
"market for cement, blast furnace slag 36-65%",CH,0.47
"market for cement, blast furnace slag 66-80%",CH,0.26
"market for cement, blast furnace slag 81-95%",CH,0.11
"market for cement, pozzolana and fly ash 11-35%",CH,0.73
"market for cement, pozzolana and fly ash 36-55%",CH,0.52
"market for cement, alternative constituents 21-35%",CO,0.75
"market for cement, alternative constituents 45%",CO,0.55
"market for cement, Portland",Europe without Switzerland,0.9
"market for cement, alternative constituents 21-35%",Europe without Switzerland,0.68
"market for cement, alternative constituents 6-20%",Europe without Switzerland,0.83
"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents",Europe without Switzerland,0.49
"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents",Europe without Switzerland,0.38
"market for cement, blast furnace slag 36-65%",Europe without Switzerland,0.47
"market for cement, blast furnace slag 66-80%",Europe without Switzerland,0.26
"market for cement, blast furnace slag 81-95%",Europe without Switzerland,0.11
"market for cement, pozzolana and fly ash 11-35%",Europe without Switzerland,0.73
"market for cement, pozzolana and fly ash 36-55%",Europe without Switzerland,0.52
"market for cement, Portland",IN,0.96
"market for cement, blast furnace slag 40-70%",IN,0.5
"market for cement, pozzolana and fly ash 25-35%",IN,0.66
"market for cement, Portland",PE,0.95
"market for cement, limestone 21-35%",PE,0.7
"market for cement, pozzolana and fly ash 36-55%",PE,0.6
"market for cement, Portland",RoW,0.9
"market for cement, alternative constituents 21-35%",RoW,0.68
"market for cement, alternative constituents 45%",RoW,0.39
"market for cement, alternative constituents 6-20%",RoW,0.83
"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents",RoW,0.49
"market for cement, blast furnace slag 21-35%",RoW,0.43
"market for cement, blast furnace slag 25-70%",RoW,0.5
"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents",RoW,0.38
"market for cement, blast furnace slag 35-70%",RoW,0.29
"market for cement, blast furnace slag 36-65%",RoW,0.47
"market for cement, blast furnace slag 40-70%",RoW,0.44
"market for cement, blast furnace slag 5-25%",RoW,0.81
"market for cement, blast furnace slag 6-20%",RoW,0.5
"market for cement, blast furnace slag 6-34%",RoW,0.48
"market for cement, blast furnace slag 66-80%",RoW,0.26
"market for cement, blast furnace slag 70-100%",RoW,0.14
"market for cement, blast furnace slag 81-95%",RoW,0.11
"market for cement, portland fly ash cement 21-35%",RoW,0.43
"market for cement, portland fly ash cement 6-20%",RoW,0.5
"market for cement, limestone 21-35%",RoW,0.5
"market for cement, limestone 6-10%",RoW,0.86
"market for cement, limestone 6-20%",RoW,0.76
"market for cement, limestone cement 6-20%",RoW,0.54
"market for cement, pozzolana and fly ash 11-35%",RoW,0.73
"market for cement, pozzolana and fly ash 15-40%",RoW,0.69
"market for cement, pozzolana and fly ash 15-50%",RoW,0.42
"market for cement, pozzolana and fly ash 25-35%",RoW,0.66
"market for cement, pozzolana and fly ash 36-55%",RoW,0.52
"market for cement, pozzolana and fly ash 5-15%",RoW,0.86
"market for cement, pozzolana and fly ash 6-14%",RoW,0.54
"market for cement, Portland",US,0.9
"market for cement, blast furnace slag 25-70%",US,0.5
"market for cement, blast furnace slag 5-25%",US,0.81
"market for cement, blast furnace slag 70-100%",US,0.14
"market for cement, pozzolana and fly ash 15-40%",US,0.69
"market for cement, pozzolana and fly ash 5-15%",US,0.86
"market for cement, Portland",ZA,0.9
"market for cement, blast furnace slag 21-35%",ZA,0.62
"market for cement, blast furnace slag 36-65%",ZA,0.43
"market for cement, blast furnace slag 6-20%",ZA,0.71
"market for cement, portland fly ash cement 21-35%",ZA,0.62
"market for cement, portland fly ash cement 6-20%",ZA,0.71
"market for cement, limestone 21-35%",ZA,0.76
"market for cement, limestone cement 6-20%",ZA,0.76
"market for cement, limestone 6-20%",ZA,0.76
