region,year,value
CA,2005,0.81
CA,2010,0.8
CA,2015,0.79
CA,2020,0.77
CA,2100,0.58
CA,2150,0.58
CN,2005,0.58
CN,2010,0.58
CN,2015,0.58
CN,2020,0.58
CN,2100,0.58
CN,2150,0.58
FR,2005,0.73
FR,2010,0.72
FR,2015,0.71
FR,2020,0.71
FR,2100,0.58
FR,2150,0.58
IN,2005,0.71
IN,2010,0.7
IN,2015,0.7
IN,2020,0.69
IN,2100,0.58
IN,2150,0.58
JP,2005,0.8
JP,2010,0.79
JP,2015,0.78
JP,2020,0.77
JP,2100,0.58
JP,2150,0.58
BR,2005,0.7
BR,2010,0.69
BR,2015,0.69
BR,2020,0.68
BR,2100,0.58
BR,2150,0.58
TR,2005,0.81
TR,2010,0.8
TR,2015,0.79
TR,2020,0.77
TR,2100,0.58
TR,2150,0.58
SE,2005,0.81
SE,2010,0.8
SE,2015,0.79
SE,2020,0.77
SE,2100,0.58
SE,2150,0.58
ID,2005,0.8
ID,2010,0.79
ID,2015,0.78
ID,2020,0.77
ID,2100,0.58
ID,2150,0.58
RU,2005,0.8
RU,2010,0.79
RU,2015,0.78
RU,2020,0.77
RU,2100,0.58
RU,2150,0.58
ZA,2005,0.77
ZA,2010,0.76
ZA,2015,0.75
ZA,2020,0.74
ZA,2100,0.58
ZA,2150,0.58
US,2005,0.82
US,2010,0.81
US,2015,0.79
US,2020,0.78
US,2100,0.58
US,2150,0.58
