dataset;location;Sum of production volume
electricity production, deep geothermal;CR;1219.4
electricity production, deep geothermal;DE;159.25
electricity production, deep geothermal;FR;3.64
electricity production, deep geothermal;GLO;66754.88
electricity production, deep geothermal;GT;308.49
electricity production, deep geothermal;US-HICC;260.098
electricity production, deep geothermal;ID;3601.78
electricity production, deep geothermal;IS;4611.88
electricity production, deep geothermal;IT;5722.99
electricity production, deep geothermal;JP;2191.28
electricity production, deep geothermal;KE;3825.64
electricity production, deep geothermal;MX;5490.03
electricity production, deep geothermal;NI;642.46
electricity production, deep geothermal;NZ;6695.78
electricity production, deep geothermal;PH;10073.7
electricity production, deep geothermal;PT;156.52
electricity production, deep geothermal;RU;405.86
electricity production, deep geothermal;SV;1434.16
electricity production, deep geothermal;TH;0.91
electricity production, deep geothermal;TR;4385.29
electricity production, deep geothermal;US-WECC;15565.722
electricity production, deep geothermal;RoW;1
electricity production, hard coal;AR;1713.99
electricity production, hard coal;AT;1439.236089
electricity production, hard coal;AU;62892.67653
electricity production, hard coal;BD;1024.86
electricity production, hard coal;BE;290.3158162
electricity production, hard coal;BG;58.59
electricity production, hard coal;NA;10300
electricity production, hard coal;NA;6690
electricity production, hard coal;BW;2492.4
electricity production, hard coal;CA-AB;293.046
electricity production, hard coal;CA-NB;990.59
electricity production, hard coal;CA-NS;6062.492
electricity production, hard coal;CL;29293.28328
electricity production, hard coal;CO;5017.35
electricity production, hard coal;CN-GD;115082.8467
electricity production, hard coal;CN-GX;26042.64097
electricity production, hard coal;CN-GZ;42907.60442
electricity production, hard coal;CN-HA;8432.481528
electricity production, hard coal;CN-YN;15727.55896
electricity production, hard coal;DE;90661.37788
electricity production, hard coal;DO;2262.69
electricity production, hard coal;ES;35241.72781
electricity production, hard coal;FI;2126.501004
electricity production, hard coal;FR;7516.048198
electricity production, hard coal;US-FRCC;39100.923
electricity production, hard coal;GB;29403.61876
electricity production, hard coal;GLO;6242636.016
electricity production, hard coal;GT;3674.43
electricity production, hard coal;HK;23035.17
electricity production, hard coal;HR;2395.68
electricity production, hard coal;IE;4531.885969
electricity production, hard coal;IL;23421.98521
electricity production, hard coal;IN-BR;15974.71173
electricity production, hard coal;IN-JH;21751.61863
electricity production, hard coal;IN-OR;40484.38751
electricity production, hard coal;IN-WB;68420.3174
electricity production, hard coal;IN-TN;1448
electricity production, hard coal;IN-DL;5366.344035
electricity production, hard coal;IN-HR;23147.51069
electricity production, hard coal;IN-PB;18072.39092
electricity production, hard coal;IN-RJ;23422.76106
electricity production, hard coal;IN-UP;93408.71992
electricity production, hard coal;IN-AP;93817.64397
electricity production, hard coal;IN-KA;35840.34086
electricity production, hard coal;IN-TN;27481.6304
