region;climate
BRA;tropical
CAN;temperate
CEU;temperate
CHN;temperate
EAF;tropical
INDIA;tropical
INDO;tropical
JAP;temperate
KOR;temperate
ME;tropical
MEX;temperate
NAF;tropical
OCE;tropical
RCAM;tropical
RSAF;temperate
RSAM;tropical
RSAS;tropical
RUS;temperate
SAF;tropical
SEAS;tropical
STAN;temperate
TUR;temperate
UKR;temperate
USA;tropical
WAF;tropical
WEU;temperate
LAM;tropical
CAZ;temperate
EUR;temperate
CHA;temperate
SSA;tropical
IND;tropical
OAS;tropical
JPN;temperate
OAS;temperate
MEA;tropical
LAM;temperate
SSA;tropical
CAZ;tropical
LAM;tropical
SSA;temperate
LAM;tropical
OAS;tropical
REF;temperate
SSA;tropical
OAS;tropical
MEA;temperate
MEA;temperate
REF;temperate
USA;tropical
SSA;tropical
EUR;temperate
