,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,11
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,18
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,10
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,21
38,2020,CAZ,BEV,Large,2015,25
39,2020,CAZ,BEV,Large,2016,39
40,2020,CAZ,BEV,Large,2017,58
41,2020,CAZ,BEV,Large,2018,78
42,2020,CAZ,BEV,Large,2019,97
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,21
63,2025,CAZ,BEV,Large,2016,35
64,2025,CAZ,BEV,Large,2017,54
65,2025,CAZ,BEV,Large,2018,75
66,2025,CAZ,BEV,Large,2019,95
67,2025,CAZ,BEV,Large,2020,116
68,2025,CAZ,BEV,Large,2021,215
69,2025,CAZ,BEV,Large,2022,238
70,2025,CAZ,BEV,Large,2023,261
71,2025,CAZ,BEV,Large,2024,284
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,13
93,2030,CAZ,BEV,Large,2017,30
94,2030,CAZ,BEV,Large,2018,51
95,2030,CAZ,BEV,Large,2019,74
96,2030,CAZ,BEV,Large,2020,98
97,2030,CAZ,BEV,Large,2021,193
98,2030,CAZ,BEV,Large,2022,223
99,2030,CAZ,BEV,Large,2023,251
100,2030,CAZ,BEV,Large,2024,279
101,2030,CAZ,BEV,Large,2025,306
102,2030,CAZ,BEV,Large,2026,327
103,2030,CAZ,BEV,Large,2027,352
104,2030,CAZ,BEV,Large,2028,372
105,2030,CAZ,BEV,Large,2029,390
130,2035,CAZ,BEV,Large,2020,14
131,2035,CAZ,BEV,Large,2021,74
132,2035,CAZ,BEV,Large,2022,123
133,2035,CAZ,BEV,Large,2023,170
134,2035,CAZ,BEV,Large,2024,216
135,2035,CAZ,BEV,Large,2025,259
136,2035,CAZ,BEV,Large,2026,294
137,2035,CAZ,BEV,Large,2027,330
138,2035,CAZ,BEV,Large,2028,358
139,2035,CAZ,BEV,Large,2029,383
140,2035,CAZ,BEV,Large,2030,405
141,2035,CAZ,BEV,Large,2031,390
142,2035,CAZ,BEV,Large,2032,414
143,2035,CAZ,BEV,Large,2033,451
144,2035,CAZ,BEV,Large,2034,496
174,2040,CAZ,BEV,Large,2025,39
175,2040,CAZ,BEV,Large,2026,112
176,2040,CAZ,BEV,Large,2027,182
177,2040,CAZ,BEV,Large,2028,243
178,2040,CAZ,BEV,Large,2029,297
179,2040,CAZ,BEV,Large,2030,343
180,2040,CAZ,BEV,Large,2031,351
181,2040,CAZ,BEV,Large,2032,388
182,2040,CAZ,BEV,Large,2033,435
183,2040,CAZ,BEV,Large,2034,487
