,year,vintage_year,IAM_region,powertrain,size,vintage_demand_tkm
0,2015,2010,CAZ,BEV,3.5t,0
1,2020,2010,CAZ,BEV,3.5t,0
2,2025,2010,CAZ,BEV,3.5t,0
3,2030,2010,CAZ,BEV,3.5t,0
4,2035,2010,CAZ,BEV,3.5t,0
5,2040,2010,CAZ,BEV,3.5t,0
6,2045,2010,CAZ,BEV,3.5t,0
7,2050,2010,CAZ,BEV,3.5t,0
14,2015,2010,CAZ,FCEV,3.5t,0
15,2020,2010,CAZ,FCEV,3.5t,0
16,2025,2010,CAZ,FCEV,3.5t,0
17,2030,2010,CAZ,FCEV,3.5t,0
18,2035,2010,CAZ,FCEV,3.5t,0
19,2040,2010,CAZ,FCEV,3.5t,0
20,2045,2010,CAZ,FCEV,3.5t,0
21,2050,2010,CAZ,FCEV,3.5t,0
28,2015,2010,CAZ,ICEV-d,3.5t,17870
29,2020,2010,CAZ,ICEV-d,3.5t,7229
30,2025,2010,CAZ,ICEV-d,3.5t,282
31,2030,2010,CAZ,ICEV-d,3.5t,0
32,2035,2010,CAZ,ICEV-d,3.5t,0
33,2040,2010,CAZ,ICEV-d,3.5t,0
34,2045,2010,CAZ,ICEV-d,3.5t,0
35,2050,2010,CAZ,ICEV-d,3.5t,0
42,2015,2010,CAZ,ICEV-g,3.5t,0
43,2020,2010,CAZ,ICEV-g,3.5t,0
44,2025,2010,CAZ,ICEV-g,3.5t,0
45,2030,2010,CAZ,ICEV-g,3.5t,0
46,2035,2010,CAZ,ICEV-g,3.5t,0
47,2040,2010,CAZ,ICEV-g,3.5t,0
48,2045,2010,CAZ,ICEV-g,3.5t,0
49,2050,2010,CAZ,ICEV-g,3.5t,0
56,2015,2010,CAZ,BEV,3.5t,0
57,2020,2010,CAZ,BEV,3.5t,0
58,2025,2010,CAZ,BEV,3.5t,0
59,2030,2010,CAZ,BEV,3.5t,0
60,2035,2010,CAZ,BEV,3.5t,0
61,2040,2010,CAZ,BEV,3.5t,0
62,2045,2010,CAZ,BEV,3.5t,0
63,2050,2010,CAZ,BEV,3.5t,0
70,2015,2010,CAZ,FCEV,3.5t,0
71,2020,2010,CAZ,FCEV,3.5t,0
72,2025,2010,CAZ,FCEV,3.5t,0
73,2030,2010,CAZ,FCEV,3.5t,0
74,2035,2010,CAZ,FCEV,3.5t,0
75,2040,2010,CAZ,FCEV,3.5t,0
76,2045,2010,CAZ,FCEV,3.5t,0
77,2050,2010,CAZ,FCEV,3.5t,0
84,2015,2010,CAZ,ICEV-d,3.5t,0
85,2020,2010,CAZ,ICEV-d,3.5t,0
86,2025,2010,CAZ,ICEV-d,3.5t,0
87,2030,2010,CAZ,ICEV-d,3.5t,0
88,2035,2010,CAZ,ICEV-d,3.5t,0
89,2040,2010,CAZ,ICEV-d,3.5t,0
90,2045,2010,CAZ,ICEV-d,3.5t,0
91,2050,2010,CAZ,ICEV-d,3.5t,0
98,2015,2010,CAZ,ICEV-g,3.5t,0
99,2020,2010,CAZ,ICEV-g,3.5t,0
100,2025,2010,CAZ,ICEV-g,3.5t,0
101,2030,2010,CAZ,ICEV-g,3.5t,0
102,2035,2010,CAZ,ICEV-g,3.5t,0
103,2040,2010,CAZ,ICEV-g,3.5t,0
104,2045,2010,CAZ,ICEV-g,3.5t,0
105,2050,2010,CAZ,ICEV-g,3.5t,0
112,2015,2010,CAZ,BEV,3.5t,0
113,2020,2010,CAZ,BEV,3.5t,0
114,2025,2010,CAZ,BEV,3.5t,0
115,2030,2010,CAZ,BEV,3.5t,0
116,2035,2010,CAZ,BEV,3.5t,0
117,2040,2010,CAZ,BEV,3.5t,0
118,2045,2010,CAZ,BEV,3.5t,0
119,2050,2010,CAZ,BEV,3.5t,0
126,2015,2010,CAZ,FCEV,3.5t,0
127,2020,2010,CAZ,FCEV,3.5t,0
128,2025,2010,CAZ,FCEV,3.5t,0
129,2030,2010,CAZ,FCEV,3.5t,0
130,2035,2010,CAZ,FCEV,3.5t,0
131,2040,2010,CAZ,FCEV,3.5t,0
132,2045,2010,CAZ,FCEV,3.5t,0
133,2050,2010,CAZ,FCEV,3.5t,0
140,2015,2010,CAZ,ICEV-d,3.5t,6478
141,2020,2010,CAZ,ICEV-d,3.5t,2620
142,2025,2010,CAZ,ICEV-d,3.5t,102
143,2030,2010,CAZ,ICEV-d,3.5t,0
144,2035,2010,CAZ,ICEV-d,3.5t,0
145,2040,2010,CAZ,ICEV-d,3.5t,0
146,2045,2010,CAZ,ICEV-d,3.5t,0
147,2050,2010,CAZ,ICEV-d,3.5t,0
154,2015,2010,CAZ,ICEV-g,3.5t,0
155,2020,2010,CAZ,ICEV-g,3.5t,0
156,2025,2010,CAZ,ICEV-g,3.5t,0
157,2030,2010,CAZ,ICEV-g,3.5t,0
158,2035,2010,CAZ,ICEV-g,3.5t,0
159,2040,2010,CAZ,ICEV-g,3.5t,0
160,2045,2010,CAZ,ICEV-g,3.5t,0
161,2050,2010,CAZ,ICEV-g,3.5t,0
168,2015,2010,CAZ,BEV,7.5t,0
169,2020,2010,CAZ,BEV,7.5t,0
170,2025,2010,CAZ,BEV,7.5t,0
171,2030,2010,CAZ,BEV,7.5t,0
172,2035,2010,CAZ,BEV,7.5t,0
173,2040,2010,CAZ,BEV,7.5t,0
174,2045,2010,CAZ,BEV,7.5t,0
175,2050,2010,CAZ,BEV,7.5t,0
182,2015,2010,CAZ,FCEV,7.5t,0
183,2020,2010,CAZ,FCEV,7.5t,0
184,2025,2010,CAZ,FCEV,7.5t,0
185,2030,2010,CAZ,FCEV,7.5t,0
186,2035,2010,CAZ,FCEV,7.5t,0
187,2040,2010,CAZ,FCEV,7.5t,0
188,2045,2010,CAZ,FCEV,7.5t,0
189,2050,2010,CAZ,FCEV,7.5t,0
196,2015,2010,CAZ,ICEV-d,7.5t,7978
197,2020,2010,CAZ,ICEV-d,7.5t,3227
198,2025,2010,CAZ,ICEV-d,7.5t,126
199,2030,2010,CAZ,ICEV-d,7.5t,0
200,2035,2010,CAZ,ICEV-d,7.5t,0
201,2040,2010,CAZ,ICEV-d,7.5t,0
202,2045,2010,CAZ,ICEV-d,7.5t,0
203,2050,2010,CAZ,ICEV-d,7.5t,0
210,2015,2010,CAZ,ICEV-g,7.5t,0
211,2020,2010,CAZ,ICEV-g,7.5t,0
212,2025,2010,CAZ,ICEV-g,7.5t,0
213,2030,2010,CAZ,ICEV-g,7.5t,0
214,2035,2010,CAZ,ICEV-g,7.5t,0
215,2040,2010,CAZ,ICEV-g,7.5t,0
216,2045,2010,CAZ,ICEV-g,7.5t,0
217,2050,2010,CAZ,ICEV-g,7.5t,0
224,2015,2010,CAZ,BEV,26t,0
225,2020,2010,CAZ,BEV,26t,0
226,2025,2010,CAZ,BEV,26t,0
227,2030,2010,CAZ,BEV,26t,0
228,2035,2010,CAZ,BEV,26t,0
229,2040,2010,CAZ,BEV,26t,0
230,2045,2010,CAZ,BEV,26t,0
231,2050,2010,CAZ,BEV,26t,0
238,2015,2010,CAZ,FCEV,26t,0
239,2020,2010,CAZ,FCEV,26t,0
240,2025,2010,CAZ,FCEV,26t,0
241,2030,2010,CAZ,FCEV,26t,0
242,2035,2010,CAZ,FCEV,26t,0
243,2040,2010,CAZ,FCEV,26t,0
244,2045,2010,CAZ,FCEV,26t,0
245,2050,2010,CAZ,FCEV,26t,0
252,2015,2010,CAZ,ICEV-d,26t,5
253,2020,2010,CAZ,ICEV-d,26t,2
254,2025,2010,CAZ,ICEV-d,26t,0
255,2030,2010,CAZ,ICEV-d,26t,0
256,2035,2010,CAZ,ICEV-d,26t,0
257,2040,2010,CAZ,ICEV-d,26t,0
258,2045,2010,CAZ,ICEV-d,26t,0
259,2050,2010,CAZ,ICEV-d,26t,0
266,2015,2010,CAZ,ICEV-g,26t,0
267,2020,2010,CAZ,ICEV-g,26t,0
268,2025,2010,CAZ,ICEV-g,26t,0
269,2030,2010,CAZ,ICEV-g,26t,0
270,2035,2010,CAZ,ICEV-g,26t,0
271,2040,2010,CAZ,ICEV-g,26t,0
272,2045,2010,CAZ,ICEV-g,26t,0
273,2050,2010,CAZ,ICEV-g,26t,0
280,2015,2010,CAZ,BEV,26t,0
281,2020,2010,CAZ,BEV,26t,0
282,2025,2010,CAZ,BEV,26t,0
283,2030,2010,CAZ,BEV,26t,0
284,2035,2010,CAZ,BEV,26t,0
285,2040,2010,CAZ,BEV,26t,0
286,2045,2010,CAZ,BEV,26t,0
287,2050,2010,CAZ,BEV,26t,0
294,2015,2010,CAZ,FCEV,26t,0
295,2020,2010,CAZ,FCEV,26t,0
296,2025,2010,CAZ,FCEV,26t,0
297,2030,2010,CAZ,FCEV,26t,0
298,2035,2010,CAZ,FCEV,26t,0
299,2040,2010,CAZ,FCEV,26t,0
300,2045,2010,CAZ,FCEV,26t,0
301,2050,2010,CAZ,FCEV,26t,0
308,2015,2010,CAZ,ICEV-d,26t,3
309,2020,2010,CAZ,ICEV-d,26t,1
310,2025,2010,CAZ,ICEV-d,26t,0
311,2030,2010,CAZ,ICEV-d,26t,0
312,2035,2010,CAZ,ICEV-d,26t,0
313,2040,2010,CAZ,ICEV-d,26t,0
314,2045,2010,CAZ,ICEV-d,26t,0
315,2050,2010,CAZ,ICEV-d,26t,0
322,2015,2010,CAZ,ICEV-g,26t,0
323,2020,2010,CAZ,ICEV-g,26t,0
324,2025,2010,CAZ,ICEV-g,26t,0
325,2030,2010,CAZ,ICEV-g,26t,0
326,2035,2010,CAZ,ICEV-g,26t,0
327,2040,2010,CAZ,ICEV-g,26t,0
328,2045,2010,CAZ,ICEV-g,26t,0
329,2050,2010,CAZ,ICEV-g,26t,0
336,2015,2010,CAZ,BEV,7.5t,0
337,2020,2010,CAZ,BEV,7.5t,0
338,2025,2010,CAZ,BEV,7.5t,0
339,2030,2010,CAZ,BEV,7.5t,0
340,2035,2010,CAZ,BEV,7.5t,0
341,2040,2010,CAZ,BEV,7.5t,0
342,2045,2010,CAZ,BEV,7.5t,0
343,2050,2010,CAZ,BEV,7.5t,0
350,2015,2010,CAZ,FCEV,7.5t,0
351,2020,2010,CAZ,FCEV,7.5t,0
352,2025,2010,CAZ,FCEV,7.5t,0
353,2030,2010,CAZ,FCEV,7.5t,0
354,2035,2010,CAZ,FCEV,7.5t,0
355,2040,2010,CAZ,FCEV,7.5t,0
356,2045,2010,CAZ,FCEV,7.5t,0
357,2050,2010,CAZ,FCEV,7.5t,0
364,2015,2010,CAZ,ICEV-d,7.5t,13208
365,2020,2010,CAZ,ICEV-d,7.5t,5342
366,2025,2010,CAZ,ICEV-d,7.5t,208
367,2030,2010,CAZ,ICEV-d,7.5t,0
368,2035,2010,CAZ,ICEV-d,7.5t,0
