year,region,powertrain,size,vintage_demand_vkm
2015,CAZ,BEV,Large,933
2015,CAZ,BEV,Large SUV,3187
2015,CAZ,BEV,Lower medium,105
2015,CAZ,BEV,Medium,806
2015,CAZ,BEV,Van,286
2015,CAZ,FCEV,Large,564
2015,CAZ,FCEV,Large SUV,1958
2015,CAZ,FCEV,Lower medium,49
2015,CAZ,FCEV,Medium,441
2015,CAZ,FCEV,Van,161
2015,CAZ,ICEV-d,13m single deck urban bus,8632
2015,CAZ,ICEV-d,18t,13013
2015,CAZ,ICEV-d,26t,36081
2015,CAZ,ICEV-d,3.5t,39286
2015,CAZ,ICEV-d,7.5t,26219
2015,CAZ,ICEV-d,Large,28365
2015,CAZ,ICEV-d,Large SUV,59941
2015,CAZ,ICEV-d,Lower medium,17775
2015,CAZ,ICEV-d,Medium,130547
2015,CAZ,ICEV-d,Van,39530
2015,CAZ,ICEV-g,13m single deck urban bus,303
2015,CAZ,ICEV-g,Large,337
2015,CAZ,ICEV-g,Large SUV,1082
2015,CAZ,ICEV-g,Lower medium,89
2015,CAZ,ICEV-g,Medium,773
2015,CAZ,ICEV-g,Van,215
2015,CAZ,ICEV-p,Large,38612
2015,CAZ,ICEV-p,Large SUV,81588
2015,CAZ,ICEV-p,Lower medium,24209
2015,CAZ,ICEV-p,Medium,177763
2015,CAZ,ICEV-p,Van,53844
2015,CAZ,PHEV-d,Large,2367
2015,CAZ,PHEV-d,Large SUV,7719
2015,CAZ,PHEV-d,Lower medium,260
2015,CAZ,PHEV-d,Medium,1851
2015,CAZ,PHEV-d,Van,681
2015,CAZ,PHEV-p,Large,3215
2015,CAZ,PHEV-p,Large SUV,10465
2015,CAZ,PHEV-p,Lower medium,347
2015,CAZ,PHEV-p,Medium,2520
2015,CAZ,PHEV-p,Van,925
2015,CHA,BEV,Lower medium,114
2015,CHA,BEV,Medium SUV,207
2015,CHA,BEV,Small,13
2015,CHA,FCEV,Lower medium,47
2015,CHA,FCEV,Medium SUV,80
2015,CHA,FCEV,Small,5
2015,CHA,ICEV-d,13m single deck urban bus,149757
2015,CHA,ICEV-d,18t,95595
2015,CHA,ICEV-d,3.5t,745366
2015,CHA,ICEV-d,7.5t,87007
2015,CHA,ICEV-d,Lower medium,101001
2015,CHA,ICEV-d,Medium SUV,40571
2015,CHA,ICEV-d,Mini,54642
2015,CHA,ICEV-d,Small,92534
2015,CHA,ICEV-g,13m single deck urban bus,21113
2015,CHA,ICEV-g,18t,49
2015,CHA,ICEV-g,3.5t,10
2015,CHA,ICEV-g,7.5t,12
2015,CHA,ICEV-g,Lower medium,77
2015,CHA,ICEV-g,Medium SUV,169
2015,CHA,ICEV-g,Small,6
2015,CHA,ICEV-p,Lower medium,74658
2015,CHA,ICEV-p,Medium SUV,29987
2015,CHA,ICEV-p,Mini,40335
2015,CHA,ICEV-p,Small,68358
2015,CHA,PHEV-d,Lower medium,396
2015,CHA,PHEV-d,Medium SUV,606
2015,CHA,PHEV-d,Mini,7
2015,CHA,PHEV-d,Small,67
2015,CHA,PHEV-p,Lower medium,292
2015,CHA,PHEV-p,Medium SUV,451
2015,CHA,PHEV-p,Mini,5
2015,CHA,PHEV-p,Small,52
2015,EUR,BEV,Lower medium,1503
2015,EUR,BEV,Medium,1273
2015,EUR,BEV,Medium SUV,5105
2015,EUR,BEV,Small,1044
2015,EUR,BEV,Van,16
2015,EUR,FCEV,Lower medium,786
2015,EUR,FCEV,Medium,640
2015,EUR,FCEV,Medium SUV,2689
2015,EUR,FCEV,Small,565
2015,EUR,FCEV,Van,7
2015,EUR,ICEV-d,13m single deck urban bus,102062
2015,EUR,ICEV-d,18t,56689
2015,EUR,ICEV-d,26t,68611
2015,EUR,ICEV-d,3.5t,348886
2015,EUR,ICEV-d,40t,117916
2015,EUR,ICEV-d,7.5t,326308
2015,EUR,ICEV-d,Lower medium,530647
2015,EUR,ICEV-d,Medium,289791
2015,EUR,ICEV-d,Medium SUV,255850
2015,EUR,ICEV-d,Small,741656
2015,EUR,ICEV-d,Van,3226
2015,EUR,ICEV-g,13m single deck urban bus,1370
2015,EUR,ICEV-g,3.5t,668
2015,EUR,ICEV-g,Lower medium,1225
2015,EUR,ICEV-g,Medium,1109
2015,EUR,ICEV-g,Medium SUV,4636
2015,EUR,ICEV-g,Small,812
2015,EUR,ICEV-g,Van,10
2015,EUR,ICEV-p,Lower medium,239289
2015,EUR,ICEV-p,Medium,130678
2015,EUR,ICEV-p,Medium SUV,115252
2015,EUR,ICEV-p,Small,334463
2015,EUR,ICEV-p,Van,1452
2015,EUR,PHEV-d,Lower medium,5644
2015,EUR,PHEV-d,Medium,4578
2015,EUR,PHEV-d,Medium SUV,14570
2015,EUR,PHEV-d,Small,4258
2015,EUR,PHEV-d,Van,77
2015,EUR,PHEV-p,Lower medium,2512
2015,EUR,PHEV-p,Medium,2034
2015,EUR,PHEV-p,Medium SUV,6522
2015,EUR,PHEV-p,Small,1900
2015,EUR,PHEV-p,Van,22
2015,IND,ICEV-d,13m single deck urban bus,48135
2015,IND,ICEV-d,18t,25567
2015,IND,ICEV-d,3.5t,35392
2015,IND,ICEV-d,7.5t,136613
2015,IND,ICEV-d,Lower medium,10344
2015,IND,ICEV-d,Mini,27244
2015,IND,ICEV-d,Small,63675
2015,IND,ICEV-g,13m single deck urban bus,11516
2015,IND,ICEV-g,3.5t,1055
2015,IND,ICEV-p,Lower medium,3634
2015,IND,ICEV-p,Mini,9565
2015,IND,ICEV-p,Small,22369
2015,IND,PHEV-d,Lower medium,6
2015,IND,PHEV-d,Small,8
2015,JPN,BEV,Lower medium,235
2015,JPN,BEV,Medium SUV,605
2015,JPN,BEV,Mini,18
2015,JPN,BEV,Small,107
2015,JPN,FCEV,Lower medium,141
2015,JPN,FCEV,Medium SUV,351
2015,JPN,FCEV,Mini,10
2015,JPN,FCEV,Small,64
2015,JPN,ICEV-d,13m single deck urban bus,6881
2015,JPN,ICEV-d,3.5t,155221
2015,JPN,ICEV-d,7.5t,71451
2015,JPN,ICEV-d,Lower medium,47975
2015,JPN,ICEV-d,Medium SUV,36544
2015,JPN,ICEV-d,Mini,41333
2015,JPN,ICEV-d,Small,41121
2015,JPN,ICEV-g,Lower medium,223
2015,JPN,ICEV-g,Medium SUV,672
2015,JPN,ICEV-g,Mini,12
2015,JPN,ICEV-g,Small,93
2015,JPN,ICEV-p,Lower medium,88823
2015,JPN,ICEV-p,Medium SUV,67655
2015,JPN,ICEV-p,Mini,76534
2015,JPN,ICEV-p,Small,76132
2015,JPN,PHEV-d,Lower medium,501
2015,JPN,PHEV-d,Medium SUV,983
2015,JPN,PHEV-d,Mini,50
2015,JPN,PHEV-d,Small,242
2015,JPN,PHEV-p,Lower medium,921
2015,JPN,PHEV-p,Medium SUV,1836
2015,JPN,PHEV-p,Mini,111
2015,JPN,PHEV-p,Small,455
2015,LAM,BEV,Large,5
2015,LAM,BEV,Large SUV,44
2015,LAM,BEV,Lower medium,1348
2015,LAM,BEV,Medium SUV,1437
2015,LAM,BEV,Mini,19
2015,LAM,BEV,Small,262
2015,LAM,FCEV,Large SUV,22
2015,LAM,FCEV,Lower medium,710
2015,LAM,FCEV,Medium SUV,724
2015,LAM,FCEV,Mini,7
