,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,11
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,18
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,10
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,21
38,2020,CAZ,BEV,Large,2015,25
39,2020,CAZ,BEV,Large,2016,39
40,2020,CAZ,BEV,Large,2017,58
41,2020,CAZ,BEV,Large,2018,77
42,2020,CAZ,BEV,Large,2019,97
58,2025,CAZ,BEV,Large,2011,3
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,11
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,20
63,2025,CAZ,BEV,Large,2016,34
64,2025,CAZ,BEV,Large,2017,53
65,2025,CAZ,BEV,Large,2018,72
66,2025,CAZ,BEV,Large,2019,92
67,2025,CAZ,BEV,Large,2020,112
68,2025,CAZ,BEV,Large,2021,181
69,2025,CAZ,BEV,Large,2022,198
70,2025,CAZ,BEV,Large,2023,214
71,2025,CAZ,BEV,Large,2024,232
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,12
93,2030,CAZ,BEV,Large,2017,28
94,2030,CAZ,BEV,Large,2018,47
95,2030,CAZ,BEV,Large,2019,69
96,2030,CAZ,BEV,Large,2020,92
97,2030,CAZ,BEV,Large,2021,157
98,2030,CAZ,BEV,Large,2022,179
99,2030,CAZ,BEV,Large,2023,200
100,2030,CAZ,BEV,Large,2024,219
101,2030,CAZ,BEV,Large,2025,239
102,2030,CAZ,BEV,Large,2026,263
103,2030,CAZ,BEV,Large,2027,278
104,2030,CAZ,BEV,Large,2028,288
105,2030,CAZ,BEV,Large,2029,298
130,2035,CAZ,BEV,Large,2020,13
131,2035,CAZ,BEV,Large,2021,58
132,2035,CAZ,BEV,Large,2022,95
133,2035,CAZ,BEV,Large,2023,130
134,2035,CAZ,BEV,Large,2024,164
135,2035,CAZ,BEV,Large,2025,195
136,2035,CAZ,BEV,Large,2026,228
137,2035,CAZ,BEV,Large,2027,251
138,2035,CAZ,BEV,Large,2028,268
139,2035,CAZ,BEV,Large,2029,282
140,2035,CAZ,BEV,Large,2030,293
141,2035,CAZ,BEV,Large,2031,278
142,2035,CAZ,BEV,Large,2032,291
143,2035,CAZ,BEV,Large,2033,314
144,2035,CAZ,BEV,Large,2034,341
174,2040,CAZ,BEV,Large,2025,29
175,2040,CAZ,BEV,Large,2026,87
176,2040,CAZ,BEV,Large,2027,138
177,2040,CAZ,BEV,Large,2028,182
178,2040,CAZ,BEV,Large,2029,218
179,2040,CAZ,BEV,Large,2030,248
180,2040,CAZ,BEV,Large,2031,250
181,2040,CAZ,BEV,Large,2032,273
182,2040,CAZ,BEV,Large,2033,303
183,2040,CAZ,BEV,Large,2034,335
