,year,vintage_year,IAM_region,powertrain,size,vintage_demand_tkm
28,2015,2010,CAZ,ICEV-d,3.5t,17870
29,2020,2010,CAZ,ICEV-d,3.5t,7229
30,2025,2010,CAZ,ICEV-d,3.5t,282
140,2015,2010,CAZ,ICEV-d,3.5t,6478
141,2020,2010,CAZ,ICEV-d,3.5t,2620
142,2025,2010,CAZ,ICEV-d,3.5t,102
196,2015,2010,CAZ,ICEV-d,7.5t,7978
197,2020,2010,CAZ,ICEV-d,7.5t,3227
198,2025,2010,CAZ,ICEV-d,7.5t,126
364,2015,2010,CAZ,ICEV-d,7.5t,13208
365,2020,2010,CAZ,ICEV-d,7.5t,5342
366,2025,2010,CAZ,ICEV-d,7.5t,208
476,2015,2010,CAZ,ICEV-d,18t,18788
477,2020,2010,CAZ,ICEV-d,18t,7599
478,2025,2010,CAZ,ICEV-d,18t,297
532,2015,2010,CAZ,ICEV-d,26t,125039
533,2020,2010,CAZ,ICEV-d,26t,50577
534,2025,2010,CAZ,ICEV-d,26t,1978
1204,2015,2011,CAZ,ICEV-d,3.5t,2998
1205,2020,2011,CAZ,ICEV-d,3.5t,2698
1206,2025,2011,CAZ,ICEV-d,3.5t,1034
1316,2015,2011,CAZ,ICEV-d,3.5t,1087
1317,2020,2011,CAZ,ICEV-d,3.5t,977
1318,2025,2011,CAZ,ICEV-d,3.5t,374
1372,2015,2011,CAZ,ICEV-d,7.5t,1333
1373,2020,2011,CAZ,ICEV-d,7.5t,1199
1374,2025,2011,CAZ,ICEV-d,7.5t,460
1540,2015,2011,CAZ,ICEV-d,7.5t,2208
1541,2020,2011,CAZ,ICEV-d,7.5t,1986
1542,2025,2011,CAZ,ICEV-d,7.5t,761
1652,2015,2011,CAZ,ICEV-d,18t,3122
1653,2020,2011,CAZ,ICEV-d,18t,2808
1654,2025,2011,CAZ,ICEV-d,18t,1077
1708,2015,2011,CAZ,ICEV-d,26t,20765
1709,2020,2011,CAZ,ICEV-d,26t,18679
1710,2025,2011,CAZ,ICEV-d,26t,7162
2380,2015,2012,CAZ,ICEV-d,3.5t,3044
2381,2020,2012,CAZ,ICEV-d,3.5t,2856
2382,2025,2012,CAZ,ICEV-d,3.5t,1577
2492,2015,2012,CAZ,ICEV-d,3.5t,1103
2493,2020,2012,CAZ,ICEV-d,3.5t,1035
2494,2025,2012,CAZ,ICEV-d,3.5t,571
2548,2015,2012,CAZ,ICEV-d,7.5t,1349
2549,2020,2012,CAZ,ICEV-d,7.5t,1265
2550,2025,2012,CAZ,ICEV-d,7.5t,699
2716,2015,2012,CAZ,ICEV-d,7.5t,2233
2717,2020,2012,CAZ,ICEV-d,7.5t,2095
2718,2025,2012,CAZ,ICEV-d,7.5t,1157
2828,2015,2012,CAZ,ICEV-d,18t,3139
2829,2020,2012,CAZ,ICEV-d,18t,2945
2830,2025,2012,CAZ,ICEV-d,18t,1626
2884,2015,2012,CAZ,ICEV-d,26t,20862
2885,2020,2012,CAZ,ICEV-d,26t,19573
2886,2025,2012,CAZ,ICEV-d,26t,10809
3556,2015,2013,CAZ,ICEV-d,3.5t,3085
3557,2020,2013,CAZ,ICEV-d,3.5t,2977
3558,2025,2013,CAZ,ICEV-d,3.5t,2020
3668,2015,2013,CAZ,ICEV-d,3.5t,1118
3669,2020,2013,CAZ,ICEV-d,3.5t,1079
3670,2025,2013,CAZ,ICEV-d,3.5t,732
3724,2015,2013,CAZ,ICEV-d,7.5t,1362
3725,2020,2013,CAZ,ICEV-d,7.5t,1314
3726,2025,2013,CAZ,ICEV-d,7.5t,891
3892,2015,2013,CAZ,ICEV-d,7.5t,2255
3893,2020,2013,CAZ,ICEV-d,7.5t,2175
3894,2025,2013,CAZ,ICEV-d,7.5t,1476
4004,2015,2013,CAZ,ICEV-d,18t,3151
4005,2020,2013,CAZ,ICEV-d,18t,3040
4006,2025,2013,CAZ,ICEV-d,18t,2062
4060,2015,2013,CAZ,ICEV-d,26t,20928
4061,2020,2013,CAZ,ICEV-d,26t,20192
4062,2025,2013,CAZ,ICEV-d,26t,13699
4732,2015,2014,CAZ,ICEV-d,3.5t,3125
4733,2020,2014,CAZ,ICEV-d,3.5t,3069
4734,2025,2014,CAZ,ICEV-d,3.5t,2375
4844,2015,2014,CAZ,ICEV-d,3.5t,1133
4845,2020,2014,CAZ,ICEV-d,3.5t,1112
4846,2025,2014,CAZ,ICEV-d,3.5t,860
4900,2015,2014,CAZ,ICEV-d,7.5t,1375
4901,2020,2014,CAZ,ICEV-d,7.5t,1350
4902,2025,2014,CAZ,ICEV-d,7.5t,1045
5068,2015,2014,CAZ,ICEV-d,7.5t,2276
5069,2020,2014,CAZ,ICEV-d,7.5t,2234
