year,region,powertrain,size,vintage_demand_vkm
2005,BRA,FCEV,26t,0.0
2005,BRA,FCEV,40t,0.0
2005,BRA,HEV-d,26t,0.000892566
2005,BRA,HEV-d,40t,0.001064015
2005,BRA,ICEV-d,26t,89.36265161
2005,BRA,ICEV-d,40t,357.241485
2005,BRA,PHEV-d,26t,2.19e-07
2005,BRA,PHEV-d,40t,9.26e-07
2005,CAN,FCEV,40t,0.0
2005,CAN,HEV-d,26t,3.34e-08
2005,CAN,HEV-d,40t,3.38e-07
2005,CAN,ICEV-d,26t,9.655561419
2005,CAN,ICEV-d,40t,96.11566655
2005,CAN,PHEV-d,26t,2.74e-09
2005,CAN,PHEV-d,40t,5.64e-09
2005,CEU,HEV-d,26t,0.000566528
2005,CEU,HEV-d,40t,0.001732912
2005,CEU,ICEV-d,26t,7.894464661
2005,CEU,ICEV-d,40t,70.99925117
2005,CEU,PHEV-d,26t,5.32e-05
2005,CEU,PHEV-d,40t,4.22e-06
2005,CHN,FCEV,26t,0.0
2005,CHN,FCEV,40t,0.0
2005,CHN,HEV-d,26t,0.001017682
2005,CHN,HEV-d,40t,8.75e-05
2005,CHN,ICEV-d,26t,255.5219145
2005,CHN,ICEV-d,40t,764.3965638
2005,CHN,PHEV-d,26t,3.3e-07
2005,CHN,PHEV-d,40t,4.01e-08
2005,EAF,FCEV,40t,0.0
2005,EAF,HEV-d,26t,1.14e-06
2005,EAF,HEV-d,40t,9.79e-09
2005,EAF,ICEV-d,26t,2.700558899
2005,EAF,ICEV-d,40t,10.6070797
2005,EAF,PHEV-d,26t,1.69e-10
2005,EAF,PHEV-d,40t,7.61e-12
2005,INDIA,FCEV,26t,0.0
2005,INDIA,FCEV,40t,0.0
2005,INDIA,HEV-d,26t,0.00012623
2005,INDIA,HEV-d,40t,1.75e-06
2005,INDIA,ICEV-d,26t,90.43979412
2005,INDIA,ICEV-d,40t,511.0670437
2005,INDIA,PHEV-d,26t,5.63e-08
2005,INDIA,PHEV-d,40t,3.81e-08
2005,INDO,FCEV,40t,0.0
2005,INDO,HEV-d,26t,1.11e-07
2005,INDO,HEV-d,40t,3.77e-07
2005,INDO,ICEV-d,26t,70.50705866
2005,INDO,ICEV-d,40t,399.6500818
2005,INDO,PHEV-d,26t,5.85e-11
2005,INDO,PHEV-d,40t,1.53e-10
2005,JAP,FCEV,40t,0.0
2005,JAP,HEV-d,26t,0.005539302
2005,JAP,HEV-d,40t,0.001548706
2005,JAP,ICEV-d,26t,77.39130576
2005,JAP,ICEV-d,40t,180.3028968
2005,JAP,PHEV-d,26t,0.000255099
2005,JAP,PHEV-d,40t,4.43e-07
2005,KOR,FCEV,40t,0.0
2005,KOR,HEV-d,26t,0.004561586
2005,KOR,HEV-d,40t,0.008204123
2005,KOR,ICEV-d,26t,25.00874842
2005,KOR,ICEV-d,40t,141.6711618
2005,KOR,PHEV-d,26t,0.000363888
2005,KOR,PHEV-d,40t,0.000363626
2005,ME,FCEV,26t,0.0
2005,ME,FCEV,40t,0.0
2005,ME,HEV-d,26t,3.84e-08
2005,ME,HEV-d,40t,4.8e-08
2005,ME,ICEV-d,26t,340.3528917
2005,ME,ICEV-d,40t,736.620271
2005,ME,PHEV-d,26t,4.03e-12
2005,ME,PHEV-d,40t,4.54e-12
2005,MEX,FCEV,40t,0.0
2005,MEX,HEV-d,26t,3.28e-08
2005,MEX,HEV-d,40t,8.75e-08
2005,MEX,ICEV-d,26t,29.68198812
2005,MEX,ICEV-d,40t,118.4878393
2005,MEX,PHEV-d,26t,2.24e-11
2005,MEX,PHEV-d,40t,4.52e-11
2005,NAF,FCEV,40t,0.0
2005,NAF,HEV-d,26t,6.82e-09
2005,NAF,HEV-d,40t,8.3e-09
2005,NAF,ICEV-d,26t,31.55019771
2005,NAF,ICEV-d,40t,82.38381
2005,NAF,PHEV-d,26t,1.38e-12
2005,NAF,PHEV-d,40t,1.33e-12
2005,OCE,FCEV,40t,0.0
2005,OCE,HEV-d,26t,0.000330788
2005,OCE,HEV-d,40t,7.54e-05
2005,OCE,ICEV-d,26t,24.18241754
2005,OCE,ICEV-d,40t,56.21269988
2005,OCE,PHEV-d,26t,7.13e-08
2005,OCE,PHEV-d,40t,1.27e-08
2005,RCAM,FCEV,26t,0.0
2005,RCAM,FCEV,40t,0.0
2005,RCAM,HEV-d,26t,2.69e-05
2005,RCAM,HEV-d,40t,7.61e-07
2005,RCAM,ICEV-d,26t,107.0964982
2005,RCAM,ICEV-d,40t,427.9417996
2005,RCAM,PHEV-d,26t,5.98e-09
2005,RCAM,PHEV-d,40t,1.99e-09
2005,RSAF,FCEV,26t,0.0
2005,RSAF,FCEV,40t,0.0
2005,RSAF,HEV-d,26t,4.15e-05
2005,RSAF,HEV-d,40t,1.45e-07
2005,RSAF,ICEV-d,26t,11.66907189
2005,RSAF,ICEV-d,40t,46.73187496
2005,RSAF,PHEV-d,26t,7.22e-09
2005,RSAF,PHEV-d,40t,7.81e-10
2005,RSAM,FCEV,40t,0.0
2005,RSAM,HEV-d,26t,1.88e-07
2005,RSAM,HEV-d,40t,4.55e-07
2005,RSAM,ICEV-d,26t,114.4601524
2005,RSAM,ICEV-d,40t,456.9245928
2005,RSAM,PHEV-d,26t,3.07e-10
2005,RSAM,PHEV-d,40t,3.71e-10
2005,RSAS,FCEV,26t,0.0
2005,RSAS,FCEV,40t,0.0
2005,RSAS,HEV-d,26t,5.14e-06
2005,RSAS,HEV-d,40t,2.26e-07
2005,RSAS,ICEV-d,26t,31.72892907
2005,RSAS,ICEV-d,40t,179.2436065
2005,RSAS,PHEV-d,26t,1.17e-09
2005,RSAS,PHEV-d,40t,3.28e-10
2005,RUS,FCEV,40t,0.0
2005,RUS,HEV-d,26t,6.34e-05
2005,RUS,HEV-d,40t,5.39e-07
2005,RUS,ICEV-d,26t,46.92453987
2005,RUS,ICEV-d,40t,178.9892769
2005,RUS,PHEV-d,26t,6.63e-09
2005,RUS,PHEV-d,40t,2.48e-09
2005,SAF,FCEV,40t,0.0
2005,SAF,HEV-d,26t,0.000578744
2005,SAF,HEV-d,40t,0.00034274
2005,SAF,ICEV-d,26t,33.83760149
2005,SAF,ICEV-d,40t,136.067572
2005,SAF,PHEV-d,26t,9.65e-08
2005,SAF,PHEV-d,40t,5.83e-08
2005,SEAS,FCEV,26t,0.0
2005,SEAS,FCEV,40t,0.0
2005,SEAS,HEV-d,26t,1.5e-07
2005,SEAS,HEV-d,40t,5.81e-07
2005,SEAS,ICEV-d,26t,113.1352894
2005,SEAS,ICEV-d,40t,641.2454902
2005,SEAS,PHEV-d,26t,5.82e-10
2005,SEAS,PHEV-d,40t,5.4e-10
2005,STAN,HEV-d,26t,4.1e-08
2005,STAN,HEV-d,40t,5.8e-08
2005,STAN,ICEV-d,26t,17.57313971
2005,STAN,ICEV-d,40t,66.18466485
2005,STAN,PHEV-d,26t,1.46e-10
2005,STAN,PHEV-d,40t,4.49e-11
2005,TUR,FCEV,40t,0.0
2005,TUR,HEV-d,40t,0.02042523
2005,TUR,ICEV-d,26t,10.40297975
2005,TUR,ICEV-d,40t,105.1920177
2005,TUR,PHEV-d,26t,0.000774702
2005,TUR,PHEV-d,40t,0.001826452
2005,UKR,HEV-d,26t,9.51e-06
2005,UKR,HEV-d,40t,6.04e-08
2005,UKR,ICEV-d,26t,4.595340973
2005,UKR,ICEV-d,40t,17.37991019
2005,UKR,PHEV-d,26t,7.48e-10
2005,UKR,PHEV-d,40t,3.51e-10
2005,USA,FCEV,40t,0.0
2005,USA,HEV-d,26t,8.01e-07
