,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,12
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,19
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,11
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,22
38,2020,CAZ,BEV,Large,2015,26
39,2020,CAZ,BEV,Large,2016,38
40,2020,CAZ,BEV,Large,2017,57
41,2020,CAZ,BEV,Large,2018,76
42,2020,CAZ,BEV,Large,2019,95
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,21
63,2025,CAZ,BEV,Large,2016,33
64,2025,CAZ,BEV,Large,2017,52
65,2025,CAZ,BEV,Large,2018,71
66,2025,CAZ,BEV,Large,2019,90
67,2025,CAZ,BEV,Large,2020,110
68,2025,CAZ,BEV,Large,2021,222
69,2025,CAZ,BEV,Large,2022,279
70,2025,CAZ,BEV,Large,2023,338
71,2025,CAZ,BEV,Large,2024,397
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,12
93,2030,CAZ,BEV,Large,2017,27
94,2030,CAZ,BEV,Large,2018,46
95,2030,CAZ,BEV,Large,2019,67
96,2030,CAZ,BEV,Large,2020,90
97,2030,CAZ,BEV,Large,2021,193
98,2030,CAZ,BEV,Large,2022,253
99,2030,CAZ,BEV,Large,2023,315
100,2030,CAZ,BEV,Large,2024,377
101,2030,CAZ,BEV,Large,2025,439
102,2030,CAZ,BEV,Large,2026,487
103,2030,CAZ,BEV,Large,2027,459
104,2030,CAZ,BEV,Large,2028,425
105,2030,CAZ,BEV,Large,2029,391
130,2035,CAZ,BEV,Large,2020,13
131,2035,CAZ,BEV,Large,2021,71
132,2035,CAZ,BEV,Large,2022,134
133,2035,CAZ,BEV,Large,2023,206
134,2035,CAZ,BEV,Large,2024,281
135,2035,CAZ,BEV,Large,2025,358
136,2035,CAZ,BEV,Large,2026,422
137,2035,CAZ,BEV,Large,2027,415
138,2035,CAZ,BEV,Large,2028,395
139,2035,CAZ,BEV,Large,2029,370
140,2035,CAZ,BEV,Large,2030,341
141,2035,CAZ,BEV,Large,2031,259
142,2035,CAZ,BEV,Large,2032,217
143,2035,CAZ,BEV,Large,2033,180
144,2035,CAZ,BEV,Large,2034,141
174,2040,CAZ,BEV,Large,2025,54
175,2040,CAZ,BEV,Large,2026,162
176,2040,CAZ,BEV,Large,2027,229
177,2040,CAZ,BEV,Large,2028,268
178,2040,CAZ,BEV,Large,2029,286
179,2040,CAZ,BEV,Large,2030,288
180,2040,CAZ,BEV,Large,2031,233
181,2040,CAZ,BEV,Large,2032,204
182,2040,CAZ,BEV,Large,2033,174
183,2040,CAZ,BEV,Large,2034,138
