,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,12
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,19
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,11
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,22
38,2020,CAZ,BEV,Large,2015,26
39,2020,CAZ,BEV,Large,2016,40
40,2020,CAZ,BEV,Large,2017,60
41,2020,CAZ,BEV,Large,2018,80
42,2020,CAZ,BEV,Large,2019,100
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,8
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,17
62,2025,CAZ,BEV,Large,2015,22
63,2025,CAZ,BEV,Large,2016,36
64,2025,CAZ,BEV,Large,2017,56
65,2025,CAZ,BEV,Large,2018,77
66,2025,CAZ,BEV,Large,2019,98
67,2025,CAZ,BEV,Large,2020,120
68,2025,CAZ,BEV,Large,2021,264
69,2025,CAZ,BEV,Large,2022,334
70,2025,CAZ,BEV,Large,2023,404
71,2025,CAZ,BEV,Large,2024,476
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,13
93,2030,CAZ,BEV,Large,2017,31
94,2030,CAZ,BEV,Large,2018,52
95,2030,CAZ,BEV,Large,2019,76
96,2030,CAZ,BEV,Large,2020,101
97,2030,CAZ,BEV,Large,2021,238
98,2030,CAZ,BEV,Large,2022,313
99,2030,CAZ,BEV,Large,2023,390
100,2030,CAZ,BEV,Large,2024,467
101,2030,CAZ,BEV,Large,2025,545
102,2030,CAZ,BEV,Large,2026,557
103,2030,CAZ,BEV,Large,2027,519
104,2030,CAZ,BEV,Large,2028,474
105,2030,CAZ,BEV,Large,2029,430
130,2035,CAZ,BEV,Large,2020,15
131,2035,CAZ,BEV,Large,2021,91
132,2035,CAZ,BEV,Large,2022,173
133,2035,CAZ,BEV,Large,2023,264
134,2035,CAZ,BEV,Large,2024,361
135,2035,CAZ,BEV,Large,2025,461
136,2035,CAZ,BEV,Large,2026,501
137,2035,CAZ,BEV,Large,2027,487
138,2035,CAZ,BEV,Large,2028,458
139,2035,CAZ,BEV,Large,2029,422
140,2035,CAZ,BEV,Large,2030,383
141,2035,CAZ,BEV,Large,2031,304
142,2035,CAZ,BEV,Large,2032,258
143,2035,CAZ,BEV,Large,2033,216
144,2035,CAZ,BEV,Large,2034,172
174,2040,CAZ,BEV,Large,2025,69
175,2040,CAZ,BEV,Large,2026,192
176,2040,CAZ,BEV,Large,2027,269
177,2040,CAZ,BEV,Large,2028,310
178,2040,CAZ,BEV,Large,2029,326
179,2040,CAZ,BEV,Large,2030,324
180,2040,CAZ,BEV,Large,2031,273
181,2040,CAZ,BEV,Large,2032,242
182,2040,CAZ,BEV,Large,2033,209
183,2040,CAZ,BEV,Large,2034,169
