"model","scenario","region","variable","unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100","2105","2110","2115","2120","2125","2130","2135","2140","2145","2150"
"WITCH 6.0","SSP2_BAU","brazil","GDP|MER","billion US$2005",1238.49824829951,1504.55716553372,1597.84063827262,1595.43722061932,1949.49816090788,2120.7133303062,2411.98400420731,2793.09495357635,3257.38742994851,3790.24925626589,4380.04088296331,5011.02409659905,5682.3904305939,6371.17709735954,7073.82785671141,7771.97362121302,8465.8880871672,9154.92230572107,9837.95372391927,10516.0785521615,11204.4073152917,11899.1258763984,12595.7575168934,13289.6433004733,13976.2248058618,14650.1515732881,15306.082638657,15938.7036738627,16542.3312496593,14179.3019873285
"WITCH 6.0","SSP2_BAU","canada","GDP|MER","billion US$2005",1216.28099636642,1307.29379333947,1441.05180634348,1557.23957363442,1753.17639208583,1945.96649457478,2162.90442390067,2404.24829673949,2655.19103130473,2907.68326335421,3159.69693501168,3413.79815917671,3675.9663823725,3939.81356755659,4195.25507028151,4437.06049299957,4663.41063408535,4874.33014898584,5071.92190605891,5253.21745151131,5431.01692269561,5604.32682212649,5773.66985747672,5938.40975182151,6092.76674560542,6241.26523497671,6384.46785914735,6516.43816574253,6640.90377317382,5639.42704475052
"WITCH 6.0","SSP2_BAU","ccasia","GDP|MER","billion US$2005",202.002727303803,293.498168564851,378.399186152807,452.194146677212,562.106356308007,671.222883123394,795.686032986175,923.040144426816,1051.86527157007,1186.24763595469,1332.77342378805,1496.77601974728,1680.96032925021,1880.96604992276,2090.78374205957,2317.05861241607,2557.82956021287,2815.65906179788,3091.48913553074,3377.229092382,3674.89094411977,3982.04410028097,4300.39908079032,4625.06104883279,4952.382020381,5280.98341377007,5604.86180048772,5922.82354753543,6231.24355174048,5420.68101332474
"WITCH 6.0","SSP2_BAU","china","GDP|MER","billion US$2005",4422.58739286589,7290.5673806625,10595.4240303388,14121.4004339494,17913.1145569265,21425.2100850515,24569.9279893979,27036.4945533152,29355.7651948664,31493.6370807487,33330.0372460573,35094.4303582486,36768.9017896739,38108.8206719415,39095.3269677629,39804.5358056915,40320.4719332225,40736.2432704997,41071.6194187924,41258.5280069192,41437.1255708436,41607.5419886517,41772.0360567708,41928.8349682304,42067.5262593426,42200.884262232,42327.8830250937,42442.8996569678,42555.7634757807,35964.5495195631
"WITCH 6.0","SSP2_BAU","eu27","GDP|MER","billion US$2005",11492.6429298294,12070.1676586183,12624.0738041462,13652.5770329026,15453.989735123,16722.3123410166,17942.0431166029,19200.9322911644,20459.5442845357,21704.1817690386,22930.2938796164,24154.2025679825,25368.7532969675,26519.0222853432,27595.0971814813,28592.9674323492,29513.6048398159,30362.5702037376,31134.2637480391,31800.2278519326,32450.9426575429,33083.4841451862,33696.3541260342,34287.8354177588,34855.5454264035,35397.5259612383,35910.9795610206,36396.3113567327,36872.9665401538,31683.5512727397
"WITCH 6.0","SSP2_BAU","india","GDP|MER","billion US$2005",1016.1659620176,1403.4257431254,1953.46436937102,2505.00894318845,3482.58910481325,4615.81225144118,5821.50442622423,7124.10607868741,8525.96294514825,10029.4727470132,11645.7027144687,13360.674291728,15143.8053022082,16930.884213199,18707.8449478747,20421.2961007504,22057.8192987757,23615.4358766895,25094.8020815393,26510.2472172921,27930.8302185883,29349.2496559618,30756.1999918222,32143.3561040318,33505.522869196,34829.8558008311,36106.0484356735,37329.7580759106,38489.1350040066,33409.6363534818
"WITCH 6.0","SSP2_BAU","indonesia","GDP|MER","billion US$2005",461.713778279583,612.072431479337,797.759808963137,971.987811889305,1228.96594766639,1528.91862863907,1829.83623871685,2144.7100197687,2460.60376411072,2769.47380803566,3085.80790386044,3405.31088996593,3721.49926891722,4031.94154855486,4334.68048075129,4623.05730348191,4895.56033289992,5149.28544143374,5382.2765203791,5593.24641985015,5801.08820134104,6005.0520254113,6204.50768493026,6398.57611065051,6586.32455672002,6766.71695843668,6938.64131594233,7101.43581007457,7254.98104051821,6242.97492520684
"WITCH 6.0","SSP2_BAU","japan","GDP|MER","billion US$2005",3889.76942924822,3889.15445745235,4098.97653843662,4157.89644188803,4454.47399295622,4632.81321899317,4830.31619426723,4999.32671886714,5173.4345637303,5357.88262994288,5533.9849891364,5690.10556060416,5824.65360842104,5932.81057497897,6019.09388025738,6096.63668226044,6172.48317072433,6241.71526202154,6294.49718980238,6319.49246255758,6343.30705069121,6366.05081713601,6387.52395927128,6407.83480856948,6426.92373355638,6444.85968975539,6461.48817064584,6476.92587011533,6491.09612032067,5533.94874399959
"WITCH 6.0","SSP2_BAU","korea","GDP|MER","billion US$2005",949.475435814132,1156.87442383104,1355.27628287895,1533.07309087428,1733.06869600283,1903.874893864,2028.48937163089,2117.14867368928,2180.99428365848,2224.80273105247,2244.86065372094,2243.96950333073,2234.20578901108,2213.38976310655,2181.23270507352,2138.49458710559,2088.31861534602,2032.08917945589,1971.129550542,1907.99784862372,1849.97836432546,1796.69311665271,1747.8365208054,1703.1069008969,1662.20778762686,1624.93461996731,1591.12402573552,1560.55566618095,1533.15529513207,1301.53501305461
"WITCH 6.0","SSP2_BAU","laca","GDP|MER","billion US$2005",1393.85718541196,1719.32750417239,1977.93627099829,2080.14195933368,2519.43262711498,2908.21153281264,3373.34171828618,3912.37184567292,4514.90678444982,5168.2482827028,5889.03169543419,6664.13477683795,7481.68759969302,8338.61002096984,9221.61498637259,10111.4602298009,11013.7488836495,11920.5395666228,12833.3102254973,13745.3224501091,14682.8322100813,15639.8450343221,16615.4288921451,17600.0367798873,18580.5594720493,19555.5913140607,20517.1011568057,21452.7884811171,22355.7581904902,19101.0251441485
"WITCH 6.0","SSP2_BAU","mena","GDP|MER","billion US$2005",2050.54631647946,2542.21293492628,2961.29398350835,3262.51274098394,3921.30889166094,4690.84228199249,5517.87221341598,6401.89676138117,7328.66730388731,8303.02569316735,9348.27926388138,10503.3351661104,11746.9120003764,13004.9773035224,14293.7425825641,15619.3957235985,16990.6359291038,18422.5133536928,19920.2803746566,21489.2958543547,23132.8995114714,24826.3675556413,26573.8281758736,28364.2392141309,30172.3773841071,31990.7748151972,33810.8269323442,35600.0208943663,37343.581797264,32430.4697466021
"WITCH 6.0","SSP2_BAU","mexico","GDP|MER","billion US$2005",934.559711368894,1001.06822203181,1115.09217625251,1155.2277102777,1372.25328919438,1568.8618741987,1795.89917758705,2048.70476181484,2327.53612160938,2627.73520220744,2942.40980289421,3260.51326579539,3583.02280701847,3906.97382378375,4224.75571049647,4528.41938621914,4815.0370098032,5081.55910503016,5326.46211921057,5546.0921619257,5762.98428665209,5976.12200918965,6185.06661276738,6388.86110459765,6584.15923890873,6772.47277310591,6953.28477766245,7123.90053501937,7285.30877469588,6192.70744864065
"WITCH 6.0","SSP2_BAU","oceania","GDP|MER","billion US$2005",1109.05340180069,1273.00767735624,1463.2669284936,1629.03568852696,1877.6056373882,2140.40077501506,2421.83866949566,2722.82940514586,3048.35722296086,3388.98532485064,3738.83019926994,4106.32719883005,4491.51687042281,4883.9406430066,5276.95696027538,5665.48799775261,6045.1555814622,6414.57561283315,6775.34054263902,7123.27765606321,7478.23777538325,7839.46559619104,8205.97654495667,8575.6323345792,8943.6553732942,9310.97603347092,9676.35558596349,10034.8846517871,10385.5864719327,8899.72620027322
"WITCH 6.0","SSP2_BAU","othereurope","GDP|MER","billion US$2005",3315.58363500482,3484.0255491722,3799.15583717597,4033.08222406957,4637.52655268656,5043.87830004776,5492.65482117311,6000.47817024912,6561.66235611581,7154.83952687226,7768.58131423863,8411.62865994351,9081.50490277962,9747.50071829598,10394.5679387252,11010.4866703098,11589.5830215179,12131.5784616373,12635.85171633,13091.5638508563,13539.5309393949,13978.9222161058,14408.9916859803,14826.9482025422,15229.6734217969,15615.9998745468,15983.0984804409,16329.6315489371,16655.2397701009,14337.3958379932
"WITCH 6.0","SSP2_BAU","sasia","GDP|MER","billion US$2005",361.589413441543,460.669311880235,586.238323496293,732.47989316707,904.873117089302,1192.21533541684,1537.54075036579,1938.87183090755,2413.0773643361,2970.1187719267,3618.4947579802,4365.43352002737,5225.22790026801,6182.24314083293,7241.07344600064,8383.27702452056,9598.17225937804,10887.1113872769,12248.5099602458,13685.6425179032,15221.6868402186,16888.1073889617,18627.8360326046,20445.136112774,22332.7535056136,24269.1983590925,26237.6911634909,28208.9020739811,30157.9778303414,26190.6235323922
"WITCH 6.0","SSP2_BAU","seasia","GDP|MER","billion US$2005",947.332366141178,1211.3872848769,1547.89145780065,1849.86207299767,2268.84007428413,2811.69095596927,3386.89198379659,3921.67456542774,4432.2571164755,4929.9932952096,5426.49749182159,5928.95542322724,6438.02272658182,6937.01718005815,7417.70701466228,7878.64315068965,8325.13399122946,8763.02825915089,9198.32622044778,9631.41030331268,10070.6453429465,10521.1840737667,10968.6380357797,11414.8099734205,11856.6915212577,12290.6170094875,12713.0303140894,13121.1671447806,13510.1379023587,11701.9703237559
"WITCH 6.0","SSP2_BAU","southafrica","GDP|MER","billion US$2005",241.026981061172,290.501370339112,313.150845296244,326.635829507778,358.307669460584,388.485693996015,444.008140282587,520.03734384994,613.379752664624,720.034291347915,839.526093498162,971.269618659972,1113.49216216449,1264.19979775017,1421.61796279535,1585.43207308536,1755.99562570925,1932.43341021463,2112.40184976249,2294.30548525743,2482.03859712723,2674.42500181261,2870.18980232487,3067.86745271495,3265.98965759254,3462.81624294087,3656.31202644977,3845.33243553973,4027.27730039744,3462.73464660167
"WITCH 6.0","SSP2_BAU","ssa","GDP|MER","billion US$2005",711.063809180967,965.125473078477,1207.03956579703,1362.58940337165,1658.42770020339,2110.05917963017,2754.72970836642,3545.77566178451,4533.25110112012,5765.65792313978,7295.62359982695,9175.92091547056,11460.4871691703,14176.7415469249,17367.1474457091,21052.9328623894,25258.4887414574,30010.3576153475,35342.681244023,41252.2489873935,47827.5772866589,55078.8925865293,63001.3484992549,71581.3323476429,80719.9565914335,90385.5128335432,100462.80416668,110819.384677696,121326.582661693,106187.796382566
"WITCH 6.0","SSP2_BAU","te","GDP|MER","billion US$2005",1596.58812733451,1926.78293068048,2217.31063689201,2476.85288241502,2888.99067130692,3322.18338289058,3791.75974475794,4241.7559472385,4677.16862763194,5093.12674687858,5509.07986285658,5939.92874646754,6349.06977702891,6731.18514978592,7085.03519566027,7415.79087420996,7738.81736438218,8067.45697790011,8403.39407422041,8737.00704844637,9071.40281910163,9404.60857042999,9736.35553431919,10066.2676889409,10382.4181196664,10690.4568385523,10989.4799948648,11276.5783759626,11549.7894535069,9936.19103156656
"WITCH 6.0","SSP2_BAU","usa","GDP|MER","billion US$2005",14232.0554642111,15053.915597335,16647.9106551289,18629.5536589124,21403.55805757,23482.2652174046,25350.551012788,27105.3162009927,28812.3930020628,30503.2710067991,32223.8114035752,33994.8129392502,35816.1634455561,37618.4210136621,39387.5900793993,41115.4320464652,42805.8856571652,44465.6179077505,46097.47749987,47680.8968398751,49236.8059496858,50758.1322118072,52239.9458372395,53675.4644226526,55052.7676048387,56372.3884795808,57627.7471939837,58810.0037584166,59920.6239718303,51309.8401497804
"WITCH 6.0","SSP2_BAU","world","GDP|MER","billion US$2005",51782.3933114609,59455.6350784561,68678.5531457435,78084.7887591865,92342.1072307493,105225.938656384,118259.779738249,131102.8142247,144383.405522188,158088.666986508,172243.3641139,187192.551678003,202888.243558475,218720.636110556,234624.952154914,250569.838677309,266672.040537108,283079.0224078,299843.989101506,316813.328058727,334630.228804161,353279.640792563,372667.890448041,392729.254045149,413246.426095252,434153.982088074,455259.308625179,476308.446400727,497129.440175097,429126.08631777
"WITCH 6.0","SSP2_BAU","brazil","GDP|PPP","billion US$2005",2475.8838815336,3007.76269979025,3194.24584329476,3189.44116711813,3897.24497414387,4239.52150038795,4821.80118278988,5583.68070737892,6511.84855916676,7577.09351100678,8756.1469202535,10017.5464985767,11359.6760391105,12736.630595487,14141.3008821146,15536.9652261408,16924.1707742939,18301.6202118566,19667.069441373,21022.7098988529,22398.7490593199,23787.5620754126,25180.1995316513,26567.3477408228,27939.8939554698,29287.1420626802,30598.4149323624,31863.0886824749,33069.8015602816,28345.8658823506
"WITCH 6.0","SSP2_BAU","canada","GDP|PPP","billion US$2005",1508.85012584089,1621.75550755463,1787.68821172106,1931.82425250592,2174.89250240909,2414.0571126187,2683.1781651887,2982.57586521992,3293.88137583694,3607.1091063037,3919.74316153434,4234.96691756039,4560.19814105415,4887.51219081494,5204.39862140368,5504.36889438099,5785.16621003559,6046.82115453497,6291.94242866117,6516.84753478999,6737.41560686571,6952.41416751654,7162.49165862412,7366.85875064951,7558.34539739566,7742.56431148248,7920.21347162403,8083.928447282,8238.33351321381,6995.95753905777
"WITCH 6.0","SSP2_BAU","ccasia","GDP|PPP","billion US$2005",610.789947141781,888.511563176256,1133.94166983276,1342.75176734593,1669.12665481212,1993.13883034476,2362.72148787303,2740.88860806302,3123.42378332183,3522.46069833605,3957.55646863899,4444.54812297982,4991.46764619732,5585.367494052,6208.40315032343,6880.30698700456,7595.25568338936,8360.85829339908,9179.91205982551,10028.392374935,10912.2737352519,11824.3387106876,12769.666543574,13733.7224354568,14705.6740103839,15681.4276882405,16643.1568025288,17587.3169623495,18503.1437344877,16096.247738598
"WITCH 6.0","SSP2_BAU","china","GDP|PPP","billion US$2005",7757.00385964702,12816.3652208427,18650.9688803394,24886.1272091618,31568.260503699,37757.6222807024,43299.5549077489,47646.3822331705,51733.6301295872,55501.1992143821,58737.4850441449,61846.8729297401,64797.7919441442,67159.1293986013,68897.6482718023,70147.4861643758,71056.7197890148,71789.4331227807,72380.4661105053,72709.8548933221,73024.5971680602,73324.9218187164,73614.8095195512,73891.1360549464,74135.5515525144,74370.5682025831,74594.3779715055,74797.0716452226,74995.9714190395,63380.2828940622
"WITCH 6.0","SSP2_BAU","eu27","GDP|PPP","billion US$2005",17146.0153446277,18098.7873457594,18942.6398074922,20593.8504861756,23311.1414242906,25224.3074185979,27064.1764166101,28963.1128135339,30861.6311041929,32739.0699352333,34588.5646807071,36434.7357351679,38266.7910358129,40001.8823309144,41625.0576090754,43130.2672630075,44518.9771802383,45799.5753948032,46963.6150800722,47968.1701286679,48949.7227969724,49903.8624287383,50828.329122655,51720.5326427515,52576.8790313755,53394.4145101284,54168.9193263269,54901.0045885448,55620.0018560334,47792.1725846624
