"model","scenario","region","variable","unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100","2105","2110","2115","2120","2125","2130","2135","2140","2145","2150"
"WITCH 6.0","SSP2_budget1150","brazil","GDP|MER","billion US$2005",1238.49819212632,1504.56317265296,1597.85375488907,1595.45850373544,1936.56880489372,2103.64223422294,2390.67851541295,2766.89810919223,3226.64047730137,3751.90095942635,4333.34632914224,4956.27612206318,5620.32957175161,6300.16202319363,6993.49964082527,7684.10868384243,8366.65545153332,9009.3659844111,9623.30127322034,10178.9567969345,10879.4159296671,11601.9791532375,12328.5925938466,13051.9334800991,13760.3106336026,14508.1487363165,15189.1365675241,15848.1101743753,16511.9903903466,13736.7211671795
"WITCH 6.0","SSP2_budget1150","canada","GDP|MER","billion US$2005",1216.28303884746,1307.31816352023,1441.10248275498,1557.32280879258,1720.94392616336,1899.2343634484,2105.23200926136,2338.39779639266,2580.0348003362,2822.10989298051,3052.19917686425,3271.12646199471,3465.94997523506,3590.35512100301,3497.04465548877,3402.33695572194,3547.53056731777,3689.29670046593,3815.93404689638,3913.75424659684,4032.27004665261,4162.03138611787,4279.08289839374,4395.4901445743,4513.07527695108,4624.98336641352,4731.70673515713,4844.53506515047,4979.56627361415,4233.35173698858
"WITCH 6.0","SSP2_budget1150","ccasia","GDP|MER","billion US$2005",202.001266294871,293.501698024908,378.409102661016,452.211145553792,534.800556291516,633.308550504713,749.091602612019,870.87297195337,993.23252469556,1119.16851605802,1256.14752931016,1409.66032019304,1582.05069472819,1771.65563969315,1976.06063950438,2182.58886214607,2410.56580738107,2656.72690618389,2921.04970023737,3198.69575659187,3491.70482167226,3805.64794092687,4123.82067133236,4449.18573339837,4775.41612843104,5099.98376355565,5418.26531945442,5729.43659447797,6033.41741306237,5248.34229544499
"WITCH 6.0","SSP2_budget1150","china","GDP|MER","billion US$2005",4422.55424921217,7290.5275157661,10595.380104613,14121.3480386714,17849.5067403627,21287.6137965669,24376.7234237873,26795.1555565434,29086.3387742968,31198.3751933097,33010.3467118382,34740.9773556942,36391.1260690352,37711.6457767449,38682.78065259,39361.4830737249,39800.8154604522,40143.2744828007,40355.5922101185,40459.0545619853,40596.9764492212,40748.3767427423,40894.4840565457,41036.7059564714,41138.5611840238,41231.0616447421,41291.6616805508,41247.5498794244,41160.0686853461,35152.8220847782
"WITCH 6.0","SSP2_budget1150","eu27","GDP|MER","billion US$2005",11492.6770037014,12070.2660494577,12624.2441150888,13652.8235260883,15433.6566179056,16682.7596280828,17893.0490489852,19140.5985638858,20391.9713024474,21629.6518457668,22849.2577996624,24066.6458302609,25269.0374334528,26402.8755031293,27465.6659208854,28450.0624258845,29361.1872313777,30180.622839951,30932.8437334019,31578.1678299834,32220.8417125905,32854.441796051,33469.0870478276,34061.323588561,34623.3218138913,35169.8557955682,35688.4987609281,36184.6998541488,36639.1570182027,31464.314246178
"WITCH 6.0","SSP2_budget1150","india","GDP|MER","billion US$2005",1016.16037866875,1403.43105313033,1953.48248832576,2505.04530445834,3455.0466828655,4540.07523074338,5704.70333357333,6967.89326907652,8337.48292206972,9817.72234122733,11406.4048578249,13091.3237049069,14843.676999391,16610.1836052875,18330.6195102242,20021.7786243657,21634.7914022686,23160.3647515789,24608.2335124167,25997.8402397976,27419.3706507527,28849.7063273239,30276.9404320027,31669.4021965424,33057.9550121127,34401.4114586289,35689.3907505554,36963.9151680899,38102.5269003303,32898.4921854059
"WITCH 6.0","SSP2_budget1150","indonesia","GDP|MER","billion US$2005",461.711339294355,612.078955088214,797.777144728748,972.017886530156,1201.05297000516,1485.03423401058,1774.14753536961,2073.33930733453,2381.64041888108,2688.24202586518,3000.3664871305,3314.92204084378,3626.25077089577,3931.29459299413,4229.98954237426,4509.9919824764,4770.69887442334,5011.55184509198,5231.51219816526,5429.87186415099,5641.30909816536,5856.41585679669,6060.64990346014,6252.11648479689,6424.08484339226,6607.90118509793,6797.35446821103,6976.84041719582,7144.86630987272,6105.51279527811
"WITCH 6.0","SSP2_budget1150","japan","GDP|MER","billion US$2005",3889.79952791006,3889.23976236222,4099.1127098302,4158.08920348326,4454.23687200967,4628.39069185236,4826.3472175601,4994.49428467323,5168.15560980427,5351.84772523875,5526.314533101,5679.34888889783,5811.79070408611,5916.06013378802,5997.76383738643,6071.68719704096,6144.38751331348,6206.2528502667,6258.02917212746,6283.2621195712,6307.10341439539,6330.31985039734,6352.14006944323,6372.5335486864,6391.30751772707,6410.51288728858,6429.77835588873,6447.82131654035,6464.53220466746,5508.55444653108
"WITCH 6.0","SSP2_budget1150","korea","GDP|MER","billion US$2005",949.47534221589,1156.88479644014,1355.29924984901,1533.11062485976,1732.37572540157,1898.3081339448,2022.74325475628,2111.82785469666,2176.29731723839,2221.06159827476,2240.72319161169,2239.19815165654,2228.21454980627,2206.70698453727,2174.54940664307,2132.0326299397,2081.20870771362,2023.33156649194,1961.66188521094,1897.95020454897,1839.59738738701,1786.01562350057,1736.76762937602,1691.59754501859,1650.31143128428,1612.37595775642,1578.66484168023,1548.03520304149,1518.02836487064,1293.51888192505
"WITCH 6.0","SSP2_budget1150","laca","GDP|MER","billion US$2005",1393.85652318025,1719.3367904577,1977.95778940274,2080.17686283431,2475.10148641396,2848.54655855002,3299.61266124325,3828.2923516348,4416.91218178075,5050.59921417127,5745.96133079439,6503.00486316615,7306.07611728242,8135.98286933407,8991.53089487399,9853.44232637963,10698.0102361959,11533.2990004838,12308.0878510896,13107.4937842555,14005.326893063,14947.0374669335,15890.4239997214,16924.3147134671,17958.8816372368,18975.2600371173,19961.649039599,20915.7409621503,21840.8126218425,18530.4466508715
