metal,unit,year,mean,median,min,max,origin_var
Aluminium,kg metal/kg vehicle,2020.0,0.24561124949141105,0.24561124949141105,0.24561124949141105,0.24561124949141105,ICEV
Antimony,kg metal/kg vehicle,2020.0,0.0011690303918693058,0.0011342081716923076,0.000742882281875,0.00166016782,ICEV
Beryllium,kg metal/kg vehicle,2020.0,2.784205277350523e-06,3.263612307692308e-06,1.6208218750000003e-06,3.7087758620689653e-06,ICEV
Cerium,kg metal/kg vehicle,2020.0,1.6019223880867696e-05,1.2509985e-05,1.55e-07,4.909090909090909e-05,ICEV
Cobalt,kg metal/kg vehicle,2020.0,0.0030385156110153437,0.0035618020703448274,0.0019480804406249998,0.003736865530909091,ICEV
Dysprosium,kg metal/kg vehicle,2020.0,2.088967812771998e-05,1.6636363636363637e-05,5.1875e-07,6.483e-05,ICEV
Erbium,kg metal/kg vehicle,2020.0,6.75e-08,9e-08,0.0,1.125e-07,ICEV
Europium,kg metal/kg vehicle,2020.0,7.224431818181819e-08,5.625000000000001e-09,5e-09,2.7272727272727274e-07,ICEV
Gadolinium,kg metal/kg vehicle,2020.0,1.415110600330959e-05,1.626453e-05,5e-09,3.1386684848484855e-05,ICEV
Gallium,kg metal/kg vehicle,2020.0,1.5088993118880939e-05,1.6343124776785715e-05,5.0000000000000004e-08,3.26751324137931e-05,ICEV
Germanium,kg metal/kg vehicle,2020.0,1.5077938911443729e-05,1.8012576551724138e-05,9.5009875e-06,1.864444e-05,ICEV
Gold,kg metal/kg vehicle,2020.0,0.00014518556518580095,0.00013713072553846151,9.242975875e-05,0.0002100497510344827,ICEV
Indium,kg metal/kg vehicle,2020.0,5.726814823567059e-06,6.463484716346154e-06,4e-08,1.3572060000000002e-05,ICEV
Lanthanum,kg metal/kg vehicle,2020.0,0.0033182038550359067,0.0038274557231249996,0.0,0.007385612192615387,ICEV
Lithium,kg metal/kg vehicle,2020.0,0.00042079031491487856,4.0363758186813184e-05,6.800000000000001e-07,0.003128275,ICEV
Manganese,kg metal/kg vehicle,2020.0,0.005606883069197869,0.005606883069197869,0.005606883069197869,0.005606883069197869,ICEV
Molybdenum,kg metal/kg vehicle,2020.0,0.00048806113114791124,0.0005573650427586206,0.00031045779125,0.0006117581513846152,ICEV
Neodymium,kg metal/kg vehicle,2020.0,0.000894000206922033,0.0009751308831249998,1.3800000000000002e-05,0.0020978915082758617,ICEV
Niobium,kg metal/kg vehicle,2020.0,3.650818738370717e-05,3.8795396212121214e-05,1.9467648749999998e-05,5.457e-05,ICEV
Palladium,kg metal/kg vehicle,2020.0,2.2128037657289073e-05,2.4852345e-05,6.2e-07,5.363619103448276e-05,ICEV
Platinum,kg metal/kg vehicle,2020.0,6.633635169779965e-06,7.231433035714286e-06,1.4153846153846155e-06,1.3312824242424244e-05,ICEV
Praseodymium,kg metal/kg vehicle,2020.0,2.51061660362031e-05,2.6118255625e-05,5.0625e-07,5.256531172413793e-05,ICEV
Rhenium,kg metal/kg vehicle,2020.0,2.572131376313342e-07,2.8484061538461533e-07,1.5528750000000002e-07,3.450006896551724e-07,ICEV
Rhodium,kg metal/kg vehicle,2020.0,5.416666666666668e-09,5e-09,5e-09,6.2500000000000005e-09,ICEV
Ruthenium,kg metal/kg vehicle,2020.0,2.886339945365267e-06,3.4426498461538462e-06,1.6943668750000005e-06,3.7567206896551723e-06,ICEV
Rubidium,kg metal/kg vehicle,2020.0,4.342440897977597e-06,4.335985846153846e-06,2.549688125e-06,6.324755172413792e-06,ICEV
Samarium,kg metal/kg vehicle,2020.0,1.4997616709030113e-06,1.4595378571428571e-06,2.6874999999999997e-07,2.8249124137931035e-06,ICEV
Scandium,kg metal/kg vehicle,2020.0,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,6.818181818181819e-07,ICEV
Silver,kg metal/kg vehicle,2020.0,0.0007672283541926977,0.0008060301593846152,0.000466443865625,0.0010753658096551723,ICEV
Strontium,kg metal/kg vehicle,2020.0,0.07093537564142742,0.08263915551103448,0.045495953189374994,0.08730359164484848,ICEV
Tantalum,kg metal/kg vehicle,2020.0,0.00030099348579102475,0.0003331489888392857,3.4950000000000004e-06,0.0007026949365517242,ICEV
Tellurium,kg metal/kg vehicle,2020.0,1.306889303578318e-06,1.4493163076923074e-06,7.90149375e-07,1.747942068965517e-06,ICEV
Terbium,kg metal/kg vehicle,2020.0,3.7139942753804305e-06,3.441894285714286e-06,0.0,9.93e-06,ICEV
Tin,kg metal/kg vehicle,2020.0,0.026209198926386394,0.025020319003076923,0.0165581139,0.03788260723448276,ICEV
Tungsten,kg metal/kg vehicle,2020.0,1.522002756863022e-05,1.6388899692307694e-05,9.6448175e-06,2.0081089655172412e-05,ICEV
Ytterbium,kg metal/kg vehicle,2020.0,4.525909090909091e-08,4.0518181818181815e-08,0.0,1.0000000000000001e-07,ICEV
Yttrium,kg metal/kg vehicle,2020.0,3.590235092857303e-05,4.526537625e-05,1e-08,8.741585575757575e-05,ICEV
Zirconium,kg metal/kg vehicle,2020.0,0.0009118477046889649,0.0007863159999999999,0.000644241115625,0.0012417878484848486,ICEV
Aluminium,kg metal/kg motor,2020.0,0.20551083828299452,0.2252697267412005,0.10660270504364049,0.3632635778119498,EV
Boron,kg metal/kg motor,2020.0,0.00038600118126097077,0.00037971803614806894,0.0003181818181818181,0.00046638683456592717,EV
Cerium,kg metal/kg motor,2020.0,0.000775566037735849,0.000775566037735849,5.849056603773585e-06,0.0015452830188679245,EV
Cobalt,kg metal/kg motor,2020.0,0.0003860531732418525,0.00041252144082332755,4.716981132075473e-05,0.0006720000000000001,EV
Dysprosium,kg metal/kg motor,2020.0,0.002103734134271105,0.0015094339622641509,1.8867924528301888e-05,0.006792452830188679,EV
Erbium,kg metal/kg motor,2020.0,3.396226415094339e-06,3.396226415094339e-06,3.396226415094339e-06,3.396226415094339e-06,EV
Europium,kg metal/kg motor,2020.0,4.4528301886792465e-06,4.452830188679246e-06,1.886792452830189e-07,8.716981132075473e-06,EV
Gadolinium,kg metal/kg motor,2020.0,3.3632075471698113e-06,3.3632075471698113e-06,1.886792452830189e-07,6.537735849056604e-06,EV
Gallium,kg metal/kg motor,2020.0,8.396411945214638e-06,8.207547169811321e-06,6.6626690652275305e-06,1.0754716981132076e-05,EV
Indium,kg metal/kg motor,2020.0,1.509433962264151e-06,1.509433962264151e-06,1.509433962264151e-06,1.509433962264151e-06,EV
Lanthanum,kg metal/kg motor,2020.0,0.00013929245283018866,0.00013929245283018866,0.0001260377358490566,0.00015254716981132077,EV
Lithium,kg metal/kg motor,2020.0,0.11804811320754717,0.11804811320754717,0.11804811320754717,0.11804811320754717,EV
Manganese,kg metal/kg motor,2020.0,0.010922010588354895,0.010922010588354895,0.010922010588354895,0.010922010588354895,EV
Neodymium,kg metal/kg motor,2020.0,0.005404503370889868,0.004530614964354721,3.301886792452831e-05,0.014462264150943396,EV
Niobium,kg metal/kg motor,2020.0,0.002059245283018868,0.002059245283018868,0.002059245283018868,0.002059245283018868,EV
Palladium,kg metal/kg motor,2020.0,3.415094339622642e-05,3.415094339622642e-05,3.415094339622642e-05,3.415094339622642e-05,EV
Platinum,kg metal/kg motor,2020.0,0.00010396226415094339,0.00010396226415094339,0.00010396226415094339,0.00010396226415094339,EV
Praseodymium,kg metal/kg motor,2020.0,0.0006156482314043562,0.0007995202878273036,2.6066851046193066e-06,0.001114305453410889,EV
Rhodium,kg metal/kg motor,2020.0,1.886792452830189e-07,1.886792452830189e-07,1.886792452830189e-07,1.886792452830189e-07,EV
Samarium,kg metal/kg motor,2020.0,4.3915094339622644e-05,4.391509433962264e-05,2.641509433962264e-05,6.141509433962264e-05,EV
Scandium,kg metal/kg motor,2020.0,1.9811320754716984e-05,1.9811320754716984e-05,1.9811320754716984e-05,1.9811320754716984e-05,EV
Tantalum,kg metal/kg motor,2020.0,0.00020433962264150942,0.00020433962264150942,0.00020433962264150942,0.00020433962264150942,EV
Terbium,kg metal/kg motor,2020.0,0.00017082579988910807,0.00015486368556224755,1.941509433962264e-08,0.00037471698113207547,EV
Ytterbium,kg metal/kg motor,2020.0,1.5252830188679246e-06,1.5252830188679246e-06,3.169811320754717e-08,3.018867924528302e-06,EV
Yttrium,kg metal/kg motor,2020.0,7.816037735849057e-06,7.816037735849057e-06,4.339622641509434e-06,1.1292452830188678e-05,EV
Dysprosium,kg metal/kg motor,2050.0,1.5732438527971837e-05,1.5732438527971837e-05,1.2596952527641785e-05,1.8867924528301888e-05,EV
Neodymium,kg metal/kg motor,2050.0,2.7567639729441088e-05,2.7567639729441088e-05,2.2116411534353866e-05,3.301886792452831e-05,EV
Aluminium,kg/MW,2020.0,780.0,780.0,500.0,1060.0,Wind-DDPM
Boron,kg/MW,2020.0,6.790625,6.9,6.0,7.3625,Wind-DDPM
Chromium,kg/MW,2020.0,475.765,409.28,239.0,845.5,Wind-DDPM
Copper,kg/MW,2020.0,4796.0,3850.0,1484.0,10000.0,Wind-DDPM
Dysprosium,kg/MW,2020.0,22.705069444444444,22.78,12.0,42.0,Wind-DDPM
Lead,kg/MW,2020.0,6720.0,6720.0,6720.0,6720.0,Wind-DDPM
Manganese,kg/MW,2020.0,423.25,423.25,56.5,790.0,Wind-DDPM
Molybdenum,kg/MW,2020.0,103.43833333333333,109.0,75.315,126.0,Wind-DDPM
Neodymium,kg/MW,2020.0,179.25361842105264,183.0,116.0,217.19375,Wind-DDPM
Nickel,kg/MW,2020.0,342.914,376.57,111.0,610.0,Wind-DDPM
Niobium,kg/MW,2020.0,37.657000000000004,37.657000000000004,37.657000000000004,37.657000000000004,Wind-DDPM
Praseodymium,kg/MW,2020.0,32.06071428571429,35.0,12.0,50.625,Wind-DDPM
Terbium,kg/MW,2020.0,4.666666666666667,6.08,0.54,7.0,Wind-DDPM
Vanadium,kg/MW,2020.0,45.189350000000005,45.189350000000005,0.0,90.37870000000001,Wind-DDPM
Dysprosium,kg/MW,2050.0,9.25,9.25,6.5,12.0,Wind-DDPM
Neodymium,kg/MW,2050.0,97.0,97.0,78.0,116.0,Wind-DDPM
Aluminium,kg/MW,2020.0,1612.5,1500.0,1240.0,2210.0,Wind-Gearbox
Boron,kg/MW,2020.0,0.6,0.8,0.0,1.0,Wind-Gearbox
Chromium,kg/MW,2020.0,563.6,525.0,358.9,845.5,Wind-Gearbox
Dysprosium,kg/MW,2020.0,2.511111111111111,2.0,0.0,6.0,Wind-Gearbox
Manganese,kg/MW,2020.0,545.5,780.0,56.5,800.0,Wind-Gearbox
Molybdenum,kg/MW,2020.0,104.825,109.0,75.30000000000001,126.0,Wind-Gearbox
Neodymium,kg/MW,2020.0,18.955555555555556,12.0,0.0,51.0,Wind-Gearbox
Niobium,kg/MW,2020.0,37.699999999999996,37.699999999999996,37.699999999999996,37.699999999999996,Wind-Gearbox
Praseodymium,kg/MW,2020.0,3.66,4.0,0.0,9.0,Wind-Gearbox
Terbium,kg/MW,2020.0,0.525,0.55,0.0,1.0,Wind-Gearbox
Vanadium,kg/MW,2020.0,45.199999999999996,45.199999999999996,0.0,90.39999999999999,Wind-Gearbox
Zinc,kg/MW,2020.0,5483.333333333333,5500.0,5450.0,5500.0,Wind-Gearbox
Dysprosium,kg/MW,2050.0,1.2555555555555555,1.2555555555555555,0.0,2.511111111111111,Wind-Gearbox
Neodymium,kg/MW,2050.0,9.477777777777778,9.477777777777778,0.0,18.955555555555556,Wind-Gearbox
Aluminium,kg/MW,2020.0,2003.75,2003.75,7.5,4000.0,c-Si
Gallium,kg/MW,2020.0,9.0,9.0,9.0,9.0,c-Si
Lead,kg/MW,2020.0,138.10166666666666,72.38,5.925000000000001,336.0,c-Si
Nickel,kg/MW,2020.0,1.3,1.3,1.3,1.3,c-Si
Silver,kg/MW,2020.0,38.8394696969697,24.0,5.17,80.0,c-Si
Tin,kg/MW,2020.0,350.54,350.54,124.08,577.0,c-Si
Zinc,kg/MW,2020.0,16.735,16.735,16.735,16.735,c-Si
Silver,kg/MW,2050.0,3.085,3.085,1.0,5.17,c-Si
Aluminium,kg/MW,2020.0,16003.75,16003.75,7.5,32000.0,CdTe
Cadmium,kg/MW,2020.0,97.0151851851852,83.51,56.666666666666664,244.26,CdTe
Chromium,kg/MW,2020.0,61.0,61.0,61.0,61.0,CdTe
Indium,kg/MW,2020.0,13.116666666666667,15.5,7.95,15.9,CdTe
Lead,kg/MW,2020.0,7.8,7.8,7.8,7.8,CdTe
Molybdenum,kg/MW,2020.0,0.5,0.5,0.5,0.5,CdTe
Nickel,kg/MW,2020.0,15.59,15.59,15.59,15.59,CdTe
Silver,kg/MW,2020.0,80.0,80.0,80.0,80.0,CdTe
Tellurium,kg/MW,2020.0,94.61805555555554,91.84,17.0,242.87,CdTe
Tin,kg/MW,2020.0,52.629999999999995,52.629999999999995,21.4,83.86,CdTe
Cadmium,kg/MW,2050.0,31.433333333333334,31.433333333333334,6.2,56.666666666666664,CdTe
Indium,kg/MW,2050.0,3.975,3.975,0.0,7.95,CdTe
Tellurium,kg/MW,2050.0,12.0,12.0,7.0,17.0,CdTe
Aluminium,kg/MW,2020.0,7.5,7.5,7.5,7.5,CIGS
Cadmium,kg/MW,2020.0,89.07666666666667,1.3,0.93,265.0,CIGS
Gallium,kg/MW,2020.0,17.785666666666664,6.085,2.32,124.0,CIGS
Indium,kg/MW,2020.0,40.31138888888889,25.5,13.0,83.79,CIGS
Molybdenum,kg/MW,2020.0,72.89,72.89,36.78,109.0,CIGS
Selenium,kg/MW,2020.0,49.14575757575758,41.0,6.0,110.0,CIGS
Silver,kg/MW,2020.0,80.0,80.0,80.0,80.0,CIGS
Tin,kg/MW,2020.0,5.95,5.95,5.95,5.95,CIGS
Zinc,kg/MW,2020.0,75.495,75.495,29.99,121.0,CIGS
Cadmium,kg/MW,2050.0,0.465,0.465,0.0,0.93,CIGS
Gallium,kg/MW,2050.0,1.56,1.56,0.8,2.32,CIGS
Indium,kg/MW,2050.0,8.0,8.0,3.0,13.0,CIGS
Selenium,kg/MW,2050.0,6.0,6.0,6.0,6.0,CIGS
Aluminium,kg/MW,2020.0,54.75,54.75,7.5,102.0,a-Si
Boron,kg/MW,2020.0,0.0008,0.0008,0.0008,0.0008,a-Si
Chromium,kg/MW,2020.0,634.0,634.0,634.0,634.0,a-Si
Cadmium,kg/MW,2020.0,6.61,6.61,6.61,6.61,a-Si
Germanium,kg/MW,2020.0,62.833333333333336,65.16666666666667,48.0,73.0,a-Si
Indium,kg/MW,2020.0,5.752800000000001,5.32,0.714,13.41,a-Si
Molybdenum,kg/MW,2020.0,10.62,10.62,10.62,10.62,a-Si
Nickel,kg/MW,2020.0,334.0,334.0,334.0,334.0,a-Si
Tellurium,kg/MW,2020.0,7.5,7.5,7.5,7.5,a-Si
Tin,kg/MW,2020.0,83.87,103.08,5.32,143.21,a-Si
Indium,kg/MW,2050.0,0.357,0.357,0.0,0.714,a-Si
Germanium,kg/MW,2050.0,29.0,29.0,10.0,48.0,a-Si
Indium,kg/MW,2050.0,1.2176050152787866e-06,1.2176050152787866e-06,0.0,2.435210030557573e-06,perovskite
Aluminium,kg/MW,2020.0,740.0,740.0,740.0,740.0,Parabolic Trough - PB
Chromium,kg/MW,2020.0,2200.0,2200.0,2200.0,2200.0,Parabolic Trough - PB
Magnesium,kg/MW,2020.0,3000.0,3000.0,3000.0,3000.0,Parabolic Trough - PB
Manganese,kg/MW,2020.0,2000.0,2000.0,2000.0,2000.0,Parabolic Trough - PB
Molybdenum,kg/MW,2020.0,200.0,200.0,200.0,200.0,Parabolic Trough - PB
Nickel,kg/MW,2020.0,940.0,940.0,940.0,940.0,Parabolic Trough - PB
Niobium,kg/MW,2020.0,0.0,0.0,0.0,0.0,Parabolic Trough - PB
Silver,kg/MW,2020.0,25.491341463414635,24.849999999999998,6.405,40.355,Parabolic Trough - PB
Titanium,kg/MW,2020.0,25.0,25.0,25.0,25.0,Parabolic Trough - PB
Vanadium,kg/MW,2020.0,1.9,1.9,1.9,1.9,Parabolic Trough - PB
Zinc,kg/MW,2020.0,650.0,650.0,650.0,650.0,Parabolic Trough - PB
Aluminium,kg/MW,2020.0,33000.0,33000.0,33000.0,33000.0,CSP Tower - PB
Chromium,kg/MW,2020.0,3700.0,3700.0,3700.0,3700.0,CSP Tower - PB
Magnesium,kg/MW,2020.0,2600.0,2600.0,2600.0,2600.0,CSP Tower - PB
Manganese,kg/MW,2020.0,5700.0,5700.0,5700.0,5700.0,CSP Tower - PB
Molybdenum,kg/MW,2020.0,56.0,56.0,56.0,56.0,CSP Tower - PB
Nickel,kg/MW,2020.0,1800.0,1800.0,1800.0,1800.0,CSP Tower - PB
