origin_var,metal,year,mean,median,min,max,unit
ICEV,Aluminium,2020,0.245611249491411,0.245611249491411,0.245611249491411,0.245611249491411,kg metal/kg vehicle
ICEV,Antimony,2020,0.0011690303918693,0.0011342081716923,0.000742882281875,0.00166016782,kg metal/kg vehicle
ICEV,Beryllium,2020,2.784205277350523e-06,3.263612307692308e-06,1.6208218750000005e-06,3.708775862068965e-06,kg metal/kg vehicle
ICEV,Cerium,2020,1.6019223880867696e-05,1.2509985e-05,1.55e-07,4.909090909090909e-05,kg metal/kg vehicle
ICEV,Cobalt,2020,0.0030385156110153,0.0035618020703448,0.0019480804406249,0.003736865530909,kg metal/kg vehicle
ICEV,Dysprosium,2020,2.088967812771998e-05,1.6636363636363637e-05,5.1875e-07,6.483e-05,kg metal/kg vehicle
ICEV,Erbium,2020,6.75e-08,9e-08,0.0,1.125e-07,kg metal/kg vehicle
ICEV,Europium,2020,7.22443181818182e-08,5.625000000000001e-09,5e-09,2.727272727272728e-07,kg metal/kg vehicle
ICEV,Gadolinium,2020,1.415110600330959e-05,1.626453e-05,5e-09,3.1386684848484855e-05,kg metal/kg vehicle
ICEV,Gallium,2020,1.508899311888094e-05,1.6343124776785715e-05,5e-08,3.26751324137931e-05,kg metal/kg vehicle
ICEV,Germanium,2020,1.5077938911443729e-05,1.8012576551724138e-05,9.5009875e-06,1.864444e-05,kg metal/kg vehicle
ICEV,Gold,2020,0.0001451855651858,0.0001371307255384,9.242975875e-05,0.0002100497510344,kg metal/kg vehicle
ICEV,Indium,2020,5.726814823567059e-06,6.463484716346154e-06,4e-08,1.3572060000000002e-05,kg metal/kg vehicle
ICEV,Lanthanum,2020,0.0033182038550359,0.0038274557231249,0.0,0.0073856121926153,kg metal/kg vehicle
ICEV,Lithium,2020,0.0004207903149148,4.0363758186813184e-05,6.800000000000001e-07,0.003128275,kg metal/kg vehicle
ICEV,Manganese,2020,0.0056068830691978,0.0056068830691978,0.0056068830691978,0.0056068830691978,kg metal/kg vehicle
ICEV,Molybdenum,2020,0.0004880611311479,0.0005573650427586,0.00031045779125,0.0006117581513846,kg metal/kg vehicle
ICEV,Neodymium,2020,0.000894000206922,0.0009751308831249,1.3800000000000002e-05,0.0020978915082758,kg metal/kg vehicle
ICEV,Niobium,2020,3.650818738370717e-05,3.8795396212121214e-05,1.946764875e-05,5.457e-05,kg metal/kg vehicle
ICEV,Palladium,2020,2.2128037657289077e-05,2.4852345e-05,6.2e-07,5.363619103448276e-05,kg metal/kg vehicle
