Origin Label,Metal,TransportMode Label,total_work_in_ton_km,total_kg,Distance (km),Weighted Distance (km)
Afghanistan,aluminium_cast_alloy,Air,278.655,129.549,2150.962184192854,0.028460669890194253
Afghanistan,aluminium_cast_alloy,Railway,202384.836,38010.323,5324.470302449154,20.67075059904578
Afghanistan,aluminium_cast_alloy,Road,12289042.276,3188327.389,3854.385317642799,1255.1519817834865
Afghanistan,aluminium_cast_alloy,Sea,58771011.927,6564412.612,8952.973464764284,6002.628230489372
Afghanistan,aluminium_oxide,Air,14.482000000000001,6.149,2355.1797040169135,4.062564959100839
Afghanistan,aluminium_oxide,Railway,1905.7740000000001,348.78999999999996,5463.958255683937,534.6175025801299
Afghanistan,aluminium_oxide,Road,3266.341,933.088,3500.5712215782437,916.2907396129258
Afghanistan,aluminium_oxide,Sea,7147.738,2276.716,3139.4947810794147,2005.120144706084
Afghanistan,bentonite,Air,0.44,0.44200000000000006,995.4751131221718,0.005430185999173723
Afghanistan,bentonite,Railway,23507.503,6477.938,3628.8558180087553,290.11389469575977
Afghanistan,bentonite,Road,155072.034,70699.027,2193.411148359934,1913.7954270231623
Afghanistan,bentonite,Sea,45628.062,3851.125,11847.982602486287,563.1110532768877
Afghanistan,boron_tellurium,Air,1176.8799999999999,246.127,4781.596492867502,23.491138287050337
Afghanistan,boron_tellurium,Railway,31600.535,4232.6720000000005,7465.859627204753,630.763151408618
Afghanistan,boron_tellurium,Road,123695.83600000001,21667.785,5708.743925601994,2469.0333670453233
Afghanistan,boron_tellurium,Sea,129415.948,23952.308,5403.067963220914,2583.2097843601014
Afghanistan,chromite,Air,101121.76599999999,82510.968,1225.5554437320382,0.5943502401344851
Afghanistan,chromite,Railway,8050012.907000001,9355721.150999999,860.4374560842448,47.31451292455826
Afghanistan,chromite,Road,112688950.377,106603657.139,1057.083344055124,662.3371739480206
Afghanistan,chromite,Sea,161689131.463,54096455.394,2988.9043613924737,950.3391595452397
Afghanistan,copper_anode,Air,5593.601,5889.8060000000005,949.7088698677002,73.50704222464735
Afghanistan,copper_anode,Railway,24770.252,39845.065,621.6642387206546,325.5126634307945
Afghanistan,copper_anode,Road,12519.871,14285.635,876.3958339968787,164.52705265251092
Afghanistan,copper_anode,Sea,45440.876000000004,16075.618,2826.6954340417897,597.1509928679154
Afghanistan,copper_cathode,Air,2964.4199999999996,1112.625,2664.347826086956,2.1866744461120144
Afghanistan,copper_cathode,Railway,1284281.565,600722.13,2137.896210016435,947.3373138078433
Afghanistan,copper_cathode,Road,325773.14999999997,709768.005,458.98539763003254,240.3032709043982
Afghanistan,copper_cathode,Sea,238775.52000000002,44072.295,5417.814524975385,176.13034858120926
Afghanistan,gold,Air,440886.449,179993.62,2449.4559807175388,480.1194402693756
Afghanistan,gold,Railway,1480291.8,270922.379,5463.896358299732,1612.0179517047177
Afghanistan,gold,Road,814672.402,388342.086,2097.821563434667,887.1673387519962
Afghanistan,gold,Sea,248108.365,79026.85,3139.545167243791,270.18668775177065
Afghanistan,graphite,Sea,1499488.7519999999,167945.544,8928.422370051092,8928.422370051092
Afghanistan,iron_ore,Air,58.32000000000001,5.604,10406.852248394005,2.5961427515267026
Afghanistan,iron_ore,Railway,11779.896,903.4559999999999,13038.704707257466,524.3877162918106
Afghanistan,iron_ore,Road,231881.112,17727.564,13080.258065913626,10322.298836329757
Afghanistan,iron_ore,Sea,34173.24,3827.472,8928.41018823913,1521.2381571018925
Afghanistan,lead,Air,577429.454,168492.69,3427.029706748702,14.489578611298036
Afghanistan,lead,Railway,5303436.217,1685983.16,3145.6045011742585,133.0804229744515
Afghanistan,lead,Road,94642921.76799999,29316443.667,3228.322058535859,2374.897999159506
Afghanistan,lead,Sea,50148340.479,8680443.279,5777.163546511552,1258.3845811173499
Afghanistan,lead_ore,Air,7594.1320000000005,7996.287,949.7072828926727,0.417564183577331
Afghanistan,lead_ore,Railway,513511.024,826026.2660000001,621.6642801041389,28.235460154566603
Afghanistan,lead_ore,Road,9879375.765999999,11272739.503999999,876.3952863892949,543.2185634886854
Afghanistan,lead_ore,Sea,17186245.972999997,6079979.762999999,2826.6946014504356,944.9876257714424
Afghanistan,niobium,Air,2.444,2.5740000000000003,949.4949494949494,0.20153207254297031
Afghanistan,niobium,Railway,291.551,468.988,621.6598292493625,24.041275483623377
Afghanistan,niobium,Road,4372.849,4989.582,876.3958584105842,360.58482892285394
