name;source;description
adsorption and desorption unit, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
algae cultivation | algae broth production;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
algae harvesting| dry algae production;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Ancillary BoP;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Anode;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;
Anode current collector, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05314;
Anode current collector, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05315;
Anode paste, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05316;
Anode paste, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
ATR BM + CCS (MDEA), 98 (average), with digestate incineration, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;
ATR BM, with digestate incineration, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;
ATR NG + CCS (MDEA), 98 (average), 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;
ATR NG, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;
Battery BoP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery cell, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery cell, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery cell, NMC;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery management system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery packaging;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
