name,reference product,ISIC rev.4 ecoinvent,CPC,EcoSpold01Categories,temporal_tag,tag_confidence,tag_notes,lifetime,age distribution type,loc,scale,minimum,maximum,param_confidence,param_notes
"wheat seed production, organic, for sowing","wheat seed, organic, for sowing",0164:Seed processing for propagation,"01111: Wheat, seed",agricultural means of production/seed,biomass_growth,0.9,seed production as yearly agricultural process per kg (steady-state),1,4,,,-1,0,,
"wheat seed production, for sowing","wheat seed, for sowing",0164:Seed processing for propagation,"01111: Wheat, seed",agricultural means of production/seed,biomass_growth,0.9,seed production — agricultural throughput per kg,1,4,,,-1,0,,
"wheat seed production, Swiss integrated production, for sowing","wheat seed, Swiss integrated production, for sowing",0164:Seed processing for propagation,"01111: Wheat, seed",agricultural means of production/seed,biomass_growth,0.9,seed production (Swiss integrated) — production process,1,4,,,-1,0,,
"wheat grain, import from RoW",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",agricultural means of production/feed,biomass_growth,0.9,imported wheat grain — commodity production/transfer process,1,4,,,-1,0,,
"wheat grain production, winter, organic, mountain region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat grain production (organic) — agricultural production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
wheat grain production,wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat grain production — crop production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, conventional, plain region",triticale grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale grain production — agricultural throughput per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, organic, hill region","triticale grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale organic production — farming production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, organic","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat grain organic production — agricultural throughput | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, organic, mountain region","spelt grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,spelt organic production — crop production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, Swiss integrated production, intensive","wheat grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,"wheat production (Swiss integrated, intensive) — production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, organic, mountain region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring organic — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
