component,powertrain,size,euro_class,value
Benzene,BEV,9m,1,0
Ethane,ICEV-d,9m,1,0
Propane,ICEV-d,9m,1,0
Butane,ICEV-d,9m,1,0
Pentane,ICEV-d,9m,1,0
Hexane,ICEV-d,9m,1,0
Cyclohexane,ICEV-d,9m,1,0
Heptane,ICEV-d,9m,1,0
Ethene,ICEV-d,9m,1,0
Propene,ICEV-d,9m,1,0
1-Pentene,ICEV-d,9m,1,0
Toluene,ICEV-d,9m,1,0
m-Xylene,ICEV-d,9m,1,0
o-Xylene,ICEV-d,9m,1,0
Formaldehyde,ICEV-d,9m,1,0
Acetaldehyde,ICEV-d,9m,1,0
Benzaldehyde,ICEV-d,9m,1,0
Acetone,ICEV-d,9m,1,0
Methyl ethyl ketone,ICEV-d,9m,1,0
Acrolein,ICEV-d,9m,1,0
Styrene,ICEV-d,9m,1,0
PAH polycyclic aromatic hydrocarbons,ICEV-d,9m,1,0
Arsenic,ICEV-d,9m,1,0
Selenium,ICEV-d,9m,1,0
Zinc,ICEV-d,9m,1,0
Copper,ICEV-d,9m,1,0
Nickel,ICEV-d,9m,1,0
Chromium,ICEV-d,9m,1,0
Chromium VI,ICEV-d,9m,1,0
Mercury,ICEV-d,9m,1,0
Cadmium,ICEV-d,9m,1,0
Hydrocarbon,ICEV-g,9m,2,0.319218382
Hydrocarbon,ICEV-g,9m,3,0.263082593
Hydrocarbon,ICEV-g,9m,4,0.050247575
Hydrocarbon,ICEV-g,9m,5,0.024576179
Hydrocarbon,ICEV-g,9m,6,0.012032441
Hydrocarbon,ICEV-g,13m-city-double,2,0.425562602
Hydrocarbon,ICEV-g,13m-city-double,3,0.359162045
Hydrocarbon,ICEV-g,13m-city-double,4,0.058805866
Hydrocarbon,ICEV-g,13m-city-double,5,0.024576181
Hydrocarbon,ICEV-g,13m-city-double,6,0.012032441
Carbon monoxide,ICEV-g,9m,2,0.206866872
Carbon monoxide,ICEV-g,9m,3,0.211065975
Carbon monoxide,ICEV-g,9m,4,0.10464252
Carbon monoxide,ICEV-g,9m,5,0.052087488
Carbon monoxide,ICEV-g,9m,6,0.045409837
Carbon monoxide,ICEV-g,13m-city-double,2,0.173170226
Carbon monoxide,ICEV-g,13m-city-double,3,0.193363755
Carbon monoxide,ICEV-g,13m-city-double,4,0.108101542
Carbon monoxide,ICEV-g,13m-city-double,5,0.052087485
Carbon monoxide,ICEV-g,13m-city-double,6,0.045409837
Nitrogen oxides,ICEV-g,9m,2,0.905252423
Nitrogen oxides,ICEV-g,9m,3,0.762339809
Nitrogen oxides,ICEV-g,9m,4,0.647724785
Nitrogen oxides,ICEV-g,9m,5,0.094725025
Nitrogen oxides,ICEV-g,9m,6,0.030144677
Nitrogen oxides,ICEV-g,13m-city-double,2,0.942984564
Nitrogen oxides,ICEV-g,13m-city-double,3,0.770671513
Nitrogen oxides,ICEV-g,13m-city-double,4,0.630859682
Nitrogen oxides,ICEV-g,13m-city-double,5,0.094725032
Nitrogen oxides,ICEV-g,13m-city-double,6,0.030144679
Nitrogen dioxide,ICEV-g,9m,2,0.226313106
Nitrogen dioxide,ICEV-g,9m,3,0.190584952
Nitrogen dioxide,ICEV-g,9m,4,0.161931196
Nitrogen dioxide,ICEV-g,9m,5,0.023681256
Nitrogen dioxide,ICEV-g,9m,6,0.007536169
Nitrogen dioxide,ICEV-g,13m-city-double,2,0.235746141
Nitrogen dioxide,ICEV-g,13m-city-double,3,0.192667878
Nitrogen dioxide,ICEV-g,13m-city-double,4,0.15771492
Nitrogen dioxide,ICEV-g,13m-city-double,5,0.023681258
Nitrogen dioxide,ICEV-g,13m-city-double,6,0.00753617
Methane,ICEV-g,9m,2,0.29368092
Methane,ICEV-g,9m,3,0.242036001
Methane,ICEV-g,9m,4,0.046227773
Methane,ICEV-g,9m,5,0.022610087
Methane,ICEV-g,9m,6,0.011069845
Methane,ICEV-g,13m-city-double,2,0.391517607
Methane,ICEV-g,13m-city-double,3,0.330429099
Methane,ICEV-g,13m-city-double,4,0.054101399
Methane,ICEV-g,13m-city-double,5,0.022610086
Methane,ICEV-g,13m-city-double,6,0.011069846
Non-methane hydrocarbon,ICEV-g,9m,2,0.02553747
Non-methane hydrocarbon,ICEV-g,9m,3,0.021046608
Non-methane hydrocarbon,ICEV-g,9m,4,0.004019806
Non-methane hydrocarbon,ICEV-g,9m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,9m,6,0.000962595
Non-methane hydrocarbon,ICEV-g,13m-city-double,2,0.034045007
Non-methane hydrocarbon,ICEV-g,13m-city-double,3,0.028732964
Non-methane hydrocarbon,ICEV-g,13m-city-double,4,0.004704469
Non-methane hydrocarbon,ICEV-g,13m-city-double,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city-double,6,0.000962595
Lead,ICEV-g,9m,2,0
Lead,ICEV-g,9m,3,0
Lead,ICEV-g,9m,4,0
Lead,ICEV-g,9m,5,0
Lead,ICEV-g,9m,6,0
Lead,ICEV-g,13m-city-double,2,0
Lead,ICEV-g,13m-city-double,3,0
Lead,ICEV-g,13m-city-double,4,0
Lead,ICEV-g,13m-city-double,5,0
Lead,ICEV-g,13m-city-double,6,0
Benzene,ICEV-g,9m,2,0
Benzene,ICEV-g,9m,3,0
Benzene,ICEV-g,9m,4,0
Benzene,ICEV-g,9m,5,0
Benzene,ICEV-g,9m,6,0
Benzene,ICEV-g,13m-city-double,2,0
Benzene,ICEV-g,13m-city-double,3,0
Benzene,ICEV-g,13m-city-double,4,0
Benzene,ICEV-g,13m-city-double,5,0
Benzene,ICEV-g,13m-city-double,6,0
Particulate matters 2.5,ICEV-g,9m,2,0.001940835
Particulate matters 2.5,ICEV-g,9m,3,0.001367893
Particulate matters 2.5,ICEV-g,9m,4,0.000354762
Particulate matters 2.5,ICEV-g,9m,5,0.000406425
Particulate matters 2.5,ICEV-g,9m,6,0.000406425
Particulate matters 2.5,ICEV-g,13m-city-double,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,3,0.001475071
Particulate matters 2.5,ICEV-g,13m-city-double,4,0.000376194
