powertrain,component,value
BEV,Arsenic,0
ICEV-p,PAH polycyclic aromatic hydrocarbons,8.19E-10
ICEV-p,Arsenic,7.04E-12
ICEV-p,Selenium,4.69E-12
ICEV-p,Zinc,7.75E-10
ICEV-p,Copper,1.06E-10
ICEV-p,Nickel,5.4E-11
ICEV-p,Chromium,1.48E-10
ICEV-p,Chromium VI,2.96E-13
ICEV-p,Mercury,2.04E-10
ICEV-p,Cadmium,4.69E-12
ICEV-d,PAH polycyclic aromatic hydrocarbons,1.32E-09
ICEV-d,Arsenic,2.33E-12
ICEV-d,Selenium,2.33E-12
ICEV-d,Zinc,4.19E-10
ICEV-d,Copper,1.33E-10
ICEV-d,Nickel,4.65E-12
ICEV-d,Chromium,1.98E-10
ICEV-d,Chromium VI,3.95E-13
ICEV-d,Mercury,1.23E-10
ICEV-d,Cadmium,1.16E-12
