powertrain,euro_class,component,size,value
battery electric,1,Benzene,3.5t,0
diesel,1,Ethane,3.5t,0
diesel,1,Propane,3.5t,0
diesel,1,Butane,3.5t,0
diesel,1,Pentane,3.5t,0
diesel,1,Hexane,3.5t,0
diesel,1,Cyclohexane,3.5t,0
diesel,1,Heptane,3.5t,0
diesel,1,Ethene,3.5t,0
diesel,1,Propene,3.5t,0
diesel,1,1-Pentene,3.5t,0
diesel,1,Toluene,3.5t,0
diesel,1,m-Xylene,3.5t,0
diesel,1,o-Xylene,3.5t,0
diesel,1,Formaldehyde,3.5t,0
diesel,1,Acetaldehyde,3.5t,0
diesel,1,Benzaldehyde,3.5t,0
diesel,1,Acetone,3.5t,0
diesel,1,Methyl ethyl ketone,3.5t,0
diesel,1,Acrolein,3.5t,0
diesel,1,Styrene,3.5t,0
diesel,1,PAH polycyclic aromatic hydrocarbons,3.5t,0
diesel,1,Arsenic,3.5t,0
diesel,1,Selenium,3.5t,0
diesel,1,Zinc,3.5t,0
diesel,1,Copper,3.5t,0
diesel,1,Nickel,3.5t,0
diesel,1,Chromium,3.5t,0
diesel,1,Chromium VI,3.5t,0
diesel,1,Mercury,3.5t,0
diesel,1,Cadmium,3.5t,0
diesel,1,Benzene,3.5t,0.000740364
diesel,1,Methane,3.5t,0.001063997
diesel,1,Carbon monoxide,3.5t,0.156983283
diesel,1,Hydrocarbon,3.5t,0.044333194
diesel,1,Dinitrogen monoxide,3.5t,0.000657863
diesel,1,Ammonia,3.5t,0.000464344
diesel,1,NMVOC,3.5t,0.043269196
diesel,1,Nitrogen dioxide,3.5t,0.051915667
diesel,1,Nitrogen oxides,3.5t,0.741652346
diesel,1,Lead,3.5t,0
diesel,1,Particulate,3.5t,0.029402372
diesel,1,Benzene,18t,0.000519756
diesel,1,Methane,18t,0.000746955
diesel,1,Carbon monoxide,18t,0.147427412
diesel,1,Hydrocarbon,18t,0.031123128
diesel,1,Dinitrogen monoxide,18t,0.000834272
diesel,1,Ammonia,18t,0.000296558
diesel,1,NMVOC,18t,0.030376174
diesel,1,Nitrogen dioxide,18t,0.050326339
diesel,1,Nitrogen oxides,18t,0.718947684
diesel,1,Lead,18t,0
diesel,1,Particulate,18t,0.024973258
diesel,1,Benzene,26t,0.000752842
diesel,1,Methane,26t,0.001081928
diesel,1,Carbon monoxide,26t,0.145025635
diesel,1,Hydrocarbon,26t,0.045080336
diesel,1,Dinitrogen monoxide,26t,0.000596604
diesel,1,Ammonia,26t,0.000212074
diesel,1,NMVOC,26t,0.043998408
