size,powertrain,euro_class,component,value
Kick-scooter,BEV,1,Carbon monoxide,0
Bicycle <25,BEV,1,Carbon monoxide,0
Bicycle <45,BEV,1,Carbon monoxide,0
Bicycle cargo,BEV,1,Carbon monoxide,0
Moped <4kW,BEV,1,Carbon monoxide,0
Moped <4kW,BEV,1,Hydrocarbons,0
Moped <4kW,BEV,1,Lead,0
Moped <4kW,BEV,1,Nitrogen dioxide,0
Moped <4kW,ICEV-p,1,Methane,0.050029698
Moped <4kW,ICEV-p,2,Methane,0.027516334
Moped <4kW,ICEV-p,3,Methane,0.027343001
Moped <4kW,ICEV-p,4,Methane,0.027739049
Moped <4kW,ICEV-p,5,Methane,0.027739049
Moped <4kW,ICEV-p,1,Carbon monoxide,5.25426052
Moped <4kW,ICEV-p,2,Carbon monoxide,3.198245534
Moped <4kW,ICEV-p,3,Carbon monoxide,4.03337826
Moped <4kW,ICEV-p,4,Carbon monoxide,3.019733377
Moped <4kW,ICEV-p,5,Carbon monoxide,3.019733377
Moped <4kW,ICEV-p,1,Dinitrogen oxide,0.001142231
Moped <4kW,ICEV-p,2,Dinitrogen oxide,0.001142231
Moped <4kW,ICEV-p,3,Dinitrogen oxide,0.001387265
Moped <4kW,ICEV-p,4,Dinitrogen oxide,0.001407359
Moped <4kW,ICEV-p,5,Dinitrogen oxide,0.001407359
Moped <4kW,ICEV-p,1,Ammonia,0.001142231
Moped <4kW,ICEV-p,2,Ammonia,0.001142231
Moped <4kW,ICEV-p,3,Ammonia,0.001387265
Moped <4kW,ICEV-p,4,Ammonia,0.001407359
Moped <4kW,ICEV-p,5,Ammonia,0.001407359
Moped <4kW,ICEV-p,1,Nitrogen oxides,0.205601499
Moped <4kW,ICEV-p,2,Nitrogen oxides,0.194179193
Moped <4kW,ICEV-p,3,Nitrogen oxides,0.523772804
Moped <4kW,ICEV-p,4,Nitrogen oxides,0.06023093
Moped <4kW,ICEV-p,5,Nitrogen oxides,0.06023093
Moped <4kW,ICEV-p,1,Particulate matters 2.5,0.051400375
Moped <4kW,ICEV-p,2,Particulate matters 2.5,0.029697994
Moped <4kW,ICEV-p,3,Particulate matters 2.5,0.010315091
Moped <4kW,ICEV-p,4,Particulate matters 2.5,0.002262119
Moped <4kW,ICEV-p,5,Particulate matters 2.5,0.002262119
Moped <4kW,ICEV-p,1,Non-methane hydrocarbon,3.883583863
Moped <4kW,ICEV-p,2,Non-methane hydrocarbon,2.969799424
Moped <4kW,ICEV-p,3,Non-methane hydrocarbon,1.967357421
Moped <4kW,ICEV-p,4,Non-methane hydrocarbon,0.588690625
Moped <4kW,ICEV-p,5,Non-methane hydrocarbon,0.588690625
Scooter <4kW,ICEV-p,1,Methane,0.050029698
Scooter <4kW,ICEV-p,2,Methane,0.027516334
Scooter <4kW,ICEV-p,3,Methane,0.027343001
Scooter <4kW,ICEV-p,4,Methane,0.027739049
Scooter <4kW,ICEV-p,5,Methane,0.027739049
Scooter <4kW,ICEV-p,1,Carbon monoxide,7.65294467
Scooter <4kW,ICEV-p,2,Carbon monoxide,4.797368301
Scooter <4kW,ICEV-p,3,Carbon monoxide,4.03337826
Scooter <4kW,ICEV-p,4,Carbon monoxide,3.019733377
Scooter <4kW,ICEV-p,5,Carbon monoxide,3.019733377
Scooter <4kW,ICEV-p,1,Dinitrogen oxide,0.001142231
Scooter <4kW,ICEV-p,2,Dinitrogen oxide,0.001142231
Scooter <4kW,ICEV-p,3,Dinitrogen oxide,0.001387265
Scooter <4kW,ICEV-p,4,Dinitrogen oxide,0.001407359
Scooter <4kW,ICEV-p,5,Dinitrogen oxide,0.001407359
Scooter <4kW,ICEV-p,1,Ammonia,0.001142231
Scooter <4kW,ICEV-p,2,Ammonia,0.001142231
Scooter <4kW,ICEV-p,3,Ammonia,0.001387265
Scooter <4kW,ICEV-p,4,Ammonia,0.001407359
Scooter <4kW,ICEV-p,5,Ammonia,0.001407359
Scooter <4kW,ICEV-p,1,Nitrogen oxides,0.251290721
