Thiodicarb;water;unspecified;kilogram;7f5146b2-c36d-5e4f-93ad-9fdacf06c65c
Cyproconazole;soil;forestry;kilogram;633ec3fc-a67d-5194-8d42-5f533e90f140
Xenon-135m;air;urban air close to ground;kilo Becquerel;5aa8cb32-2784-46a4-8383-9cf89ce6bac1
Water, unspecified natural origin;natural resource;in water;cubic meter;831f249e-53f2-49cf-a93c-7cee105f048e
Krypton-85m;air;non-urban air or from high stacks;kilo Becquerel;8aa45af3-ff38-4330-9870-81fd360db53b
Noble gases, radioactive, unspecified;air;urban air close to ground;kilo Becquerel;6a5c3836-68f2-4258-8424-eeade996a16a
Fluosilicic acid;water;unspecified;kilogram;2061c1e1-6a81-47ad-8a1d-81dd30783f2c
Zinc, Zn 3.1%, in mixed ore;natural resource;in ground;kilogram;c3b2ba62-b158-47b1-8e1e-e76156e5292a
Iodide;soil;forestry;kilogram;5de7f50d-dbd7-4e4c-afa5-b38ad93b4dec
Chlorosulfonic acid;air;low population density, long-term;kilogram;b8ba284a-9560-40a1-bde9-75943d8c923a
Lithium, 0.15% in brine;natural resource;in ground;kilogram;a9ad523f-b721-4f07-ad9f-584053f3454d
Transformation, to river, artificial;natural resource;land;square meter;090e9aa9-a9a9-4878-9634-3ad0ba7fbc91
Methane, non-fossil;air;unspecified;kilogram;da1157e2-7593-4dfd-80dd-a3449b37a4d8
Cyclohexane (for all cycloalkanes);air;urban air close to ground;kilogram;2a042136-80fd-4c1c-8996-65a7985497d3
Antimony;natural resource;in ground;kilogram;47262180-8308-5d4c-9332-c77617e032ef
Propanil;soil;agricultural;kilogram;a9224ed8-bdfd-4e66-9e97-df752e2485ef
Dimethenamid-P;air;unspecified;kilogram;8ae15ccf-1bcd-597d-80fc-902611c80a4d
Methane, chlorodifluoro-, HCFC-22;air;low population density, long-term;kilogram;9b505d7c-4239-40e0-9dbe-55d38f3b85b3
Nicosulfuron;soil;agricultural;kilogram;504672ba-784f-4c87-bf3e-ede17992e4a2
Calcium;air;low population density, long-term;kilogram;cac53ea3-b11c-47a6-adfd-678672a088e6
Propylene oxide;water;unspecified;kilogram;48fececf-9b55-408d-9782-72057c79effe
