name;category;sub_category
[sulfonyl]urea-compound production;material;Chemicals\Pesticides\Transformation
[sulfonyl]urea-compound production;material;Chemicals\Pesticides\Transformation
[thio]carbamate-compound production;material;Chemicals\Pesticides\Transformation
[thio]carbamate-compound production;material;Chemicals\Pesticides\Transformation
1,1-difluoroethane production, HFC-152a;material;Chemicals\Organic\Transformation
1,1-difluoroethane production, HFC-152a;material;Chemicals\Organic\Transformation
1,1-dimethylcyclopentane to generic market for solvent, organic;material;Chemicals\Organic\Transformation
1-propanol production;material;Chemicals\Organic\Transformation
1-propanol production;material;Chemicals\Organic\Transformation
2,3-dimethylbutan to generic market for solvent, organic;material;Chemicals\Organic\Transformation
2,4-dichlorophenol production;material;Chemicals\Pesticides\Transformation
2,4-dichlorophenol production;material;Chemicals\Pesticides\Transformation
2,4-dichlorotoluene production;material;Chemicals\Pesticides\Transformation
2,4-dichlorotoluene production;material;Chemicals\Pesticides\Transformation
2,4-dinitrotoluene production;material;Chemicals\Organic\Transformation
2,4-dinitrotoluene production;material;Chemicals\Gases\Transformation
2,4-di-tert-butylphenol production;material;Chemicals\Organic\Transformation
2,5-dimethylhexane-2,5-dihydroperoxide production;material;Chemicals\Organic\Transformation
2,6-di-tert-butylphenol production;material;Chemicals\Organic\Transformation
2-butanol production by hydration of butene;material;Chemicals\Organic\Transformation
2-butanol production by hydration of butene;material;Chemicals\Organic\Transformation
2-butanol production by hydration of butene;material;Chemicals\Organic\Transformation
2-butanol production by hydration of butene;material;Chemicals\Organic\Transformation
2-methyl-2-butanol production;material;Chemicals\Organic\Transformation
2-methyl-2-butanol production;material;Chemicals\Organic\Transformation
2-methylpentane to generic market for solvent, organic;material;Chemicals\Organic\Transformation
2-nitroaniline production;material;Chemicals\Organic\Transformation
2-nitroaniline production;material;Chemicals\Organic\Transformation
2-pyridinol production;material;Chemicals\Organic\Transformation
2-pyridinol production;material;Chemicals\Organic\Transformation
3-methyl-1-butyl acetate production;material;Chemicals\Organic\Transformation
3-methyl-1-butyl acetate production;material;Chemicals\Organic\Transformation
3-methylpyridine production;material;Chemicals\Organic\Transformation
3-methylpyridine production;material;Chemicals\Organic\Transformation
4-methyl-2-pentanone production;material;Chemicals\Organic\Transformation
4-methyl-2-pentanone production;material;Chemicals\Organic\Transformation
4-tert-butylbenzaldehyde production;material;Chemicals\Organic\Transformation
4-tert-butylbenzaldehyde production;material;Chemicals\Organic\Transformation
4-tert-butyltoluene production;material;Chemicals\Organic\Transformation
4-tert-butyltoluene production;material;Chemicals\Organic\Transformation
absorption chiller production, 100kW;energy;Cogeneration\Gas\Transformation\Infrastructure
absorption chiller production, 100kW;energy;Cogeneration\Gas\Transformation\Infrastructure
acetaldehyde oxidation;material;Chemicals\Acids (organic)\Transformation
acetaldehyde oxidation;material;Chemicals\Acids (organic)\Transformation
acetaldehyde oxidation;material;Chemicals\Organic\Transformation
acetaldehyde oxidation;material;Chemicals\Organic\Transformation
