classification;classification code;category 1;category 2;category 3
0111:Growing of cereals (except rice) leguminous crops and oil seeds;0111;Material;Agricultural;Crops
0112:Growing of rice;0112;Material;Agricultural;Crops
0113:Growing of vegetables and melons roots and tubers;0113;Material;Agricultural;Crops
0114:Growing of sugar cane;0114;Material;Agricultural;Crops
0116:Growing of fibre crops;0116;Material;Agricultural;Crops
0119:Growing of other non-perennial crops;0119;Material;Agricultural;Crops
0121:Growing of grapes;0121;Material;Agricultural;Crops
0122:Growing of tropical and subtropical fruits;0122;Material;Agricultural;Crops
0123:Growing of citrus fruits;0123;Material;Agricultural;Crops
0124:Growing of pome fruits and stone fruits;0124;Material;Agricultural;Crops
0125:Growing of other tree and bush fruits and nuts;0125;Material;Agricultural;Crops
0126:Growing of oleaginous fruits;0126;Material;Agricultural;Crops
0127:Growing of beverage crops;0127;Material;Agricultural;Crops
0128:Growing of spices aromatic drug and pharmaceutical crops;0128;Material;Agricultural;Crops
0129:Growing of other perennial crops;0129;Material;Agricultural;Crops
012:Growing of perennial crops;012;Material;Agricultural;Crops
0130:Plant propagation;0130;Material;Agricultural;Crops
0141:Raising of cattle and buffaloes;0141;Material;Agricultural;Cattle
0144:Raising of sheep and goats;0144;Material;Agricultural;Cattle
0145:Raising of swine/pigs;0145;Material;Agricultural;Cattle
014:Animal production;014;Material;Agricultural;Cattle
0161:Support activities for crop production;0161;Material;Agricultural;Crops
0162:Support activities for animal production;0162;Material;Agricultural;Cattle
0163:Post-harvest crop activities;0163;Material;Agricultural;Crops
0164:Seed processing for propagation;0164;Material;Agricultural;Crops
0210:Silviculture and other forestry activities;0210;Material;Agricultural;Forestry
0220:Logging;0220;Material;Agricultural;Forestry
0230:Gathering of non-wood forest products;0230;Material;Agricultural;Forestry
0311:Marine fishing;0311;Material;Agricultural;Fish
0322:Freshwater aquaculture;0322;Material;Agricultural;Fish
032:Aquaculture;032;Material;Agricultural;Fish
03:Fishing and aquaculture;03;Material;Agricultural;Fish
0510:Mining of hard coal;0510;Material;Fuels;Coal
051:Mining of hard coal;051;Material;Fuels;Coal
0520:Mining of lignite;0520;Material;Fuels;Lignite
0610:Extraction of crude petroleum;0610;Material;Fuels;Crude oil
0620:Extraction of natural gas;0620;Material;Fuels;Natural gas
0710:Mining of iron ores;0710;Material;Metals;Iron
0721:Mining of uranium and thorium ores;0721;Material;Fuels;Uranium
0729:Mining of other non-ferrous metal ores;0729;Material;Metals;Non-ferrous metals
0810:Quarrying of stone sand and clay;0810;Material;Minerals;Stone
0891:Mining of chemical and fertilizer minerals;0891;Material;Extraction;Chemicals
0892:Extraction of peat;0892;Material;Fuels;Peat
0893:Extraction of salt;0893;Material;Extraction;Salt
0899:Other mining and quarrying n.e.c.;0899;Material;Others;
0910:Support activities for petroleum and natural gas extraction;0910;Material;Service;
0990:Support activities for other mining and quarrying;0990;Material;Service;
09:Mining support service activities;09;Material;Service;
1010:Processing and preserving of meat;1010;Processing;Meat;
1020:Processing and preserving of fish crustaceans and molluscs;1020;Processing;Fish;
1030:Processing and preserving of fruit and vegetables;1030;Processing;Fruit and vegetables;
1040:Manufacture of vegetable and animal oils and fats;1040;Processing;Animal oils and fats;
1050:Manufacture of dairy products;1050;Processing;Dairy;
1061:Manufacture of grain mill products;1061;Processing;Grain;
1062:Manufacture of starches and starch products;1062;Processing;Starch;
1072:Manufacture of sugar;1072;Processing;Sugar;
1075:Manufacture of prepared meals and dishes;1075;Processing;Food;
108:Manufacture of prepared animal feeds;108;Processing;Animal feed;
1311:Preparation and spinning of textile fibres;1311;Processing;Textile;
1312:Weaving of textiles;1312;Processing;Textile;
1313:Finishing of textiles;1313;Processing;Textile;
1391:Manufacture of knitted and crocheted fabrics;1391;Processing;Textile;
1399:Manufacture of other textiles n.e.c.;1399;Processing;Textile;
1610:Sawmilling and planing of wood;1610;Processing;Wood;
1621:Manufacture of veneer sheets and wood-based panels;1621;Processing;Wood;
1622:Manufacture of builders carpentry and joinery;1622;Processing;Wood;
1623:Manufacture of wooden containers;1623;Processing;Wood;
1701:Manufacture of pulp paper and paperboard;1701;Processing;Paper;
1702:Manufacture of corrugated paper and paperboard and of containers of paper a;1702;Processing;Paper;
170:Manufacture of paper and paper products;170;Processing;Paper;
1811:Printing;1811;Processing;Printing;
1812:Service activities related to printing;1812;Processing;Printing;
1910:Manufacture of coke oven products;1910;Processing;Coke;
1920:Manufacture of refined petroleum products;1920;Processing;Refining;
19:Manufacture of coke and refined petroleum products;19;Processing;Refining;
19a: Liquid and gaseous fuels from biomass;19a;Processing;Biomass;
2011:Manufacture of basic chemicals;2011;Processing;Chemicals;
2011a: Manufacture of nuclear fuels;2011a;Processing;Fuels;
2012:Manufacture of fertilizers and nitrogen compounds;2012;Processing;Fertilisers;
2013:Manufacture of plastics and synthetic rubber in primary forms;2013;Processing;Plastics;
2021:Manufacture of pesticides and other agrochemical products;2021;Processing;Pesticides;
2022:Manufacture of paints varnishes and similar coatings printing ink and mas;2022;Processing;Paint;
2023:Manufacture of soap and detergents cleaning and polishing preparations pe;2023;Processing;Detergents;
2029:Manufacture of other chemical products n.e.c.;2029;Processing;Chemicals;
2030:Manufacture of man-made fibres;2030;Processing;Fibre;
20:Manufacture of chemicals and chemical products;20;Processing;Chemicals;
2100:Manufacture of pharmaceuticals medicinal chemical and botanical products;2100;Processing;Pharmaceuticals;
2219:Manufacture of other rubber products;2219;Processing;Plastics;
2220:Manufacture of plastics products;2220;Processing;Plastics;
2310:Manufacture of glass and glass products;2310;Processing;Glass;
2391:Manufacture of refractory products;2391;Processing;Non-metallic mineral products;
2392:Manufacture of clay building materials;2392;Processing;Non-metallic mineral products;
2394:Manufacture of cement lime and plaster;2394;Processing;Non-metallic mineral products;
2395:Manufacture of articles of concrete cement and plaster;2395;Processing;Non-metallic mineral products;
2396:Cutting shaping and finishing of stone;2396;Processing;Non-metallic mineral products;
2399:Manufacture of other non-metallic mineral products n.e.c.;2399;Processing;Non-metallic mineral products;
239:Manufacture of non-metallic mineral products n.e.c.;239;Processing;Non-metallic mineral products;
2410:Manufacture of basic iron and steel;2410;Processing;Iron and steel;
2420:Manufacture of basic precious and other non-ferrous metals;2420;Processing;Non-ferrous metals;
2420a: Smelting and refining of uranium;2420a;Processing;Uranium;
242:Manufacture of basic precious and other non-ferrous metals;242;Processing;Non-ferrous metals;
2431:Casting of iron and steel;2431;Processing;Iron and steel;
2432:Casting of non-ferrous metals;2432;Processing;Non-ferrous metals;
2511:Manufacture of structural metal products;2511;Processing;Iron and steel;
2512:Manufacture of tanks reservoirs and containers of metal;2512;Processing;Iron and steel;
2591:Forging pressing stamping and roll-forming of metal, powder metallurgy;2591;Processing;Iron and steel;
2592:Treatment and coating of metals, machining;2592;Processing;Iron and steel;
259:Manufacture of other fabricated metal products, metalworking service activit;259;Processing;Iron and steel;
25:Manufacture of fabricated metal products except machinery and equipment;25;Processing;Iron and steel;
2610:Manufacture of electronic components and boards;2610;Processing;Electronics;
2620:Manufacture of computers and peripheral equipment;2620;Processing;Electronics;
2630:Manufacture of communication equipment;2630;Processing;Electronics;
2651:Manufacture of measuring testing navigating and control equipment;2651;Processing;Electronics;
2710:Manufacture of electric motors generators transformers and electricity di;2710;Processing;Electrical;
2710a: Manufacture of electric motors generators for liquid fuels;2710a;Processing;Electrical;
2720:Manufacture of batteries and accumulators;2720;Processing;Electrical;
2732:Manufacture of other electronic and electric wires and cables;2732;Processing;Electronics;
2750:Manufacture of domestic appliances;2750;Processing;Electronics;
2790:Manufacture of other electrical equipment;2790;Processing;Electrical;
27:Manufacture of electrical equipment;27;Processing;Electrical;
2811:Manufacture of engines and turbines except aircraft vehicle and cycle eng;2811;Processing;Engines;
2811a: Manufacture of engines and turbines for liquid fuels except aircraft vehicle and cycle engines;2811a;Processing;Engines;
2812:Manufacture of fluid power equipment;2812;Processing;Pumps;
2813:Manufacture of other pumps compressors taps and valves;2813;Processing;Pumps;
2815:Manufacture of ovens furnaces and furnace burners;2815;Processing;Furnaces and boilers;
2815a: Manufacture of furnaces and boilers for liquid fuels;2815a;Processing;Furnaces and boilers;
2815b: Manufacture of permanent mount non-electric household heating equipment;2815b;Processing;Furnaces and boilers;
2816:Manufacture of lifting and handling equipment;2816;Processing;Machines and equipment;
2817:Manufacture of office machinery and equipment (except computers and periphe;2817;Processing;Machines and equipment;
2818:Manufacture of power-driven hand tools;2818;Processing;Machines and equipment;
2819:Manufacture of other general-purpose machinery;2819;Processing;Machines and equipment;
2821:Manufacture of agricultural and forestry machinery;2821;Processing;Machines and equipment;
2822:Manufacture of metal-forming machinery and machine tools;2822;Processing;Machines and equipment;
2823:Manufacture of machinery for metallurgy;2823;Processing;Machines and equipment;
2824:Manufacture of machinery for mining quarrying and construction;2824;Processing;Machines and equipment;
2829:Manufacture of other special-purpose machinery;2829;Processing;Machines and equipment;
28:Manufacture of machinery and equipment n.e.c.;28;Processing;Machines and equipment;
2910:Manufacture of motor vehicles;2910;Processing;Motorized vehicles;
2920:Manufacture of bodies (coachwork) for motor vehicles, manufacture of traile;2920;Processing;Motorized vehicles;
2930:Manufacture of parts and accessories for motor vehicles;2930;Processing;Motorized vehicles;
3011:Building of ships and floating structures;3011;Processing;Ships;
3011a: Construction of drilling platforms;3011a;Processing;Platforms;
3020:Manufacture of railway locomotives and rolling stock;3020;Processing;Railway;
3030:Manufacture of air and spacecraft and related machinery;3030;Processing;Aircrafts;
