name,product,ISIC rev.4 ecoinvent,CPC
"(CF3SO2)2NH production, for LiS battery",(CF3SO2)2NH,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"(CF3SO2)2NNa production, for LiS battery",(CF3SO2)2NNa,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"(Me3Si)2NH production, for LiS battery",(Me3Si)2NH,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"1,1-difluoroethane production, HFC-152a","1,1-difluoroethane, HFC-152a",2011:Manufacture of basic chemicals,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]"
"1,2-Dichloro-1,1-difluoroethane (R-132b) production",r-132b,2011:Manufacture of basic chemicals,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives"
"21700 container production, for SIB battery","21700 container, for SIB battery",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"4-dimethylamino-2,2,6,6-tetramethylpiperidine production, intermediate 1, for RFB","4-dimethylamino-2,2,6,6-tetramethylpiperidine, intermediate 1, for RFB",2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
7N arsenic production,7N Arsenic,2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
7N gallium production,7N Gallium,2011:Manufacture of basic chemicals,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]"
"additive production, H2SO4, for vRFB","additive, H2SO4, for vRFB",2011:Manufacture of basic chemicals,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives"
"additive production, H3PO4, for vRFB","H3PO4, additive, vRFB",2011:Manufacture of basic chemicals,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]
"air compressor activity, for perovskite","compressed air, 14 bar, low efficiency",2011:Manufacture of basic chemicals,43230: Air or vacuum pumps; air or other gas compressors
