#;Country_ISO;R11_MESSAGE_Region;R12_MESSAGE_Region;MESSAGE_Country;CAIT_Country;EDGAR_Country;PRIMAP_Country
1;AFG;R11_SAS;R12_SAS;Afghanistan;Afghanistan;Afghanistan;Afghanistan
2;ALB;R11_EEU;R12_EEU;Albania;Albania;Albania;Albania
3;DZA;R11_MEA;R12_MEA;Algeria;Algeria;Algeria;Algeria
4;ASM;R11_PAS;R12_PAS;American Samoa;;American Samoa;
5;AND;R11_WEU;R12_WEU;Andorra;;;Andorra
6;AGO;R11_AFR;R12_AFR;Angola;Angola;Angola;Angola
7;ATG;R11_LAM;R12_LAM;Antigua and Barbuda;Antigua & Barbuda;Antigua and Barbuda;Antigua and Barbuda
8;ARG;R11_LAM;R12_LAM;Argentina;Argentina;Argentina;Argentina
9;ARM;R11_FSU;R12_FSU;Armenia;Armenia;Armenia;Armenia
10;AUS;R11_PAO;R12_PAO;Australia;Australia;Australia;Australia
11;AUT;R11_WEU;R12_WEU;Austria;Austria;Austria;Austria
12;AZE;R11_FSU;R12_FSU;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan
13;;R11_WEU;R12_WEU;Azores;;;
14;BHS;R11_LAM;R12_LAM;Bahamas;Bahamas, The;Bahamas;Bahamas
15;BHR;R11_MEA;R12_MEA;Bahrain;Bahrain;Bahrain;Bahrain
16;BGD;R11_SAS;R12_SAS;Bangladesh;Bangladesh;Bangladesh;Bangladesh
17;BRB;R11_LAM;R12_LAM;Barbados;Barbados;Barbados;Barbados
18;BLR;R11_FSU;R12_FSU;Belarus;Belarus;Belarus;Belarus
19;BEL;R11_WEU;R12_WEU;Belgium;Belgium;Belgium;Belgium
20;BLZ;R11_LAM;R12_LAM;Belize;Belize;Belize;Belize
21;BEN;R11_AFR;R12_AFR;Benin;Benin;Benin;Benin
22;BMU;R11_LAM;R12_LAM;Bermuda;;Bermuda;
23;BTN;R11_SAS;R12_SAS;Bhutan;Bhutan;Bhutan;Bhutan
24;BOL;R11_LAM;R12_LAM;Bolivia;Bolivia;Bolivia;Bolivia (Plurinational State of)
25;BIH;R11_EEU;R12_EEU;Bosnia and Herzegovina;Bosnia & Herzegovina;Bosnia and Herzegovina;Bosnia and Herzegovina
26;BWA;R11_AFR;R12_AFR;Botswana;Botswana;Botswana;Botswana
27;BRA;R11_LAM;R12_LAM;Brazil;Brazil;Brazil;Brazil
28;IOT;R11_AFR;R12_AFR;British Indian Ocean Territory;;;
29;BRN;R11_PAS;R12_PAS;Brunei Darussalam;Brunei;Brunei Darussalam;Brunei Darussalam
30;BGR;R11_EEU;R12_EEU;Bulgaria;Bulgaria;Bulgaria;Bulgaria
31;BFA;R11_AFR;R12_AFR;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso
32;BDI;R11_AFR;R12_AFR;Burundi;Burundi;Burundi;Burundi
33;KHM;R11_CPA;R12_RCPA;Cambodia;Cambodia;Cambodia;Cambodia
34;CMR;R11_AFR;R12_AFR;Cameroon;Cameroon;Cameroon;Cameroon
35;CAN;R11_NAM;R12_NAM;Canada;Canada;Canada;Canada
36;;R11_WEU;R12_WEU;Canary Islands;;;
37;CPV;R11_AFR;R12_AFR;Cape Verde;Cape Verde;Cape Verde;Cabo Verde
38;CAF;R11_AFR;R12_AFR;Central African Republic;Central African Republic;Central African Republic;Central African Republic
39;TCD;R11_AFR;R12_AFR;Chad;Chad;Chad;Chad
40;;R11_WEU;R12_WEU;Channel Islands;;;
41;CHL;R11_LAM;R12_LAM;Chile;Chile;Chile;Chile
42;CHN;R11_CPA;R12_CHN;China (incl. Hong Kong);China;China;China
43;COL;R11_LAM;R12_LAM;Colombia;Colombia;Colombia;Colombia
44;COM;R11_AFR;R12_AFR;Comoros;Comoros;Comoros;Comoros
45;COG;R11_AFR;R12_AFR;Congo;Congo, Dem. Rep.;Congo;Democratic Republic of the Congo
46;CRI;R11_LAM;R12_LAM;Costa Rica;Costa Rica;Costa Rica;Costa Rica
47;CIV;R11_AFR;R12_AFR;Cote d'Ivoire;Cote d'Ivoire;Cote d'Ivoire;Cote d'Ivoire
48;HRV;R11_EEU;R12_EEU;Croatia;Croatia;Croatia;Croatia
49;CUB;R11_LAM;R12_LAM;Cuba;Cuba;Cuba;Cuba
50;CYP;R11_WEU;R12_WEU;Cyprus;Cyprus;Cyprus;Cyprus
51;CZE;R11_EEU;R12_EEU;Czech Republic;Czech Republic;Czech Republic;Czech Republic
52;DNK;R11_WEU;R12_WEU;Denmark;Denmark;Denmark;Denmark
53;DJI;R11_AFR;R12_AFR;Djibouti;Djibouti;Djibouti;Djibouti
54;DMA;R11_LAM;R12_LAM;Dominica;Dominica;Dominica;Dominica
