dataset;location;Sum of production volume
electricity production, deep geothermal;CR;1476
electricity production, deep geothermal;DE;94
electricity production, deep geothermal;ET;18
electricity production, deep geothermal;GLO;84431
electricity production, deep geothermal;GT;237
electricity production, deep geothermal;ID;4114
electricity production, deep geothermal;IS;5028
electricity production, deep geothermal;IT;5679
electricity production, deep geothermal;JP;2322
electricity production, deep geothermal;KE;3897
electricity production, deep geothermal;MX;5760
electricity production, deep geothermal;NI;636
electricity production, deep geothermal;NZ;6913
electricity production, deep geothermal;PH;9896
electricity production, deep geothermal;PT;197
electricity production, deep geothermal;RU;437
electricity production, deep geothermal;SV;1496
electricity production, deep geothermal;TH;1
electricity production, deep geothermal;TR;2269
electricity production, deep geothermal;RoW;33961
electricity production, hard coal;DO;2303
electricity production, hard coal;FR;8444
electricity production, hard coal;AR;3285
electricity production, hard coal;AT;2396
electricity production, hard coal;AU;62338
electricity production, hard coal;BD;1023
electricity production, hard coal;BE;2083
electricity production, hard coal;BG;901
electricity production, hard coal;BR;8895
electricity production, hard coal;BW;2105
electricity production, hard coal;CA-AB;604
electricity production, hard coal;CA-NB;2481
electricity production, hard coal;CA-NS;5114
electricity production, hard coal;CA-ON;202
electricity production, hard coal;CA-PE;2
electricity production, hard coal;CL;23926
electricity production, hard coal;CO;5361
electricity production, hard coal;CZ;1923
electricity production, hard coal;DE;97366
electricity production, hard coal;EE;4
electricity production, hard coal;ES;38755
electricity production, hard coal;FI;3783
electricity production, hard coal;GB;93147
electricity production, hard coal;GLO;7347045.87
electricity production, hard coal;GT;1725
electricity production, hard coal;HK;28273
electricity production, hard coal;HN;33
electricity production, hard coal;HR;2184
electricity production, hard coal;IE;3815
electricity production, hard coal;IL;27990
electricity production, hard coal;IT;40256
electricity production, hard coal;JP;269824
electricity production, hard coal;KP;3587
electricity production, hard coal;KR;164600
electricity production, hard coal;LK;2978
electricity production, hard coal;MA;14711
electricity production, hard coal;MM;266
electricity production, hard coal;MX;12888
electricity production, hard coal;MY;51919
electricity production, hard coal;NL;21114
electricity production, hard coal;PA;639
electricity production, hard coal;PE;121
electricity production, hard coal;PH;26358
electricity production, hard coal;PK;153
electricity production, hard coal;PT;11474
electricity production, hard coal;SG;504
electricity production, hard coal;TH;15131
electricity production, hard coal;TR;33812
electricity production, hard coal;TW;64741
electricity production, hard coal;UA;63326
electricity production, hard coal;VN;31255
electricity production, hard coal;ZW;4074
electricity production, hard coal;RoW;6082853.87
electricity production, hydro, pumped storage;FR;5797
electricity production, hydro, pumped storage;AE;843
electricity production, hydro, pumped storage;AR;326
electricity production, hydro, pumped storage;AT;3826
electricity production, hydro, pumped storage;AU;35
electricity production, hydro, pumped storage;BE;1233
electricity production, hydro, pumped storage;BG;558
electricity production, hydro, pumped storage;CA-ON;784
electricity production, hydro, pumped storage;CZ;1052
electricity production, hydro, pumped storage;DE;5857
electricity production, hydro, pumped storage;ES;3801
electricity production, hydro, pumped storage;GLO;87772
electricity production, hydro, pumped storage;GR;131
electricity production, hydro, pumped storage;HR;118
electricity production, hydro, pumped storage;IE;279
electricity production, hydro, pumped storage;IT;1711
electricity production, hydro, pumped storage;JP;5146
electricity production, hydro, pumped storage;KR;5068
electricity production, hydro, pumped storage;LT;689
electricity production, hydro, pumped storage;LU;1061
electricity production, hydro, pumped storage;MA;396
electricity production, hydro, pumped storage;NO;742
electricity production, hydro, pumped storage;PL;551
electricity production, hydro, pumped storage;PT;843
electricity production, hydro, pumped storage;RO;474
electricity production, hydro, pumped storage;RS;614
electricity production, hydro, pumped storage;RU;1874
electricity production, hydro, pumped storage;SI;274
electricity production, hydro, pumped storage;SK;253
electricity production, hydro, pumped storage;SY;1665
electricity production, hydro, pumped storage;TJ;3121
electricity production, hydro, pumped storage;UY;20054
electricity production, hydro, pumped storage;RoW;18596
electricity production, hydro, reservoir, alpine region;FR;9825
electricity production, hydro, reservoir, alpine region;AT;10006
electricity production, hydro, reservoir, alpine region;BA;2056
electricity production, hydro, reservoir, alpine region;CA-AB;1190
electricity production, hydro, reservoir, alpine region;CA-BC;54147
electricity production, hydro, reservoir, alpine region;CH;18947
electricity production, hydro, reservoir, alpine region;GLO;542686.2032
electricity production, hydro, reservoir, alpine region;HR;8732
electricity production, hydro, reservoir, alpine region;IT;36627
electricity production, hydro, reservoir, alpine region;JP;12892
electricity production, hydro, reservoir, alpine region;MK;980
electricity production, hydro, reservoir, alpine region;NO;129887
electricity production, hydro, reservoir, alpine region;PE;21384
electricity production, hydro, reservoir, alpine region;RS;1743
electricity production, hydro, reservoir, alpine region;RoW;234270.2032
electricity production, hydro, reservoir, non-alpine region;CA-MB;34082
electricity production, hydro, reservoir, non-alpine region;CA-NB;2669
electricity production, hydro, reservoir, non-alpine region;CA-NF;37498
electricity production, hydro, reservoir, non-alpine region;CA-NS;626
electricity production, hydro, reservoir, non-alpine region;CA-NT;102
electricity production, hydro, reservoir, non-alpine region;CA-ON;32986
electricity production, hydro, reservoir, non-alpine region;CA-QC;111041
electricity production, hydro, reservoir, non-alpine region;CA-SK;4519
electricity production, hydro, reservoir, non-alpine region;CZ;333
electricity production, hydro, reservoir, non-alpine region;DE;3077
electricity production, hydro, reservoir, non-alpine region;ES;12826
electricity production, hydro, reservoir, non-alpine region;FI;3087
electricity production, hydro, reservoir, non-alpine region;GLO;891511.5984
electricity production, hydro, reservoir, non-alpine region;KR;545
electricity production, hydro, reservoir, non-alpine region;PT;5232
electricity production, hydro, reservoir, non-alpine region;RU;42997
electricity production, hydro, reservoir, non-alpine region;SE;12623
electricity production, hydro, reservoir, non-alpine region;SK;1014
electricity production, hydro, reservoir, non-alpine region;TR;19926
electricity production, hydro, reservoir, non-alpine region;TZ;2564
electricity production, hydro, reservoir, non-alpine region;RoW;563764.5984
electricity production, hydro, reservoir, tropical region;BR;347837
