dataset name;energy type;REMIND location;Transformation loss;Distr./Transmission loss;Supplier name;Supplier location;Contribution within energy type;Final contribution
high voltage, RCP26, 2014;SE|Electricity|Biomass|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, biogas, gas engine;RoW;0.4877533856267486;0.0037058575316319653
high voltage, RCP26, 2014;SE|Electricity|Biomass|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;RoW;0.5121436295291876;0.0038911699696954137
high voltage, RCP26, 2014;SE|Electricity|Biomass|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, wood chips, 6667 kW;RoW;0.00010298484406378195;7.824592740187843e-07
high voltage, RCP26, 2014;SE|Electricity|Biomass|IGCC|w/o CCS;World;0.033456496;0.0;Electricity, at BIGCC power plant 450MW, no CCS/2025;RER;1.0;0.006305994814595034
high voltage, RCP26, 2014;SE|Electricity|Coal|PC|w/o CCS;World;0.033456496;0.0;electricity production, hard coal;RoW;0.7736401338816986;0.258701328256324
high voltage, RCP26, 2014;SE|Electricity|Coal|PC|w/o CCS;World;0.033456496;0.0;electricity production, lignite;RoW;0.2263598661183014;0.0756935886132336
high voltage, RCP26, 2014;SE|Electricity|Coal|IGCC|w/o CCS;World;0.033456496;0.0;Electricity, at power plant/hard coal, IGCC, no CCS/2025;RER;0.5;0.0010835995809374396
high voltage, RCP26, 2014;SE|Electricity|Coal|IGCC|w/o CCS;World;0.033456496;0.0;Electricity, at power plant/lignite, IGCC, no CCS/2025;RER;0.5;0.0010835995809374396
high voltage, RCP26, 2014;SE|Electricity|Coal|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, hard coal;RoW;0.8660031717759804;0.017202149700543047
high voltage, RCP26, 2014;SE|Electricity|Coal|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, lignite;RoW;0.1339968282240196;0.002661691750828608
high voltage, RCP26, 2014;SE|Electricity|Gas|GT;World;0.033456496;0.0;electricity production, natural gas, conventional power plant;RoW;1.0;0.012579890587149747
high voltage, RCP26, 2014;SE|Electricity|Gas|CC|w/o CCS;World;0.033456496;0.0;electricity production, natural gas, combined cycle power plant;RoW;1.0;0.17662630091703263
high voltage, RCP26, 2014;SE|Electricity|Gas|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;RoW;0.37886522316069915;0.014696318356697729
high voltage, RCP26, 2014;SE|Electricity|Gas|CHP|w/o CCS;World;0.033456496;0.0;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;RoW;0.6211347768393009;0.02409404153459309
high voltage, RCP26, 2014;SE|Electricity|Geothermal;World;0.033456496;0.0;electricity production, deep geothermal;RoW;1.0;0.0065770256447150125
high voltage, RCP26, 2014;SE|Electricity|Hydro;World;0.033456496;0.0;electricity production, hydro, reservoir, alpine region;RoW;0.13754773578081625;0.024148030195448485
high voltage, RCP26, 2014;SE|Electricity|Hydro;World;0.033456496;0.0;electricity production, hydro, reservoir, non-alpine region;RoW;0.33100472430589156;0.05811154965220131
high voltage, RCP26, 2014;SE|Electricity|Hydro;World;0.033456496;0.0;electricity production, hydro, reservoir, tropical region;RoW;0.001392679157722676;0.00024450026866926715
high voltage, RCP26, 2014;SE|Electricity|Hydro;World;0.033456496;0.0;electricity production, hydro, run-of-river;RoW;0.5300548607555695;0.09305700824596864
high voltage, RCP26, 2014;SE|Electricity|Nuclear;World;0.033456496;0.0;electricity production, nuclear, pressure water reactor, heavy water moderated;RoW;0.028102466324619827;0.003422210901825267
