dataset name;location
electricity, high voltage, import from SE;NO
market for electricity, low voltage;MK
market for electricity, medium voltage;CA-NF
electricity, high voltage, import from IE;GB
electricity, high voltage, production mix;CA-NU
electricity, high voltage, production mix;IN-Eastern grid
electricity, high voltage, production mix;CY
market for electricity, low voltage;CZ
market group for electricity, low voltage;RAF
market for electricity, high voltage;CM
electricity, high voltage, import from IN-Eastern grid;IN-Southern grid
electricity, high voltage, import from LV;LT
electricity, high voltage, production mix;SI
electricity, high voltage, production mix;CN-GX
market group for electricity, high voltage;CN
market group for electricity, low voltage;RLA
electricity, high voltage, production mix;KR
market for electricity, medium voltage;CY
market for electricity, low voltage;EG
electricity, high voltage, import from CA-ON;CA-MB
market for electricity, medium voltage;RoW
electricity, high voltage, import from IN-North-eastern grid;IN-Eastern grid
electricity, high voltage, production mix;DK
electricity, high voltage, import from IN-Western grid;IN-Southern grid
market for electricity, low voltage;RU
electricity, from municipal waste incineration to generic market for electricity, medium voltage;RS
market for electricity, high voltage;ZW
market for electricity, low voltage;CU
market for electricity, medium voltage;KH
market for electricity, medium voltage;AL
market for electricity, medium voltage, aluminium industry;RoW
market for electricity, medium voltage;PA
electricity, high voltage, production mix;CN-GS
market for electricity, medium voltage;NL
market for electricity, medium voltage;LU
electricity, high voltage, import from HR;BA
market for electricity, low voltage;VN
market for electricity, high voltage;RO
market for electricity, high voltage;TR
electricity, high voltage, import from DE;CZ
market for electricity, low voltage;XK
market for electricity, low voltage;TW
market for electricity, low voltage;US-NPCC
electricity, high voltage, import from LT;BY
market for electricity, low voltage;OM
market for electricity, high voltage;MY
electricity, high voltage, import from BE;LU
market for electricity, high voltage;IN-North-eastern grid
electricity, from municipal waste incineration to generic market for electricity, medium voltage;RoW
market for electricity, medium voltage;ID
market for electricity, medium voltage;NZ
market for electricity, medium voltage;DK
market for electricity, medium voltage;CN-CSG
market for electricity, medium voltage;IL
market for electricity, medium voltage, aluminium industry;IAI Area, Asia, without China and GCC
electricity, high voltage, import from GT;SV
market for electricity, medium voltage;ES
electricity, high voltage, import from SK;UA
market group for electricity, low voltage;CA
market for electricity, high voltage;ZA
market for electricity, low voltage;YE
electricity, high voltage, import from NL;GB
electricity, high voltage, production mix;US-ASCC
market group for electricity, high voltage;RAS
market for electricity, low voltage;TM
market for electricity, low voltage;KR
market for electricity, high voltage;SD
market for electricity, low voltage;AZ
market for electricity, low voltage;SS
market for electricity, high voltage;JP
electricity, from municipal waste incineration to generic market for electricity, medium voltage;CA-PE
electricity, high voltage, import from NO;NL
market for electricity, medium voltage;US-FRCC
electricity, high voltage, import from FR;ES
electricity, high voltage, import from RO;UA
market for electricity, low voltage;GB
electricity, high voltage, import from IT;CH
electricity, high voltage, import from GH;TG
electricity, high voltage, import from UA;RU
electricity, high voltage, import from EE;FI
electricity, high voltage, import from CA-MB;US-MRO
electricity, high voltage, import from SI;AT
electricity, high voltage, import from IN-Northern grid;IN-Western grid
electricity, high voltage, production mix;CN-NX
market for electricity, low voltage;IN-Northern grid
market for electricity, medium voltage;JO
market for electricity, high voltage;MK
market for electricity, low voltage;US-MRO
market for electricity, high voltage;GA
electricity, high voltage, import from RS;ME
electricity, high voltage, import from NPCC, US only;CA-NB
market group for electricity, high voltage;CA
market for electricity, low voltage;RO
market for electricity, medium voltage;IN-North-eastern grid
electricity, high voltage, import from SI;HR
electricity, from municipal waste incineration to generic market for electricity, medium voltage;IS
market for electricity, low voltage;KH
market for electricity, high voltage;IT
electricity, high voltage, import from IN-Northern grid;IN-Southern grid
electricity, high voltage, import from PL;SK
market for electricity, medium voltage;TT
electricity, high voltage, import from GB;FR
market for electricity, medium voltage;KE
