Country;Transformation loss, high voltage;Transmission loss to medium voltage;Transformation loss, medium voltage;Transmission loss to low voltage;Transformation loss, low voltage;Production volume
AL;0.0561;0.0127;0.008;0.056;0.0593;0
DZ;0.0746;0.0171;0.0109;0.0753;0.0815;0
AO;0.0451;0.0101;0.0064;0.0447;0.0468;0
AR;0.0537;0.0121;0.0076;0.0535;0.0565;0
AM;0.0578;0.013;0.0083;0.0577;0.0612;0
AU;0.0198;0.0043;0.0027;0.0193;0.0197;493735.1461
AT;0.0193;0.0042;0.0026;0.0188;0.0192;133339.1503
AZ;0.0561;0.0126;0.008;0.0559;0.0592;0
BH;0.0153;0.0033;0.0021;0.0149;0.0151;0
BD;0.0473;0.0106;0.0067;0.0469;0.0492;0
BY;0.0347;0.0077;0.0048;0.0341;0.0353;0
BE;0.0176;0.0038;0.0024;0.0171;0.0174;147200.2923
BJ;0.0756;0.0174;0.0111;0.0764;0.0827;0
BO;0.0369;0.0082;0.0051;0.0363;0.0377;0
BA;0.0417;0.0093;0.0059;0.0412;0.043;1316647.266
BW;0.027;0.0059;0.0037;0.0264;0.0271;0
BR;0.059;0.0133;0.0085;0.059;0.0627;1243638.7
BN;0.0279;0.0061;0.0038;0.0273;0.028;0
BG;0.0474;0.0106;0.0067;0.0471;0.0494;96895.18705
CA;0.0384;0.0085;0.0054;0.0379;0.0393;0
CA-AB;0.0384;0.0085;0.0054;0.0379;0.0393;256019.4327
CA-BC;0.0384;0.0085;0.0054;0.0379;0.0393;225724.2857
CA-MB;0.0384;0.0085;0.0054;0.0379;0.0393;211001.0789
CA-NB;0.0384;0.0085;0.0054;0.0379;0.0393;166872.6467
CA-NF;0.0384;0.0085;0.0054;0.0379;0.0393;122450.7731
CA-NS;0.0384;0.0085;0.0054;0.0379;0.0393;160642.7867
CA-NT;0.0384;0.0085;0.0054;0.0379;0.0393;115155.1782
CA-NU;0.0384;0.0085;0.0054;0.0379;0.0393;307.7605127
CA-ON;0.0384;0.0085;0.0054;0.0379;0.0393;1017111.234
CA-QC;0.0384;0.0085;0.0054;0.0379;0.0393;437956.9807
CA-PE;0.0384;0.0085;0.0054;0.0379;0.0393;27215.53046
CA-SK;0.0384;0.0085;0.0054;0.0379;0.0393;178191.3945
CA-YK;0.0384;0.0085;0.0054;0.0379;0.0393;59448.59281
KH;0.0581;0.0131;0.0083;0.0581;0.0616;0
CM;0.043;0.0096;0.006;0.0425;0.0444;0
CL;0.026;0.0057;0.0036;0.0254;0.0261;168409.62
CN;0.023;0.005;0.0032;0.0225;0.023;0
SGCC;0.023;0.005;0.0032;0.0225;0.023;0
CSG;0.023;0.005;0.0032;0.0225;0.023;0
TW;0.0143;0.0031;0.0019;0.0139;0.014;4154047.736
CO;0.0435;0.0097;0.0061;0.043;0.045;0
CG;0.1975;0.0518;0.0341;0.2175;0.2779;0
CR;0.042;0.0093;0.0059;0.0415;0.0433;0
CI;0.0663;0.0151;0.0096;0.0666;0.0713;0
HR;0.0405;0.009;0.0057;0.04;0.0417;29420.90204
CU;0.0629;0.0143;0.0091;0.063;0.0673;0
CY;0.016;0.0035;0.0022;0.0155;0.0158;12827.9772
CZ;0.0241;0.0053;0.0033;0.0236;0.0241;147237.8005
DK;0.0229;0.005;0.0031;0.0224;0.0229;64192.75363
DO;0.0468;0.0105;0.0066;0.0464;0.0487;0
KP;0.0681;0.0155;0.0099;0.0685;0.0735;0
CD;0.08;0.0185;0.0118;0.0811;0.0883;0
EC;0.0498;0.0112;0.0071;0.0495;0.0521;0
EG;0.0451;0.0101;0.0063;0.0446;0.0467;0
SV;0.0442;0.0099;0.0062;0.0438;0.0458;0
ER;0.0557;0.0126;0.0079;0.0556;0.0588;0
EE;0.0397;0.0088;0.0055;0.0391;0.0407;21260.07176
ET;0.0836;0.0194;0.0124;0.085;0.0929;0
FI;0.013;0.0028;0.0018;0.0126;0.0128;124797.5267
MK;0.0526;0.0118;0.0075;0.0523;0.0552;1296779.266
FR;0.0297;0.0065;0.0041;0.0291;0.03;1123543.906
GA;0.0818;0.0189;0.0121;0.083;0.0905;0
GE;0.0225;0.0049;0.0031;0.022;0.0224;0
DE;0.0171;0.0037;0.0023;0.0167;0.0169;1180426.454
GH;0.0921;0.0215;0.0138;0.0941;0.1039;0
GI;0.0205;0.0045;0.0028;0.02;0.0204;0
GR;0.0293;0.0064;0.004;0.0287;0.0295;107438.4155
GT;0.0428;0.0095;0.006;0.0423;0.0442;0
HT;0.2371;0.0651;0.0435;0.2688;0.3676;0
HN;0.1311;0.0319;0.0206;0.1376;0.1596;0
HK;0.0397;0.0088;0.0056;0.0392;0.0408;0
HU;0.0349;0.0077;0.0049;0.0344;0.0356;73175.808
IS;0.0112;0.0024;0.0015;0.0108;0.0109;74991.34993
IN;0.081;0.0187;0.0119;0.0821;0.0895;0
IN-Northern grid;0.0654;0.0149;0.0094;0.0656;0.0703;0
IN-Western grid;0.0626;0.0142;0.009;0.0627;0.0669;0
IN-Southern grid;0.0474;0.0106;0.0067;0.047;0.0493;0
IN-Eastern grid;0.0756;0.0174;0.0111;0.0764;0.0827;0
IN-North-eastern grid;0.0648;0.0147;0.0093;0.065;0.0695;0
ID;0.038;0.0084;0.0053;0.0374;0.0389;3331813.481
IR;0.0519;0.0117;0.0074;0.0517;0.0545;3578389.249
IQ;0.1709;0.0435;0.0284;0.1845;0.2263;0
IE;0.0295;0.0065;0.0041;0.0289;0.0298;54128.27343
IL;0.0126;0.0027;0.0017;0.0122;0.0123;0
IT;0.0244;0.0053;0.0034;0.0239;0.0244;536279.8474
JM;0.1044;0.0247;0.0158;0.1076;0.1205;0
JP;0.0177;0.0039;0.0024;0.0172;0.0175;1891549.6
JO;0.0426;0.0095;0.006;0.0421;0.0439;0
KZ;0.0328;0.0072;0.0046;0.0322;0.0333;0
KE;0.0686;0.0157;0.0099;0.069;0.0741;0
KR;0.0136;0.0029;0.0018;0.0132;0.0134;4670303.736
XK;0.0583;0.0132;0.0083;0.0582;0.0618;0
KW;0.0515;0.0116;0.0073;0.0512;0.054;0
KG;0.0929;0.0217;0.0139;0.095;0.105;0
LV;0.026;0.0057;0.0036;0.0254;0.0261;7124.089516
LB;0.0405;0.009;0.0057;0.04;0.0417;0
LY;0.2758;0.0794;0.0539;0.3221;0.4752;0
LT;0.0296;0.0065;0.0041;0.029;0.0298;15983.55439
LU;0.0074;0.0016;0.001;0.0071;0.0072;6833.189154
MY;0.0236;0.0052;0.0032;0.023;0.0236;2529653.644
MT;0.02;0.0044;0.0027;0.0195;0.0199;6710.995647
MU;0.024;0.0052;0.0033;0.0234;0.024;0
MX;0.0557;0.0125;0.0079;0.0555;0.0588;4018816.305
MN;0.052;0.0117;0.0074;0.0518;0.0546;0
ME;0.0664;0.0151;0.0096;0.0667;0.0714;0
MA;0.0484;0.0108;0.0068;0.048;0.0504;0
MZ;0.068;0.0155;0.0099;0.0684;0.0734;0
MM;0.0799;0.0184;0.0117;0.0809;0.0881;0
CW;0.0674;0.0154;0.0098;0.0677;0.0727;0
NA;0.049;0.011;0.0069;0.0486;0.0511;0
NP;0.0927;0.0217;0.0139;0.0948;0.1048;528132.8235
NL;0.0169;0.0037;0.0023;0.0165;0.0167;180439.8325
NZ;0.0263;0.0058;0.0036;0.0257;0.0264;0
NI;0.0851;0.0198;0.0126;0.0866;0.0948;0
NE;0.0662;0.0151;0.0096;0.0664;0.0712;0
NG;0.0647;0.0147;0.0093;0.0649;0.0695;0
NO;0.027;0.0059;0.0037;0.0264;0.0271;297715.0025
OM;0.0436;0.0097;0.0061;0.0432;0.0451;0
PK;0.0701;0.016;0.0102;0.0706;0.076;0
PA;0.0565;0.0127;0.0081;0.0564;0.0597;0
PY;0.1057;0.0251;0.0161;0.109;0.1224;0
PE;0.0438;0.0098;0.0062;0.0433;0.0453;2433757.6
PH;0.0401;0.0089;0.0056;0.0396;0.0413;0
PL;0.0273;0.006;0.0038;0.0267;0.0274;314244.9889
PT;0.0396;0.0088;0.0055;0.039;0.0406;104268.0312
QA;0.0253;0.0055;0.0035;0.0247;0.0253;0
MD;0.0779;0.0179;0.0114;0.0788;0.0855;0
RO;0.0523;0.0117;0.0074;0.052;0.0549;134744.1622
RU;0.0423;0.0094;0.0059;0.0418;0.0436;2059594.4
SA;0.0271;0.0059;0.0037;0.0265;0.0272;2661619.644
SN;0.0507;0.0114;0.0072;0.0504;0.0531;0
RS;0.0618;0.014;0.0089;0.0619;0.066;1350851.266
SG;0.0082;0.0018;0.0011;0.008;0.008;0
SK;0.0101;0.0022;0.0014;0.0098;0.0099;60944.37635
SI;0.0239;0.0052;0.0033;0.0233;0.0239;23440.98594
ZA;0.0263;0.0144;0.0088;0.0916;0.1008;0
SS;0.0249;0.0054;0.0034;0.0243;0.0249;0
ES;0.0396;0.0088;0.0055;0.0391;0.0407;520962.984
LK;0.0463;0.0103;0.0065;0.0459;0.0481;0
SD;0.0561;0.0126;0.008;0.0559;0.0592;0
SE;0.0216;0.0047;0.003;0.0211;0.0215;299698.4018
CH;0.0295;0.0065;0.0041;0.0289;0.0298;22502505308
SY;0.0684;0.0156;0.0099;0.0688;0.0738;0
TJ;0.072;0.0165;0.0105;0.0726;0.0783;0
TH;0.0231;0.005;0.0032;0.0225;0.023;3264289.481
TG;0.0325;0.0072;0.0045;0.0319;0.033;0
TT;0.0094;0.002;0.0013;0.0091;0.0092;0
TN;0.0606;0.0137;0.0087;0.0606;0.0645;0
TR;0.0595;0.0135;0.0085;0.0595;0.0632;3992552.305
TM;0.0635;0.0144;0.0092;0.0637;0.068;0
AE;0.0299;0.0066;0.0041;0.0293;0.0302;0
UA;0.0482;0.0108;0.0068;0.0478;0.0502;3412997.249
GB;0.0322;0.0071;0.0045;0.0316;0.0327;474975.1451
US;0.024;0.0052;0.0033;0.0234;0.024;0
US-ASCC;0.024;0.0052;0.0033;0.0234;0.024;0
US-FRCC;0.024;0.0052;0.0033;0.0234;0.024;0
US-HICC;0.024;0.0052;0.0033;0.0234;0.024;0
US-MRO;0.024;0.0052;0.0033;0.0234;0.024;0
US-NPCC;0.024;0.0052;0.0033;0.0234;0.024;0
US-RFC;0.024;0.0052;0.0033;0.0234;0.024;0
US-SERC;0.024;0.0052;0.0033;0.0234;0.024;0
US-SPP;0.024;0.0052;0.0033;0.0234;0.024;0
US-TRE;0.024;0.0052;0.0033;0.0234;0.024;0
US-WECC;0.024;0.0052;0.0033;0.0234;0.024;0
TZ;0.0683;0.0156;0.0099;0.0687;0.0738;11848
UY;0.0428;0.0095;0.006;0.0424;0.0442;0
UZ;0.0364;0.008;0.0051;0.0358;0.0371;0
VE;0.1473;0.0365;0.0237;0.1564;0.1854;0
VN;0.0358;0.0079;0.005;0.0352;0.0365;0
YE;0.1193;0.0287;0.0185;0.1242;0.1418;0
ZM;0.0654;0.0149;0.0094;0.0656;0.0703;0
ZW;0.0661;0.015;0.0095;0.0663;0.071;0
RoW;0.034;0.0075;0.0047;0.0335;0.0346;0
GLO;0.02952;0.00650;0.00410;0.02892;0.02982;22560268074
