market for land use change, perennial crop;land use change, perennial crop;hectare;HN;0
market for heavy fuel oil;heavy fuel oil;kilogram;CH;1
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-GX;2
market for waste packaging paper;waste packaging paper;kilogram;SI;3
zinc sulfide production;zinc sulfide;kilogram;RoW;4
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;CZ;5
white spirit production, petroleum refinery operation;white spirit;kilogram;CO;6
heat storage production, 2000l;heat storage, 2000l;unit;CH;7
aluminium drilling, conventional;aluminium removed by drilling, conventional;kilogram;RER;8
market for waste plastic, mixture;waste plastic, mixture;kilogram;SI;9
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;heat, district or industrial, natural gas;megajoule;LU;10
debarking, hardwood, meranti;sawlog and veneer log, meranti, debarked, measured as solid wood;cubic meter;MY;11
nutrient supply from vinasse, from fermentation of sweet sorghum;organic phosphorus fertiliser, as P2O5;kilogram;GLO;12
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;US-NPCC;13
treatment of blast furnace sludge, residual material landfill;blast furnace sludge;kilogram;CH;14
market for propylene;propylene;kilogram;ZA;15
pentaerythritol production in sodium hydroxide solution;sodium formate;kilogram;RoW;16
transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing;ton kilometer;GLO;17
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;RU;18
explosive production, tovex;explosive, tovex;kilogram;CH;19
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;TR;20
anchovy, capture by steel purse seiner and landing whole, fresh;landed anchovy, fresh;kilogram;ES;21
market for waste, pneumatic tyres;waste, pneumatic tyres;kilogram;GLO;22
refractory production, high aluminium oxide, packed;refractory, high aluminium oxide, packed;kilogram;DE;23
market for ventilation control and wiring, central unit;ventilation control and wiring, central unit;unit;GLO;24
treatment of waste paint on wall, collection for final disposal;waste paint on wall;kilogram;RoW;25
transport, freight, lorry 7.5-16 metric ton, unregulated;transport, freight, lorry 7.5-16 metric ton, unregulated;ton kilometer;ZA;26
coconut production, dehusked;coconut, dehusked;kilogram;PH;27
market for sawnwood, beam, hardwood, dried (u=20%), planed;sawnwood, beam, hardwood, dried (u=20%), planed;cubic meter;CH;28
wheat grain processing, dry milling;wheat bran;kilogram;RoW;29
land already in use, annual cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-RJ;30
market for tomato, processing grade;tomato, processing grade;kilogram;GLO;31
glycerin distillate bottom, Recycled Content cut-off;glycerin distillate bottom;kilogram;GLO;32
