Americium-241;water;ground-, long-term;kilo Becquerel;0
Xenon-138;air;unspecified;kilo Becquerel;1
Ethanol;water;surface water;kilogram;2
Mercury;soil;unspecified;kilogram;3
Dimethyl malonate;air;non-urban air or from high stacks;kilogram;4
Heptane;air;unspecified;kilogram;5
Tin;soil;forestry;kilogram;6
Methane, dichloro-, HCC-30;water;ocean;kilogram;7
2-Methyl-2-butene;water;surface water;kilogram;8
Selenium;water;unspecified;kilogram;9
Monochloroethane;water;ground-, long-term;kilogram;10
Benzene, ethyl-;air;unspecified;kilogram;11
Zinc-65;water;ground-, long-term;kilo Becquerel;12
COD, Chemical Oxygen Demand;water;ocean;kilogram;13
Sodium dichromate;air;low population density, long-term;kilogram;14
Pendimethalin;air;non-urban air or from high stacks;kilogram;15
Propanol;water;ground-, long-term;kilogram;16
Chloride;soil;forestry;kilogram;17
o-Dichlorobenzene;water;unspecified;kilogram;18
Chloroacetyl chloride;water;ocean;kilogram;19
Propiconazole;water;ground-;kilogram;20
Fenpiclonil;soil;agricultural;kilogram;21
Curium alpha;air;non-urban air or from high stacks;kilo Becquerel;22
o-Dichlorobenzene;water;ocean;kilogram;23
Propionic acid;air;unspecified;kilogram;24
Ethene, tetrachloro-;air;urban air close to ground;kilogram;25
Transformation, from forest, extensive;natural resource;land;square meter;26
Xenon-133;air;urban air close to ground;kilo Becquerel;27
Terpenes;air;unspecified;kilogram;28
Carbonate;water;unspecified;kilogram;29
Fungicides, unspecified;water;surface water;kilogram;30
Cerium-144;air;non-urban air or from high stacks;kilo Becquerel;31
Acetone;air;unspecified;kilogram;32
Cesium-136;water;ocean;kilo Becquerel;33
Erbium, in ground;natural resource;in ground;kilogram;34
Imazethapyr;soil;agricultural;kilogram;35
Anthracene;water;ocean;kilogram;36
Iodine-131;water;ground-, long-term;kilo Becquerel;37
Carbon dioxide, from soil or biomass stock;air;low population density, long-term;kilogram;38
Sodium chlorate;air;unspecified;kilogram;39
Thorium-228;air;low population density, long-term;kilo Becquerel;40
Phthalate, butyl-benzyl-;water;ground-;kilogram;41
Water;air;low population density, long-term;cubic meter;42
Triflusulfuron-methyl;soil;agricultural;kilogram;43
Sodium perchlorate;air;low population density, long-term;kilogram;44
Radiation, electromagnetic;air;low population density, long-term;megajoule;45
Clodinafop-propargyl;soil;agricultural;kilogram;46
Silicon dioxide;water;surface water;kilogram;47
Radium-224;water;surface water;kilo Becquerel;48
Volume occupied, reservoir;natural resource;in water;cubic meter-year;49
Ethane, 1,1,2-trichloro-;air;unspecified;kilogram;50
Hymexazol;soil;agricultural;kilogram;51
Coal, brown, in ground;natural resource;in ground;kilogram;52
Propylene oxide;air;non-urban air or from high stacks;kilogram;53
Thiacloprid;soil;agricultural;kilogram;54
Radiation, electromagnetic;air;unspecified;megajoule;55
Polychlorinated biphenyls;air;lower stratosphere + upper troposphere;kilogram;56
Potassium-40;water;surface water;kilo Becquerel;57
2-Methyl-2-butene;air;non-urban air or from high stacks;kilogram;58
Methanol;air;urban air close to ground;kilogram;59
Anilazine;soil;agricultural;kilogram;60
Zinc;soil;forestry;kilogram;61
Manganese-54;water;unspecified;kilo Becquerel;62
Toluene, 2-chloro;air;non-urban air or from high stacks;kilogram;63
