Biomass IGCC CCS;Tech|Electricity|Biomass|IGCCC|w/ CCS|Efficiency
Biomass CHP;Tech|Electricity|Biomass|CHP|w/o CCS|Efficiency
Biomass IGCC;Tech|Electricity|Biomass|IGCC|w/o CCS|Efficiency
Coal IGCC;Tech|Electricity|Coal|IGCC|w/o CCS|Efficiency
Coal IGCC CCS;Tech|Electricity|Coal|IGCCC|w/ CCS|Efficiency
Coal PC;Tech|Electricity|Coal|PC|w/o CCS|Efficiency
Coal PC CCS;Tech|Electricity|Coal|PCC|w/ CCS|Efficiency
Coal CHP;Tech|Electricity|Coal|CHP|w/o CCS|Efficiency
Gas OC;Tech|Electricity|Gas|GT|Efficiency
Gas CC;Tech|Electricity|Gas|CC|w/o CCS|Efficiency
Gas CHP;Tech|Electricity|Gas|CHP|w/o CCS|Efficiency
Gas CCS;Tech|Electricity|Gas|CCC|w/ CCS|Efficiency
Oil;Tech|Electricity|Oil|DOT|Efficiency
