Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH 5.0,ssp2_bau,brazil,CO2 Emissions over Energy,NA,50.53815662,47.06562217,52.1560999,48.91584786,66.24265353,63.3711283,60.48343544,58.29813967,58.30664803,56.50940763,54.57475268,52.92662494,52.30008823,51.6436928,50.83699628,49.60201007,48.69937902,47.97555,47.38274525,46.68954314
WITCH 5.0,ssp2_bau,brazil,CO2 Emissions over Output,NA,0.297074226,0.281791111,0.318717778,0.288686726,0.342446985,0.328877133,0.311118808,0.29456667,0.285122185,0.267939743,0.24894907,0.232431335,0.219833353,0.208174814,0.195714371,0.182473875,0.169763186,0.15902166,0.148785221,0.140067309
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|Hydrogen|electricity,NA,0,0,5.54E-05,3.70E-05,0.000453957,0.016483796,0.065376417,0.101361708,0.197912664,0.266849987,0.358683879,0.359857462,0.489166012,0.56565203,0.640300071,0.616886924,0.651602347,0.536770312,0.698308783,0.664622632
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity,NA,1.131441652,5.477267367,12.82032361,8.348759417,12.59291821,19.79397189,30.17062615,28.80443189,35.32888009,41.56836487,46.25958762,48.56026544,54.16499776,61.81139596,64.43361012,66.70545354,67.30751659,67.26059235,68.94920801,70.03787424
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Biomass,NA,0.315079074,0.303132481,1.619530423,0.920524194,0.402962191,0,0,0,0.075441459,0.126941503,0.088761863,0.137063721,0.044461367,0.075629832,0.011744257,0.896292596,0.987057611,0.868285744,0.143805784,0.432457923
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Biomass|w/o CCS,NA,0.315079074,0.303132481,1.619530423,0.920524194,0.402962191,0,0,0,0.075441459,0.126941503,0.088761863,0.137063721,0.044461367,0.075629832,0.011744257,0.896292596,0.987057611,0.868285744,0.143805784,0.432457923
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Coal|w/o CCS,NA,0.000198289,0.382936926,0.056967679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Fossil,NA,0.618659107,1.184427848,0.949542202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Gas|w/o CCS,NA,0.000198409,0.398066305,0.892574523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Hydro,NA,0.000198267,2.590074782,5.601945238,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364,5.739962364
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Non-Biomass Renewables,NA,0.197505182,3.960187599,10.19674511,7.230898291,11.76258825,19.38741616,29.92026092,28.33876707,34.68629341,40.81208189,45.49182291,47.57685262,53.33263183,60.6451465,63.40439828,64.76570349,65.18330205,65.05607936,67.32792638,68.06472146
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Non-fossil,NA,0.512782545,4.292839518,11.87078141,8.348759417,12.59291821,19.79397189,30.17062615,28.80443189,35.32888009,41.56836487,46.25958762,48.56026544,54.16499776,61.81139596,64.43361012,66.70545354,67.30751659,67.26059235,68.94920801,70.03787424
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Oil|w/o CCS,NA,0.618262409,0.403424618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Solar|CSP,NA,0.001389647,0.001389698,0.001389785,0.009173813,0.056707026,0.233610053,1.455478839,0.865897356,1.212126459,1.435427722,1.664943713,2.094874324,2.162000454,2.45339612,2.718317187,2.77398596,2.900399094,3.433162766,3.182497888,3.173914672
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Solar|PV,NA,0.002021903,0.052508847,2.100414647,0.818342507,2.027986055,5.390618034,14.19997995,9.766025079,14.75971559,17.33491807,19.82069529,24.10168068,24.94563346,30.96411643,30.62204549,31.37623799,32.310003,36.65729033,31.79450605,33.7635801
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Wind,NA,0.193895365,1.316214271,2.492995437,0.663419608,3.937932804,8.023225706,8.524839761,11.96688227,12.974489,16.30177373,18.26622155,15.64033526,20.48503555,21.48767158,24.32407325,24.87551718,24.2329376,19.2256639,26.61096009,25.38726432
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Wind|Offshore,NA,0.001890105,0.0018901,0.0018901,0.001890103,0.001885305,0.001887385,0.001886268,0.001887087,0.001887408,0.001886969,0.001886779,0.001886542,0.001885872,0.001885417,0.0018852,0.001883863,0.001883922,0.001884268,0.001884276,0.001884361
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|Wind|Onshore,NA,0.19200526,1.314324171,2.491105337,0.661529504,3.936047499,8.021338321,8.522953494,11.96499518,12.97260159,16.29988676,18.26433477,15.63844871,20.48314968,21.48578617,24.32218805,24.87363332,24.23105368,19.22377963,26.60907581,25.38537996
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|coal,NA,0.000198289,0.382936926,0.056967679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|gas,NA,0.000198409,0.398066305,0.892574523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|nuclear,NA,0.000198289,0.029519439,0.054505881,0.197336931,0.427367766,0.406555733,0.250365233,0.465664822,0.567145224,0.629341471,0.679002844,0.8463491,0.787904564,1.09061963,1.017467586,1.043457449,1.137156929,1.336227247,1.477475847,1.540694853
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|oil,NA,0.618262409,0.403424618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capacity Additions|electricity|solar,NA,0.00341155,0.053898546,2.101804433,0.82751632,2.084693081,5.624228087,15.65545879,10.63192243,15.97184205,18.77034579,21.485639,26.196555,27.10763391,33.41751255,33.34036267,34.15022395,35.21040209,40.09045309,34.97700393,36.93749477
WITCH 5.0,ssp2_bau,brazil,Capacity|Hydrogen|Gas|w/ CCS,NA,4.99E-13,3.97E-13,3.16E-13,2.51E-13,2.00E-13,1.59E-13,1.27E-13,1.01E-13,8.02E-14,6.38E-14,5.07E-14,4.04E-14,3.21E-14,2.56E-14,2.03E-14,1.62E-14,1.29E-14,1.02E-14,8.15E-15,6.49E-15
WITCH 5.0,ssp2_bau,brazil,Capacity|Hydrogen|Gas|w/o CCS,NA,0.007642407,0.00608083,0.004838331,0.003849712,0.003063098,0.002437214,0.001939217,0.001542975,0.001227698,0.000976842,0.000777243,0.000618429,0.000492065,0.000391521,0.000311521,0.000247868,0.000197221,0.000156923,0.000124859,9.93E-05
WITCH 5.0,ssp2_bau,brazil,Capacity|Hydrogen|electricity,NA,1.51E-13,1.20E-13,9.55E-14,0.000277177,0.000405701,0.002596817,0.084708467,0.393191334,0.815854443,1.623626799,2.598520077,3.81504583,4.780700255,6.166900484,7.628269045,9.141088922,10.22401553,11.24242329,11.49968572,12.46607993
WITCH 5.0,ssp2_bau,brazil,Capacity|Hydrogen|gas,NA,0.007642407,0.00608083,0.004838331,0.003849712,0.003063098,0.002437214,0.001939217,0.001542975,0.001227698,0.000976842,0.000777243,0.000618429,0.000492065,0.000391521,0.000311521,0.000247868,0.000197221,0.000156923,0.000124859,9.93E-05
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity,NA,87.2919124,103.0958033,127.4043983,172.5549534,187.5084155,221.8488809,286.8196061,391.8746925,469.8814728,566.3158349,675.8673152,788.305829,891.0605622,1002.0368,1130.188198,1246.833764,1352.660697,1441.32941,1512.797225,1578.464157
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Biomass,NA,1.308135404,2.616238765,3.597323692,10.95993272,13.32310474,12.61559853,10.03784649,7.986807914,6.354859153,5.433574657,4.958036935,4.388767893,4.17732719,3.546078511,3.19965554,2.604589484,6.553855295,10.14999057,12.41746625,10.59922761
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Biomass|w/ CCS,NA,1.00E-05,7.96E-06,6.33E-06,5.04E-06,4.01E-06,3.19E-06,2.54E-06,2.02E-06,1.61E-06,1.28E-06,1.02E-06,8.09E-07,6.44E-07,5.12E-07,4.08E-07,3.24E-07,2.58E-07,2.05E-07,1.63E-07,1.30E-07
